athlete_name,country,discipline,year,season_best,career_best,pb_gap,meets_count,consistency,yoy_improvement,age
Hirut MESHESHA,ETH,women_800m,2022,118.54,118.54,0.0,1,0.0,2.41,20.8
Michaela MEYER,USA,women_800m,2021,118.55,118.55,0.0,9,1.0931,0.0,22.9
Michaela MEYER,USA,women_800m,2022,121.31,118.55,2.76,1,0.0,-2.76,22.9
Sadi HENDERSON,USA,women_800m,2021,118.62,118.62,0.0,2,1.8455,0.0,26.1
Sadi HENDERSON,USA,women_800m,2022,120.0,118.62,1.38,4,0.8301,-1.38,26.1
Abbey CALDWELL,AUS,women_800m,2022,119.31,118.62,0.69,2,0.5091,0.0,21.4
Abbey CALDWELL,AUS,women_800m,2023,118.62,118.62,0.0,2,0.2121,0.69,21.4
Noélie YARIGO,BEN,women_800m,2021,120.11,118.65,1.46,9,0.6576,0.0,36.0
Noélie YARIGO,BEN,women_800m,2022,119.75,118.65,1.1,7,0.6986,0.36,36.0
Noélie YARIGO,BEN,women_800m,2023,118.65,118.65,0.0,2,0.6223,1.1,36.0
Katharina TROST,GER,women_800m,2021,118.68,118.68,0.0,7,1.0051,0.0,26.0
Katharina TROST,GER,women_800m,2022,120.8,118.68,2.12,2,0.7071,-2.12,26.0
Gabriela DEBUES-STAFFORD,CAN,women_800m,2021,118.7,118.7,0.0,2,0.9405,0.0,25.7
Worknesh MESELE,ETH,women_800m,2021,118.71,118.71,0.0,2,0.4808,0.0,20.6
Worknesh MESELE,ETH,women_800m,2022,121.98,118.71,3.27,1,0.0,-3.27,20.6
Worknesh MESELE,ETH,women_800m,2023,119.39,118.71,0.68,1,0.0,-0.68,20.6
Chanelle PRICE,USA,women_800m,2021,118.73,118.73,0.0,11,1.0008,0.0,30.8
Anita HORVAT,SLO,women_800m,2022,118.96,118.73,0.23,9,0.944,0.0,26.0
Anita HORVAT,SLO,women_800m,2023,118.73,118.73,0.0,4,1.1147,0.23,26.0
Sabrina SOUTHERLAND,USA,women_800m,2021,118.77,118.77,0.0,7,1.2461,0.0,26.5
Sabrina SOUTHERLAND,USA,women_800m,2022,119.63,118.77,0.86,6,1.0249,-0.86,26.5
Sabrina SOUTHERLAND,USA,women_800m,2023,121.9,118.77,3.13,2,0.0566,-3.13,26.5
Nia AKINS,USA,women_800m,2021,120.24,118.78,1.46,7,0.4331,0.0,23.8
Nia AKINS,USA,women_800m,2022,118.78,118.78,0.0,8,1.2669,1.46,23.8
Nia AKINS,USA,women_800m,2023,119.37,118.78,0.59,1,0.0,-0.59,23.8
Vivian Chebet KIPROTICH,KEN,women_800m,2022,120.69,118.8,1.89,5,0.4805,0.0,27.3
Vivian Chebet KIPROTICH,KEN,women_800m,2023,118.8,118.8,0.0,6,0.9573,1.89,27.3
Elena BELLÒ,ITA,women_800m,2021,120.44,118.97,1.47,6,0.3768,0.0,25.4
Elena BELLÒ,ITA,women_800m,2022,118.97,118.97,0.0,9,1.0058,1.47,25.4
Elena BELLÒ,ITA,women_800m,2023,120.76,118.97,1.79,1,0.0,-1.79,25.4
Sofia ENNAOUI,POL,women_800m,2022,118.98,118.98,0.0,1,0.0,0.0,26.8
Sage HURTA-KLECKER,USA,women_800m,2023,119.01,119.01,0.0,3,0.9757,0.0,25.0
Nikki HILTZ,USA,women_800m,2021,121.36,119.03,2.33,3,0.2501,0.0,27.2
Nikki HILTZ,USA,women_800m,2022,120.27,119.03,1.24,2,0.7495,1.09,27.2
Nikki HILTZ,USA,women_800m,2023,119.03,119.03,0.0,1,0.0,1.24,27.2
Juliette WHITTAKER,USA,women_800m,2021,121.21,119.04,2.17,3,0.0666,0.0,18.6
Juliette WHITTAKER,USA,women_800m,2022,119.04,119.04,0.0,5,1.2086,2.17,18.6
Juliette WHITTAKER,USA,women_800m,2023,121.19,119.04,2.15,2,0.4243,-2.15,18.6
Lore HOFFMANN,SUI,women_800m,2021,119.06,119.06,0.0,9,0.9598,0.0,26.0
Lore HOFFMANN,SUI,women_800m,2022,119.65,119.06,0.59,10,0.8288,-0.59,26.0
Lore HOFFMANN,SUI,women_800m,2023,120.49,119.06,1.43,3,0.56,-1.43,26.0
Brooke FELDMEIER,USA,women_800m,2022,119.08,119.08,0.0,7,1.0866,0.0,26.4
Michaela ROSE,USA,women_800m,2023,119.08,119.08,0.0,5,0.5146,0.0,19.9
Roisin WILLIS,USA,women_800m,2021,120.78,119.13,1.65,2,0.3465,0.0,17.9
Roisin WILLIS,USA,women_800m,2022,119.13,119.13,0.0,3,0.6205,1.65,17.9
Roisin WILLIS,USA,women_800m,2023,120.91,119.13,1.78,2,0.7495,-1.78,17.9
Cory Ann MCGEE,USA,women_800m,2021,119.17,119.17,0.0,1,0.0,0.0,29.4
Cory Ann MCGEE,USA,women_800m,2022,119.78,119.17,0.61,1,0.0,-0.61,29.4
Lindsey BUTTERWORTH,CAN,women_800m,2021,119.19,119.19,0.0,10,0.8514,0.0,29.5
Lindsey BUTTERWORTH,CAN,women_800m,2022,119.59,119.19,0.4,11,0.5915,-0.4,29.5
Adelle TRACEY,JAM,women_800m,2021,119.5,119.2,0.3,7,1.0039,0.0,28.6
Adelle TRACEY,JAM,women_800m,2022,119.2,119.2,0.0,6,0.9321,0.3,28.6
Adelle TRACEY,JAM,women_800m,2023,121.26,119.2,2.06,1,0.0,-2.06,28.6
Linden HALL,AUS,women_800m,2021,119.22,119.22,0.0,5,1.0392,0.0,30.1
Linden HALL,AUS,women_800m,2022,120.45,119.22,1.23,1,0.0,-1.23,30.1
Linden HALL,AUS,women_800m,2023,121.48,119.22,2.26,1,0.0,-2.26,30.1
Majtie KOLBERG,GER,women_800m,2021,119.24,119.24,0.0,2,1.1809,0.0,22.6
Majtie KOLBERG,GER,women_800m,2022,121.2,119.24,1.96,7,0.2987,-1.96,22.6
Majtie KOLBERG,GER,women_800m,2023,119.69,119.24,0.45,3,0.7054,-0.45,22.6
Charlene LIPSEY,USA,women_800m,2022,120.39,119.26,1.13,2,0.7071,0.0,31.4
Charlene LIPSEY,USA,women_800m,2023,119.26,119.26,0.0,2,1.2516,1.13,31.4
Ciara MAGEEAN,IRL,women_800m,2022,119.86,119.27,0.59,2,1.0465,0.0,30.7
Ciara MAGEEAN,IRL,women_800m,2023,119.27,119.27,0.0,2,0.7707,0.59,30.7
Netsanet DESTA,ETH,women_800m,2021,119.39,119.39,0.0,4,1.0769,0.0,20.6
Netsanet DESTA,ETH,women_800m,2023,120.14,119.39,0.75,1,0.0,-0.75,20.6
Sara KUIVISTO,FIN,women_800m,2021,119.41,119.41,0.0,6,0.8366,0.0,30.0
Sara KUIVISTO,FIN,women_800m,2022,121.59,119.41,2.18,3,0.2074,-2.18,30.0
Louise SHANAHAN,IRL,women_800m,2021,121.44,119.42,2.02,2,0.3889,0.0,25.4
Louise SHANAHAN,IRL,women_800m,2022,119.42,119.42,0.0,5,0.9408,2.02,25.4
Louise SHANAHAN,IRL,women_800m,2023,119.53,119.42,0.11,1,0.0,-0.11,25.4
Lovisa LINDH,SWE,women_800m,2021,119.49,119.49,0.0,10,0.7677,0.0,30.0
Christina HERING,GER,women_800m,2021,119.78,119.51,0.27,8,0.8396,0.0,27.6
Christina HERING,GER,women_800m,2022,119.51,119.51,0.0,9,0.6656,0.27,27.6
Christina HERING,GER,women_800m,2023,121.32,119.51,1.81,2,0.4313,-1.81,27.6
Susan Lokayo EJORE,KEN,women_800m,2023,119.51,119.51,0.0,1,0.0,0.0,27.6
Chrisann GORDON-POWELL,JAM,women_800m,2022,119.52,119.52,0.0,5,1.0408,0.0,27.7
Ellie BAKER,GBR,women_800m,2021,119.54,119.52,0.02,12,0.728,0.0,23.1
Ellie BAKER,GBR,women_800m,2022,119.52,119.52,0.0,4,1.102,0.02,23.1
Ellie BAKER,GBR,women_800m,2023,121.64,119.52,2.12,1,0.0,-2.12,23.1
Audrey WERRO,SUI,women_800m,2022,119.53,119.53,0.0,4,0.7444,0.0,18.4
