athlete_name,country,discipline,year,season_best,career_best,pb_gap,meets_count,consistency,yoy_improvement,age
Teddese LEMI,ETH,men_1500m,2023,212.24,211.9,0.34,2,1.393,-0.34,23.4
Soufiane EL BAKKALI,MAR,men_1500m,2021,211.95,211.95,0.0,1,0.0,0.0,25.4
Andreas ALMGREN,SWE,men_1500m,2023,212.0,212.0,0.0,2,3.1961,0.0,28.0
Robert FARKEN,GER,men_1500m,2021,214.64,212.1,2.54,8,1.07,0.0,23.9
Robert FARKEN,GER,men_1500m,2023,212.1,212.1,0.0,1,0.0,2.54,23.9
Filip INGEBRIGTSEN,NOR,men_1500m,2021,212.23,212.23,0.0,2,3.5214,0.0,28.3
Filip INGEBRIGTSEN,NOR,men_1500m,2022,217.42,212.23,5.19,1,0.0,-5.19,28.3
Adam Ali MUSAB,QAT,men_1500m,2021,212.41,212.41,0.0,5,1.8116,0.0,26.2
Baptiste MISCHLER,FRA,men_1500m,2021,212.42,212.42,0.0,5,2.0968,0.0,24.1
Baptiste MISCHLER,FRA,men_1500m,2022,216.11,212.42,3.69,1,0.0,-3.69,24.1
Baptiste MISCHLER,FRA,men_1500m,2023,215.31,212.42,2.89,4,0.9112,-2.89,24.1
Michał ROZMYS,POL,men_1500m,2021,212.67,212.43,0.24,8,1.6052,0.0,27.2
Michał ROZMYS,POL,men_1500m,2022,212.43,212.43,0.0,11,1.6361,0.24,27.2
Michał ROZMYS,POL,men_1500m,2023,217.22,212.43,4.79,1,0.0,-4.79,27.2
Matthew STONIER,GBR,men_1500m,2022,212.5,212.5,0.0,6,1.6471,0.0,20.9
Matthew STONIER,GBR,men_1500m,2023,213.45,212.5,0.95,3,0.7617,-0.95,20.9
Hobbs KESSLER,USA,men_1500m,2021,214.36,212.61,1.75,1,0.0,0.0,19.2
Hobbs KESSLER,USA,men_1500m,2022,216.63,212.61,4.02,3,0.3256,-2.27,19.2
Hobbs KESSLER,USA,men_1500m,2023,212.61,212.61,0.0,1,0.0,1.75,19.2
Andrew COSCORAN,IRL,men_1500m,2021,215.66,212.68,2.98,5,0.5628,0.0,26.0
Andrew COSCORAN,IRL,men_1500m,2022,215.43,212.68,2.75,6,0.6412,0.23,26.0
Andrew COSCORAN,IRL,men_1500m,2023,212.68,212.68,0.0,3,2.7752,2.75,26.0
Tshepo TSHITE,RSA,men_1500m,2022,216.09,212.68,3.41,1,0.0,0.0,26.3
Tshepo TSHITE,RSA,men_1500m,2023,212.68,212.68,0.0,4,1.1716,3.41,26.3
Cooper TEARE,USA,men_1500m,2021,215.97,212.74,3.23,1,0.0,0.0,22.8
Cooper TEARE,USA,men_1500m,2022,214.81,212.74,2.07,2,0.7778,1.16,22.8
Cooper TEARE,USA,men_1500m,2023,212.74,212.74,0.0,2,1.5698,2.07,22.8
Samuel ZELEKE,ETH,men_1500m,2021,212.8,212.8,0.0,4,2.0798,0.0,22.4
Samuel ZELEKE,ETH,men_1500m,2022,214.8,212.8,2.0,1,0.0,-2.0,22.4
Samuel ZELEKE,ETH,men_1500m,2023,215.7,212.8,2.9,1,0.0,-2.9,22.4
Charles GRETHEN,LUX,men_1500m,2021,212.86,212.86,0.0,7,1.7067,0.0,29.3
Charles GRETHEN,LUX,men_1500m,2022,213.16,212.86,0.3,5,1.7428,-0.3,29.3
Charles GRETHEN,LUX,men_1500m,2023,216.27,212.86,3.41,1,0.0,-3.41,29.3
Niels LAROS,NED,men_1500m,2023,212.89,212.89,0.0,2,3.3234,0.0,18.2
Mafori Ryan MPHAHLELE,RSA,men_1500m,2022,214.66,212.9,1.76,6,1.266,0.0,24.0
Mafori Ryan MPHAHLELE,RSA,men_1500m,2023,212.9,212.9,0.0,3,1.106,1.76,24.0
Charles PHILIBERT-THIBOUTOT,CAN,men_1500m,2021,214.43,212.94,1.49,6,0.9984,0.0,31.4
Charles PHILIBERT-THIBOUTOT,CAN,men_1500m,2022,215.02,212.94,2.08,6,1.0662,-0.59,31.4
Charles PHILIBERT-THIBOUTOT,CAN,men_1500m,2023,212.94,212.94,0.0,3,1.1763,1.49,31.4
Ismael DEBJANI,BEL,men_1500m,2021,213.06,213.06,0.0,5,1.5425,0.0,30.8
Ismael DEBJANI,BEL,men_1500m,2022,214.39,213.06,1.33,1,0.0,-1.33,30.8
Ismael DEBJANI,BEL,men_1500m,2023,214.53,213.06,1.47,2,1.6688,-1.47,30.8
Kamar ETIANG,KEN,men_1500m,2021,213.12,213.12,0.0,2,2.6022,0.0,20.6
Kamar ETIANG,KEN,men_1500m,2023,213.99,213.12,0.87,3,1.9413,-0.87,20.6
