athlete_name,country,discipline,year,season_best,career_best,pb_gap,meets_count,consistency,yoy_improvement,age
William WILLIAMS,USA,men_LJ,2022,8.12,8.23,0.11,3,0.0252,0.0,27.8
William WILLIAMS,USA,men_LJ,2023,8.23,8.23,0.0,3,0.095,0.11,27.8
LaQuan NAIRN,BAH,men_LJ,2021,8.04,8.22,0.18,1,0.0,0.0,26.0
LaQuan NAIRN,BAH,men_LJ,2022,8.22,8.22,0.0,2,0.099,0.18,26.0
LaQuan NAIRN,BAH,men_LJ,2023,8.11,8.22,0.11,2,0.0071,-0.11,26.0
Kemonie BRIGGS,USA,men_LJ,2023,8.22,8.22,0.0,1,0.0,0.0,26.9
Anvar ANVAROV,UZB,men_LJ,2022,8.01,8.22,0.21,1,0.0,0.0,22.2
Anvar ANVAROV,UZB,men_LJ,2023,8.22,8.22,0.0,1,0.0,0.21,22.2
Changzhou HUANG,CHN,men_LJ,2021,8.21,8.21,0.0,2,0.0141,0.0,27.8
Changzhou HUANG,CHN,men_LJ,2022,8.1,8.21,0.11,2,0.0636,-0.11,27.8
Changzhou HUANG,CHN,men_LJ,2023,8.01,8.21,0.2,1,0.0,-0.2,27.8
Christopher MITREVSKI,AUS,men_LJ,2021,8.04,8.21,0.17,3,0.01,0.0,25.6
Christopher MITREVSKI,AUS,men_LJ,2022,8.21,8.21,0.0,4,0.0732,0.17,25.6
Ingar BRATSETH-KIPLESUND,NOR,men_LJ,2023,8.21,8.21,0.0,1,0.0,0.0,26.5
Rayvon ALLEN,USA,men_LJ,2021,8.19,8.19,0.0,2,0.1202,0.0,22.0
Damarcus SIMPSON,USA,men_LJ,2021,8.19,8.19,0.0,1,0.0,0.0,28.0
Rayvon GREY,USA,men_LJ,2021,8.1,8.19,0.09,1,0.0,0.0,24.4
Rayvon GREY,USA,men_LJ,2022,8.19,8.19,0.0,2,0.0141,0.09,24.4
Jeremiah DAVIS,USA,men_LJ,2022,8.11,8.19,0.08,2,0.0778,0.0,20.8
Jeremiah DAVIS,USA,men_LJ,2023,8.19,8.19,0.0,1,0.0,0.08,20.8
Eusebio CÁCERES,ESP,men_LJ,2021,8.18,8.18,0.0,3,0.0839,0.0,30.7
Eusebio CÁCERES,ESP,men_LJ,2022,8.15,8.18,0.03,5,0.0512,-0.03,30.7
Brandon HICKLIN,USA,men_LJ,2022,8.18,8.18,0.0,1,0.0,0.0,23.1
Arnovis DALMERO,COL,men_LJ,2021,8.04,8.18,0.14,1,0.0,0.0,22.6
Arnovis DALMERO,COL,men_LJ,2023,8.18,8.18,0.0,4,0.0675,0.14,22.6
Yuhao SHI,CHN,men_LJ,2023,8.18,8.18,0.0,1,0.0,0.0,24.8
Jules POMMERY,FRA,men_LJ,2022,8.17,8.17,0.0,2,0.0778,0.0,21.5
Natsuki YAMAKAWA,JPN,men_LJ,2022,8.17,8.17,0.0,3,0.0907,0.0,26.8
Natsuki YAMAKAWA,JPN,men_LJ,2023,8.0,8.17,0.17,1,0.0,-0.17,26.8
Shakwon COKE,JAM,men_LJ,2021,8.16,8.16,0.0,2,0.0778,0.0,21.6
Ruswahl SAMAAI,RSA,men_LJ,2021,8.16,8.16,0.0,5,0.0444,0.0,29.6
Ineh Emmeanuel ORITSEMEYIWA,NGR,men_LJ,2021,8.16,8.16,0.0,3,0.0802,0.0,20.1
