athlete_name,country,discipline,year,season_best,career_best,pb_gap,meets_count,consistency,yoy_improvement,age
Paulien COUCKUYT,BEL,women_400h,2022,55.3,54.47,0.83,6,0.2547,-0.83,25.1
Zenéy VAN DER WALT,RSA,women_400h,2021,55.89,54.47,1.42,2,0.0636,0.0,22.2
Zenéy VAN DER WALT,RSA,women_400h,2022,54.47,54.47,0.0,11,0.4561,1.42,22.2
Zenéy VAN DER WALT,RSA,women_400h,2023,54.82,54.47,0.35,5,0.4676,-0.35,22.2
Lea SPRUNGER,SUI,women_400h,2021,54.51,54.51,0.0,11,0.4274,0.0,31.4
Cathelijn PEETERS,NED,women_400h,2023,54.65,54.65,0.0,5,0.5182,0.0,26.6
Masai RUSSELL,USA,women_400h,2022,55.02,54.66,0.36,6,0.2768,0.0,22.0
Masai RUSSELL,USA,women_400h,2023,54.66,54.66,0.0,4,0.4507,0.36,22.0
Sarah CARLI,AUS,women_400h,2022,55.57,54.66,0.91,5,0.1674,0.0,27.9
Sarah CARLI,AUS,women_400h,2023,54.66,54.66,0.0,3,0.39,0.91,27.9
Amalie IUEL,NOR,women_400h,2021,55.04,54.68,0.36,3,0.3293,0.0,28.2
Amalie IUEL,NOR,women_400h,2022,54.68,54.68,0.0,7,0.3651,0.36,28.2
Cassandra TATE,USA,women_400h,2021,55.24,54.68,0.56,1,0.0,0.0,32.6
Cassandra TATE,USA,women_400h,2022,54.81,54.68,0.13,5,0.4162,0.43,32.6
Cassandra TATE,USA,women_400h,2023,54.68,54.68,0.0,7,0.4184,0.13,32.6
Lina NIELSEN,GBR,women_400h,2021,55.27,54.73,0.54,4,0.2439,0.0,26.2
Lina NIELSEN,GBR,women_400h,2022,54.73,54.73,0.0,6,0.2914,0.54,26.2
Lina NIELSEN,GBR,women_400h,2023,54.96,54.73,0.23,4,0.4327,-0.23,26.2
Hanne CLAES,BEL,women_400h,2022,55.23,54.75,0.48,6,0.1828,0.0,31.0
Hanne CLAES,BEL,women_400h,2023,54.75,54.75,0.0,2,0.0849,0.48,31.0
Jessica TURNER,GBR,women_400h,2021,54.77,54.77,0.0,4,0.0529,0.0,25.8
Jessica TURNER,GBR,women_400h,2022,55.63,54.77,0.86,1,0.0,-0.86,25.8
Melissa GONZALEZ,COL,women_400h,2021,55.32,54.8,0.52,6,0.1885,0.0,27.8
Melissa GONZALEZ,COL,women_400h,2022,54.8,54.8,0.0,8,0.4668,0.52,27.8
