Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Nat.1,Venue,Date,Results Score,discipline,year,ProfileURL,source
1.0,14:21.75,,Hellen OBIRI,13 DEC 1989,KEN,1,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018,1238.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14424921,toplist
2.0,14:22.34,,Sifan HASSAN,01 JAN 1993,NED,2,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018,1237.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14489606,toplist
3.0,14:23.14,,Letesenbet GIDEY,20 MAR 1998,ETH,3,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018,1236.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14654918,toplist
4.0,14:23.33,,Senbere TEFERI,03 MAY 1995,ETH,4,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018,1235.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14477329,toplist
5.0,14:24.24,,Agnes Jebet TIROP,23 OCT 1995,KEN,5,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018,1233.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14289007,toplist
6.0,14:26.89,,Genzebe DIBABA,08 FEB 1991,ETH,1,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1228.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14259874,toplist
7.0,14:34.45,,Shelby HOULIHAN,08 FEB 1993,USA,1,,Heusden-Zolder (BEL),21 JUL 2018,1213.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14368938,toplist
8.0,14:43.96,,Caroline Chepkoech KIPKIRUI,26 MAY 1994,KEN,4,,"Letzigrund, Zürich (SUI)",30 AUG 2018,1194.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14423904,toplist
9.0,14:51.30,,Gudaf TSEGAY,23 JAN 1997,ETH,4,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1180.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14595214,toplist
10.0,14:52.83,,Eilish MCCOLGAN,25 NOV 1990,GBR,7,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018,1177.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14275729,toplist
11.0,14:53.14,,Loice CHEMNUNG,22 FEB 1997,KEN,2,,Bellinzona (SUI),18 JUL 2018,1176.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14590680,toplist
12.0,14:57.63,,Yasemin CAN,11 DEC 1996,TUR,3,,"Olympiastadion, Berlin (GER)",12 AUG 2018,1168.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14601536,toplist
13.0,15:01.15,,Lilian Kasait RENGERUK,03 MAY 1997,KEN,5,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1161.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14590678,toplist
14.0,15:01.44,,Molly HUDDLE,31 AUG 1984,USA,2,,Heusden-Zolder (BEL),21 JUL 2018,1160.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14313054,toplist
15.0,15:01.98,,Margaret Chelimo KIPKEMBOI,09 FEB 1993,KEN,6,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1159.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14375882,toplist
16.0,15:02.44,,Karissa SCHWEIZER,04 MAY 1996,USA,3,,Heusden-Zolder (BEL),21 JUL 2018,1158.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14470567,toplist
17.0,15:03.73,,Konstanze KLOSTERHALFEN,18 FEB 1997,GER,4,,"Olympiastadion, Berlin (GER)",12 AUG 2018,1156.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14496249,toplist
18.0,15:04.14,,Dominique SCOTT,24 JUN 1992,RSA,4,,Heusden-Zolder (BEL),21 JUL 2018,1155.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14941416,toplist
19.0,15:04.75,,Melissa COURTNEY-BRYANT,30 AUG 1993,GBR,5,,"Olympiastadion, Berlin (GER)",12 AUG 2018,1154.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14274781,toplist
20.0,15:05.21,,Meskerem MAMO,13 APR 1999,ETH,1,,"SV 03 Stadion, Tübingen (GER)",16 JUN 2018,1153.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14751324,toplist
21.0,15:06.19,,Madeleine HILLS,15 MAY 1987,AUS,5,,Heusden-Zolder (BEL),21 JUL 2018,1151.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14271970,toplist
