Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,14:30.06,,Winfred YAVI,31 DEC 1999,BRN,8,,"Stadio Olimpico, Roma (ITA)",04 JUN 2026,1222,women_5000m,2026,https://worldathletics.org/athletes/athlete=14695622
2,14:56.62,,Wuga HE,28 JUL 1998,CHN,4,,"Drake Stadium, Los Angeles, CA (USA)",23 MAY 2026,1170,women_5000m,2026,https://worldathletics.org/athletes/athlete=14862415
3,14:58.35,,Nozomi TANAKA,04 SEP 1999,JPN,14,,"Stadion Śląski, Chorzów (POL)",23 AUG 2026,1166,women_5000m,2026,https://worldathletics.org/athletes/athlete=14632538
4,14:59.89,,Yuma YAMAMOTO,01 MAY 2000,JPN,1,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1163,women_5000m,2026,https://worldathletics.org/athletes/athlete=14899665
5,15:02.68,,Miu SAITO,22 JUN 2002,JPN,2f1,,"Aoba Park Athletic Field, Chitose (JPN)",04 JUL 2026,1158,women_5000m,2026,https://worldathletics.org/athletes/athlete=14931241
6,15:04.26,,Parul CHAUDHARY,15 APR 1995,IND,2,,"Parc des Sports C. Ehrmann, Nice (FRA)",13 JUN 2026,1155,women_5000m,2026,https://worldathletics.org/athletes/athlete=14497992
7,15:14.01,,Rina KUSU,16 DEC 1993,JPN,4,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1136,women_5000m,2026,https://worldathletics.org/athletes/athlete=14520154
8,15:14.25,,Kana MIZUMOTO,26 JAN 2005,JPN,5,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1136,women_5000m,2026,https://worldathletics.org/athletes/japan/kana-mizumoto-14955419
9,15:14.29,,Nanaka IZAWA,13 APR 1991,JPN,6,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1135,women_5000m,2026,https://worldathletics.org/athletes/athlete=14335034
10,15:15.00,,Momoka KAWAGUCHI,28 JUN 1998,JPN,7,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1134,women_5000m,2026,https://worldathletics.org/athletes/athlete=14668328
11,15:15.24,,Risa YAMAZAKI,29 AUG 2002,JPN,8,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1134,women_5000m,2026,https://worldathletics.org/athletes/athlete=14895856
12,15:16.20,,SEEMA,10 JAN 2001,IND,8f1,,"Cougar Athletic Stadium, Azusa, CA (USA)",17 APR 2026,1132,women_5000m,2026,https://worldathletics.org/athletes/athlete=14734780
13,15:19.50,,Wakana KABASAWA,24 MAR 1999,JPN,2,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2026,1126,women_5000m,2026,https://worldathletics.org/athletes/athlete=14608139
14,15:22.68,,Rika KASEDA,02 MAR 1999,JPN,8f1,,"Aoba Park Athletic Field, Chitose (JPN)",04 JUL 2026,1119,women_5000m,2026,https://worldathletics.org/athletes/athlete=14719677
15,15:23.41,,Nagisa SHIMOTABIRA,17 OCT 1998,JPN,6,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2026,1118,women_5000m,2026,https://worldathletics.org/athletes/athlete=14675942
16,15:25.49,,Natsuki OMORI,22 JUN 1994,JPN,10f1,,"Aoba Park Athletic Field, Chitose (JPN)",04 JUL 2026,1114,women_5000m,2026,https://worldathletics.org/athletes/athlete=14441904
17,15:25.63,,Mikuni YADA,29 OCT 1999,JPN,9,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1114,women_5000m,2026,https://worldathletics.org/athletes/athlete=14747887
18,15:25.88,,Rion FURUKAWA,25 SEP 2001,JPN,11f1,,"Aoba Park Athletic Field, Chitose (JPN)",04 JUL 2026,1113,women_5000m,2026,https://worldathletics.org/athletes/athlete=14855591
19,15:27.54,,Tiantian LIANG,31 AUG 2004,CHN,1,,"Kuishan Sports Center, Rizhao (CHN)",26 JUN 2026,1110,women_5000m,2026,https://worldathletics.org/athletes/pr-of-china/tiantian-liang-14950779
20,15:27.59,,Huiru LIU,20 AUG 2005,CHN,2,,"Kuishan Sports Center, Rizhao (CHN)",26 JUN 2026,1110,women_5000m,2026,https://worldathletics.org/athletes/pr-of-china/huiru-liu-15032238
21,15:27.91,,Mizuki MICHISHITA,01 AUG 2001,JPN,10,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1110,women_5000m,2026,https://worldathletics.org/athletes/athlete=14887755
22,15:29.80,,Cuomu CIREN,27 AUG 1997,CHN,3,,"Kuishan Sports Center, Rizhao (CHN)",26 JUN 2026,1106,women_5000m,2026,https://worldathletics.org/athletes/athlete=14663881
23,15:30.22,,Yumi YOSHIKAWA,31 OCT 1990,JPN,11,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1105,women_5000m,2026,https://worldathletics.org/athletes/athlete=14522388
24,15:31.26,,Koharu CHUGO,12 SEP 2005,JPN,9,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2026,1103,women_5000m,2026,https://worldathletics.org/athletes/japan/koharu-chugo-15003912
25,15:31.30,,Shiori YANO,11 FEB 1995,JPN,4f1,,"Athletics Stadium, Shibetsu (JPN)",18 JUL 2026,1103,women_5000m,2026,https://worldathletics.org/athletes/athlete=14439394
26,15:32.84,,Yuyu XIA,01 MAR 1998,CHN,4,,"Kuishan Sports Center, Rizhao (CHN)",26 JUN 2026,1100,women_5000m,2026,https://worldathletics.org/athletes/athlete=14714417
27,15:33.63,,Ayu HENMI,31 AUG 2000,JPN,13f1,,"Aoba Park Athletic Field, Chitose (JPN)",04 JUL 2026,1099,women_5000m,2026,https://worldathletics.org/athletes/athlete=14858009
28,15:33.65,,Jinhua HU,12 APR 2008,CHN,5,,"Kuishan Sports Center, Rizhao (CHN)",26 JUN 2026,1099,women_5000m,2026,https://worldathletics.org/athletes/pr-of-china/jinhua-hu-15247979
29,15:34.35,,Narumi OKUMOTO,27 FEB 2006,JPN,5f2,,"Takebishi Stadium, Kyoto (JPN)",11 SEP 2026,1097,women_5000m,2026,https://worldathletics.org/athletes/japan/narumi-okumoto-14983161
30,15:34.58,,Kazuna KANETOMO,19 AUG 2001,JPN,14,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1097,women_5000m,2026,https://worldathletics.org/athletes/athlete=14895643
31,15:34.83,,Xia LUO,10 MAY 2000,CHN,6,,"Kuishan Sports Center, Rizhao (CHN)",26 JUN 2026,1096,women_5000m,2026,https://worldathletics.org/athletes/athlete=14892675
