Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,14.24,+0.1,Sharifa DAVRONOVA,27 SEP 2006,UZB,1,,"Sport Development Center Stadium, Ordos (CHN)",12 JUL 2026,1142,women_TJ,2026,https://worldathletics.org/athletes/athlete=14956284
2,14.16,0.0,Yi LI,26 NOV 2005,CHN,1,,"Changshou Sports Center, Chongqing (CHN)",19 MAY 2026,1134,women_TJ,2026,https://worldathletics.org/athletes/pr-of-china/yi-li-15052012
3,14.12,-0.6,Yingying HUANG,18 AUG 2004,CHN,1,,"Kuishan Sports Center, Rizhao (CHN)",26 JUN 2026,1133,women_TJ,2026,https://worldathletics.org/athletes/pr-of-china/yingying-huang-14980007
4,14.04,+0.1,Maoko TAKASHIMA,07 JUL 1999,JPN,1,,"Fukuoka University Stadium, Fukuoka (JPN)",18 JUL 2026,1121,women_TJ,2026,https://worldathletics.org/athletes/athlete=14815116
5,13.89,-0.3,I. ASHA,18 JUN 1999,IND,1,,"Kalinga Stadium, Bhubaneshwar (IND)",24 JUN 2026,1107,women_TJ,2026,https://worldathletics.org/athletes/athlete=14776087
6,13.84,0.0,Yazhan XIE,30 JAN 2002,CHN,2,,"Sports Center, Quzhou (CHN)",14 AUG 2026,1101,women_TJ,2026,https://worldathletics.org/athletes/pr-of-china/yazhan-xie-14942330
7,13.83,+0.1,Mariya YEFREMOVA,19 OCT 1998,KAZ,1,,"Kazhymukan Munaitpasov Stadium, Shimkent (KAZ)",01 JUL 2026,1100,women_TJ,2026,https://worldathletics.org/athletes/athlete=14646811
8,13.78,+0.8,Hui ZHOU,08 JAN 2006,CHN,3,,"Sports Center, Quzhou (CHN)",14 AUG 2026,1095,women_TJ,2026,https://worldathletics.org/athletes/pr-of-china/hui-zhou-15094403
9,13.77,+0.4,Runzhe ZHANG,21 SEP 2004,CHN,4,,"Sports Center, Quzhou (CHN)",14 AUG 2026,1094,women_TJ,2026,https://worldathletics.org/athletes/pr-of-china/runzhe-zhang-15074821
10,13.69,+0.8,Akari FUNADA,27 AUG 2000,JPN,1,,"Municipal Mizuho Stadium, Nagoya (JPN)",14 JUN 2026,1086,women_TJ,2026,https://worldathletics.org/athletes/athlete=14855859
11,13.68,+1.9,Madushani HERATH,04 MAY 2005,SRI,1,,"Diyagama Stadium, Diyagama (SRI)",01 MAR 2026,1085,women_TJ,2026,https://worldathletics.org/athletes/sri-lanka/madushani-herath-15157596
12,13.64,+0.1,Niharika VASHISHT,17 OCT 1995,IND,1,,"Birsa Munda Foot Ball Stadium, Morabadi, Ranchi (IND)",23 MAY 2026,1081,women_TJ,2026,https://worldathletics.org/athletes/athlete=14717127
12,13.64,+0.2,Ting CHEN,28 AUG 1997,CHN,1,,"Sports Center, Bengbu (CHN)",31 MAY 2026,1081,women_TJ,2026,https://worldathletics.org/athletes/athlete=14744970
14,13.62,+0.8,Xinran TONG,04 JUL 2003,CHN,5,,"Sports Center, Quzhou (CHN)",14 AUG 2026,1079,women_TJ,2026,https://worldathletics.org/athletes/athlete=14941999
15,13.61,+0.9,Mariko MORIMOTO,17 MAR 1995,JPN,2,,"Takebishi Stadium, Kyoto (JPN)",13 SEP 2026,1078,women_TJ,2026,https://worldathletics.org/athletes/athlete=14458247
16,13.55,+0.3,Thi Ngoc Ha VU,21 MAY 2000,VIE,3,,"Changshou Sports Center, Chongqing (CHN)",19 MAY 2026,1071,women_TJ,2026,https://worldathletics.org/athletes/athlete=14794031
16,13.55,+0.8,Huiling QIN,29 NOV 2003,CHN,1,,"Sports Center, Nanping (CHN)",04 JUN 2026,1071,women_TJ,2026,https://worldathletics.org/athletes/athlete=14884042
16,13.55,+0.2,Yujuan CAI,26 MAR 2004,CHN,3q2,,"Sports Center, Quzhou (CHN)",12 AUG 2026,1071,women_TJ,2026,https://worldathletics.org/athletes/pr-of-china/yujuan-cai-15182869
19,13.46,0.0,Maryam KAZEMI,11 FEB 1999,IRI,1,,"Aftab Enghelab Sport Complex, Tehran (IRI)",03 JUL 2026,1062,women_TJ,2026,https://worldathletics.org/athletes/athlete=14843083
20,13.45,+0.1,Yueyue ZHANG,01 AUG 2003,CHN,6,,"Sports Center, Quzhou (CHN)",14 AUG 2026,1061,women_TJ,2026,https://worldathletics.org/athletes/athlete=14885325
21,13.43,,Xilin HUANG,17 DEC 2004,CHN,3,,"Xipu Training Base Indoor Athletics Stadium, Chengdu (CHN) (i)",11 MAR 2026,1059,women_TJ,2026,https://worldathletics.org/athletes/pr-of-china/xilin-huang-15051244
21,13.43,+0.6,Jingjing LIN,18 MAY 2002,CHN,1,,"Olympic Sports Center, Chongqing (CHN)",15 MAY 2026,1059,women_TJ,2026,https://worldathletics.org/athletes/athlete=14884048
23,13.42,+0.7,Yanqi GAO,27 JAN 2000,CHN,6,,"Kuishan Sports Center, Rizhao (CHN)",26 JUN 2026,1058,women_TJ,2026,https://worldathletics.org/athletes/athlete=14811675
24,13.37,+1.2,Mei XU,07 MAR 2004,CHN,1,,"Taizhou Yuhuan Olympic Sports Center Stadium, Taizhou (CHN)",25 MAY 2026,1053,women_TJ,2026,https://worldathletics.org/athletes/pr-of-china/mei-xu-14942834
25,13.36,+1.3,Yiqing XIE,29 JAN 2009,CHN,1,,"Kai Tak Youth Sports Ground, Hong Kong (HKG)",29 MAY 2026,1052,women_TJ,2026,https://worldathletics.org/athletes/pr-of-china/yiqing-xie-15172594
25,13.36,-0.2,Yixuan HAN,24 DEC 2008,CHN,3q1,,"Sports Center, Quzhou (CHN)",12 AUG 2026,1053,women_TJ,2026,https://worldathletics.org/athletes/pr-of-china/yixuan-han-15138388
27,13.28,+0.1,Bhairabi DAS,02 FEB 1995,IND,2,,"Birsa Munda Foot Ball Stadium, Morabadi, Ranchi (IND)",23 MAY 2026,1044,women_TJ,2026,https://worldathletics.org/athletes/athlete=14538357
27,13.28,0.0,Mallala ANUSHA,10 JUL 2002,IND,3,,"Birsa Munda Foot Ball Stadium, Morabadi, Ranchi (IND)",23 MAY 2026,1044,women_TJ,2026,https://worldathletics.org/athletes/athlete=14881892
29,13.27,-0.2,Meiyuan CHEN,23 JUN 2006,CHN,6q2,,"Sports Center, Quzhou (CHN)",12 AUG 2026,1044,women_TJ,2026,https://worldathletics.org/athletes/pr-of-china/meiyuan-chen-15206603
30,13.26,,Shihui HUA,01 AUG 2003,CHN,1,,"Shandong Sports Training Center, Jinan (CHN) (i)",28 MAR 2026,1042,women_TJ,2026,https://worldathletics.org/athletes/athlete=14884063
31,13.23,,Rui ZENG,06 FEB 1998,CHN,5,,"Tuanbo Sports Center, Tianjin (CHN) (i)",07 FEB 2026,1039,women_TJ,2026,https://worldathletics.org/athletes/athlete=14714513
32,13.21,,Shuiqing CHEN,12 APR 2000,CHN,5f1,,"Shanxi Athletics Administrative Center, Xi'an (CHN) (i)",08 MAR 2026,1037,women_TJ,2026,https://worldathletics.org/athletes/athlete=14795856
32,13.21,+0.3,Tia Louise ROZARIO,14 OCT 2000,SGP,,,"Olympic Park, Sydney (AUS)",10 APR 2026,1037,women_TJ,2026,https://worldathletics.org/athletes/athlete=14751082
34,13.20,+1.1,Xinlin LIU,31 JUL 2004,CHN,1f,,"Shanxi Athletics Administrative Center, Xi'an (CHN)",19 JUN 2026,1036,women_TJ,2026,https://worldathletics.org/athletes/pr-of-china/xinlin-liu-14975969
35,13.19,,Qiujiao TAN,28 MAY 2000,CHN,6f1,,"Shanxi Athletics Administrative Center, Xi'an (CHN) (i)",08 MAR 2026,1035,women_TJ,2026,https://worldathletics.org/athletes/athlete=14795857
35,13.19,-1.1,Junjun ZHANG,11 AUG 2001,CHN,5q1,,"Sports Center, Quzhou (CHN)",12 AUG 2026,1041,women_TJ,2026,https://worldathletics.org/athletes/athlete=14884066
37,13.18,+0.2,Thi Huong NGUYEN,24 NOV 2001,VIE,6,,"Changshou Sports Center, Chongqing (CHN)",19 MAY 2026,1034,women_TJ,2026,https://worldathletics.org/athletes/athlete=14816367
38,13.16,-0.6,Zenghuan CHENG,12 OCT 2004,CHN,3,,"Sports Center, Yulin (CHN)",19 JUL 2026,1035,women_TJ,2026,https://worldathletics.org/athletes/pr-of-china/zenghuan-cheng-15117680
39,13.14,+1.6,Sharvari PARULEKAR,20 MAR 2002,IND,2f3,,"Cardinal Park, Louisville, KY (USA)",25 APR 2026,1030,women_TJ,2026,https://worldathletics.org/athletes/athlete=14818392
40,13.13,+0.9,L.S.W ARACHCHI,12 JAN 2004,SRI,2,,"Mahinda Rajapaksha Stadium, Diyagama (SRI)",04 SEP 2026,1029,women_TJ,2026,https://worldathletics.org/athletes/sri-lanka/lsw-arachchi-15169246
41,13.12,,Jie CHEN,02 MAR 1998,CHN,6,,"Tuanbo Sports Center, Tianjin (CHN) (i)",07 FEB 2026,1028,women_TJ,2026,https://worldathletics.org/athletes/athlete=14691876
41,13.12,-0.6,Aleena T SAJI,13 MAR 2002,IND,2,,"Anju Bobby High Performance Centre, Bengaluru (IND)",14 MAR 2026,1031,women_TJ,2026,https://worldathletics.org/athletes/athlete=14914291
41,13.12,,Jinghan FENG,27 DEC 2010,CHN,2,,"Shandong Sports Training Center, Jinan (CHN) (i)",28 MAR 2026,1028,women_TJ,2026,https://worldathletics.org/athletes/pr-of-china/jinghan-feng-15300288
44,13.11,+0.2,Yiting ZHAO,14 JUN 2005,CHN,7q1,,"Sports Center, Quzhou (CHN)",12 AUG 2026,1027,women_TJ,2026,https://worldathletics.org/athletes/athlete=14939897
45,13.10,+0.6,Linshan ZHANG,05 OCT 2003,CHN,2,,"Sports Center, Nanping (CHN)",04 JUN 2026,1026,women_TJ,2026,https://worldathletics.org/athletes/pr-of-china/linshan-zhang-14942378
46,13.09,+0.3,Hao CHEN,19 JUN 2008,CHN,1,,"Taizhou Yuhuan Olympic Sports Center Stadium, Taizhou (CHN)",24 MAY 2026,1025,women_TJ,2026,https://worldathletics.org/athletes/pr-of-china/hao-chen-15246088
47,13.08,-0.5,Nimisha DAYMA,15 MAY 2003,IND,3,,"Anju Bobby High Performance Centre, Bengaluru (IND)",14 MAR 2026,1027,women_TJ,2026,https://worldathletics.org/athletes/athlete=14926772
47,13.08,+0.5,Sadhana RAVI,16 DEC 2007,IND,4,,"Anju Bobby High Performance Centre, Bengaluru (IND)",14 MAR 2026,1024,women_TJ,2026,https://worldathletics.org/athletes/india/sadhana-ravi-15053058
47,13.08,+0.1,Jialing WU,22 MAR 2006,CHN,9q2,,"Sports Center, Quzhou (CHN)",12 AUG 2026,1024,women_TJ,2026,https://worldathletics.org/athletes/pr-of-china/jialing-wu-15024809
50,13.05,+0.5,Parinya CHUAIMAROENG,16 DEC 1997,THA,8,,"Changshou Sports Center, Chongqing (CHN)",19 MAY 2026,1021,women_TJ,2026,https://worldathletics.org/athletes/athlete=14603339
51,13.04,-0.5,Yang YANG,23 AUG 2001,CHN,5,,"Sports Center, Bengbu (CHN)",31 MAY 2026,1022,women_TJ,2026,https://worldathletics.org/athletes/athlete=14795854
52,13.00,+0.1,Jingtong WANG,18 NOV 2011,CHN,2,,"Hebei Olympic Sports Center, Qinhuangdao (CHN)",29 APR 2026,1015,women_TJ,2026,https://worldathletics.org/athletes/pr-of-china/jingtong-wang-15303503
52,13.00,+1.0,Pavithra GOPAL,10 MAR 2000,IND,1,,"Stadium Hanamkonda, Warangal (IND)",18 AUG 2026,1015,women_TJ,2026,https://worldathletics.org/athletes/india/pavithra-gopal-15049789
52,13.00,+1.5,G.I.S. LANKATHILAKA,17 APR 2001,SRI,3,,"Mahinda Rajapaksha Stadium, Diyagama (SRI)",04 SEP 2026,1015,women_TJ,2026,https://worldathletics.org/athletes/sri-lanka/gis-lankathilaka-15047289
55,12.99,+0.3,Mari MUKTA,01 NOV 2004,IND,4,,"Birsa Munda Foot Ball Stadium, Morabadi, Ranchi (IND)",23 MAY 2026,1014,women_TJ,2026,https://worldathletics.org/athletes/india/mari-mukta-15035666
55,12.99,+0.7,Mengzhuo CHENG,19 NOV 2006,CHN,2f,,"Shanxi Athletics Administrative Center, Xi'an (CHN)",19 JUN 2026,1014,women_TJ,2026,https://worldathletics.org/athletes/pr-of-china/mengzhuo-cheng-15046525
57,12.98,+1.5,Jaslin KAUR,23 AUG 2006,IND,1,,"Jawaharlal Nehru Stadium, New Delhi (IND)",11 APR 2026,1013,women_TJ,2026,https://worldathletics.org/athletes/india/jaslin-kaur-15046405
58,12.97,+0.2,Yuli WEI,12 DEC 2005,CHN,9q1,,"Sports Center, Quzhou (CHN)",12 AUG 2026,1012,women_TJ,2026,https://worldathletics.org/athletes/pr-of-china/yuli-wei-15127358
59,12.96,+1.4,Misato OSAKI,08 NOV 1999,JPN,4,,"Takebishi Stadium, Kyoto (JPN)",13 SEP 2026,1011,women_TJ,2026,https://worldathletics.org/athletes/japan/misato-osaki-14956609
60,12.94,0.0,Maria Natalia LONDA,29 OCT 1990,INA,,,"The Kallang - Singapore Sports Hub, Singapore (SGP)",17 APR 2026,1009,women_TJ,2026,https://worldathletics.org/athletes/athlete=14282715
60,12.94,-0.4,Moeno SAITO,05 JUL 1996,JPN,,,"Municipal Mizuho Stadium, Nagoya (JPN)",14 JUN 2026,1011,women_TJ,2026,https://worldathletics.org/athletes/athlete=14703316
62,12.93,+0.4,Xiao YANG,16 FEB 2002,CHN,6,,"Sports Center, Bengbu (CHN)",31 MAY 2026,1008,women_TJ,2026,https://worldathletics.org/athletes/pr-of-china/xiao-yang-014974418
63,12.91,-0.2,Sawant POORVA,23 JAN 2003,IND,5,,"Birsa Munda Foot Ball Stadium, Morabadi, Ranchi (IND)",23 MAY 2026,1007,women_TJ,2026,https://worldathletics.org/athletes/athlete=14873514
64,12.90,,Varvara DMITRIEVA,30 OCT 2003,KAZ,2,,"Athletic Center Olga Rypakova, Ust-Kamenogorsk (KAZ) (i)",14 FEB 2026,1005,women_TJ,2026,https://worldathletics.org/athletes/kazakhstan/varvara-dmitrieva-14971618
65,12.89,0.0,Ririya YAMASAKI,24 MAY 2006,JPN,1,,"International Stadium, Yokohama (JPN)",07 SEP 2026,1004,women_TJ,2026,https://worldathletics.org/athletes/japan/ririya-yamasaki-15114715
66,12.88,+1.2,Niko NOZAWA,04 SEP 2009,JPN,1,,"Athletic Stadium, Hikone (JPN)",04 AUG 2026,1003,women_TJ,2026,https://worldathletics.org/athletes/japan/niko-nozawa-15239490
67,12.87,+1.3,Hono SUGANO,26 NOV 2007,JPN,1,,"Lemon Gas Stadium, Hiratsuka (JPN)",26 APR 2026,1002,women_TJ,2026,https://worldathletics.org/athletes/japan/hono-sugano-14998792
68,12.85,+0.9,Yuyue CHAI,20 OCT 1999,CHN,3,,"Hebei Olympic Sports Center, Qinhuangdao (CHN)",29 APR 2026,1000,women_TJ,2026,https://worldathletics.org/athletes/athlete=14691784
68,12.85,+1.0,Yuhan CAO,27 FEB 2005,CHN,3f,,"Shanxi Athletics Administrative Center, Xi'an (CHN)",19 JUN 2026,1000,women_TJ,2026,https://worldathletics.org/athletes/pr-of-china/yuhan-cao-15210328
70,12.84,+0.4,Yu-Ti HUANG,20 NOV 2003,TPE,1,,"Banqiao Stadium, New Taipei City (TPE)",28 MAR 2026,999,women_TJ,2026,https://worldathletics.org/athletes/chinese-taipei/yu-ti-huang-14980981
71,12.80,+0.7,P. BABISHA,26 DEC 2001,IND,1,,"Sree Kanteerava Outdoor Stadium, Bengaluru (IND)",04 APR 2026,995,women_TJ,2026,https://worldathletics.org/athletes/athlete=14881888
71,12.80,+1.1,Yuno OMAE,19 OCT 2004,JPN,1,,"Yanmar Stadium Nagai, Osaka (JPN)",17 MAY 2026,995,women_TJ,2026,https://worldathletics.org/athletes/japan/yuno-omae-14960951
73,12.79,+0.1,Khushnoza SHAVKATOVA,11 JUN 2005,UZB,4,,"Sport Development Center Stadium, Ordos (CHN)",12 JUL 2026,994,women_TJ,2026,https://worldathletics.org/athletes/athlete=14956285
74,12.78,+1.3,Xia YE,02 NOV 2007,CHN,6,,"Olympic Sports Center, Chongqing (CHN)",15 MAY 2026,993,women_TJ,2026,https://worldathletics.org/athletes/pr-of-china/xia-ye-15172293
75,12.77,0.0,Ruixuan LIANG,28 MAR 2007,CHN,2,,"Shangyu Stadium, Shaoxing (CHN)",03 APR 2026,992,women_TJ,2026,https://worldathletics.org/athletes/pr-of-china/ruixuan-liang-15309313
76,12.75,,Minjuan ZHANG,26 NOV 2000,CHN,2f2,,"Shanxi Athletics Administrative Center, Xi'an (CHN) (i)",08 MAR 2026,990,women_TJ,2026,https://worldathletics.org/athletes/athlete=14885334
