Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,3:36.01,,Jaeung LEE,16 SEP 2002,KOR,1,,"Municipal Stadium, Kitami (JPN)",16 JUL 2025,1161,men_1500m,2025,https://worldathletics.org/athletes/athlete=14849638
2,3:36.58,,Gulveer SINGH,01 JUN 1998,IND,4f2,,"Jack Kemp Stadium - Occidental College, Los Angeles, CA (USA)",12 JUL 2025,1153,men_1500m,2025,https://worldathletics.org/athletes/india/gulveer-singh-15023839
2,3:36.58,,Nanami ARAI,26 DEC 1994,JPN,2,,"Municipal Stadium, Kitami (JPN)",16 JUL 2025,1153,men_1500m,2025,https://worldathletics.org/athletes/athlete=14610362
4,3:36.81,,Kazuto IIZAWA,02 FEB 2001,JPN,1,,"National Stadium, Tokyo (JPN)",06 JUL 2025,1150,men_1500m,2025,https://worldathletics.org/athletes/athlete=14854857
5,3:36.92,,Seyedamir ZAMANPOUR,28 AUG 2000,IRI,3,,"Dubai Police Club Stadium, Dubai (UAE)",09 MAY 2025,1148,men_1500m,2025,https://worldathletics.org/athletes/athlete=14805622
6,3:37.37,,Kieran TUNTIVATE,16 FEB 1997,THA,2f1,,"Hayward Field, Eugene, OR (USA)",09 MAY 2025,1142,men_1500m,2025,https://worldathletics.org/athletes/athlete=14647807
7,3:38.16,,Tomonori YAMAGUCHI,13 APR 2003,JPN,2,,"National Stadium, Tokyo (JPN)",06 JUL 2025,1131,men_1500m,2025,https://worldathletics.org/athletes/japan/tomonori-yamaguchi-14962831
8,3:38.35,,Keisuke MORITA,19 OCT 1995,JPN,1f4,,"Egao Kenko Stadium, Kumamoto (JPN)",12 APR 2025,1129,men_1500m,2025,https://worldathletics.org/athletes/athlete=14803091
9,3:38.61,,Hinata MAEDA,08 SEP 2003,JPN,2f4,,"Egao Kenko Stadium, Kumamoto (JPN)",12 APR 2025,1125,men_1500m,2025,https://worldathletics.org/athletes/athlete=14904557
10,3:38.91,,Yusuke TAKAHASHI,28 JUL 1999,JPN,4,,"National Stadium, Tokyo (JPN)",06 JUL 2025,1121,men_1500m,2025,https://worldathletics.org/athletes/athlete=14803090
11,3:39.12,,Tomoki NAKANO,16 OCT 2002,JPN,1f2,,"Athletics Stadium, Setagaya, Tokyo (JPN)",12 JUL 2025,1118,men_1500m,2025,https://worldathletics.org/athletes/japan/tomoki-nakano-14954040
12,3:39.62,,Juda HYODO,05 AUG 2003,JPN,5,,"National Stadium, Tokyo (JPN)",06 JUL 2025,1112,men_1500m,2025,https://worldathletics.org/athletes/japan/juda-hyodo-14956674
13,3:39.70,,Kazuki KAWAMURA,13 NOV 1997,JPN,4f4,,"Egao Kenko Stadium, Kumamoto (JPN)",12 APR 2025,1110,men_1500m,2025,https://worldathletics.org/athletes/athlete=14719573
14,3:39.95,,Kiyoto ONO,31 AUG 2004,JPN,5f4,,"Egao Kenko Stadium, Kumamoto (JPN)",12 APR 2025,1107,men_1500m,2025,https://worldathletics.org/athletes/japan/kiyoto-ono-14958034
15,3:40.07,,Takumi SHIOBARA,29 MAR 2004,JPN,6,,"National Stadium, Tokyo (JPN)",06 JUL 2025,1106,men_1500m,2025,https://worldathletics.org/athletes/japan/takumi-shiobara-14998883
16,3:40.08,,Shota NAKANO,12 JUN 2001,JPN,3,,"Municipal Stadium, Kitami (JPN)",16 JUL 2025,1105,men_1500m,2025,https://worldathletics.org/athletes/athlete=14854897
17,3:40.18,,Takayoshi OBA,17 MAY 2005,JPN,7,,"National Stadium, Tokyo (JPN)",06 JUL 2025,1104,men_1500m,2025,https://worldathletics.org/athletes/japan/takayoshi-oba-14987760
18,3:40.20,,Ryoji TATEZAWA,16 MAY 1997,JPN,1,,"Douglas Track & Field, Auckland (NZL)",09 FEB 2025,1104,men_1500m,2025,https://worldathletics.org/athletes/athlete=14668323
19,3:40.39,,Ryoto AOKI,26 APR 2004,JPN,7f4,,"Egao Kenko Stadium, Kumamoto (JPN)",12 APR 2025,1101,men_1500m,2025,https://worldathletics.org/athletes/japan/ryoto-aoki-14957259
20,3:40.45,,Keito SUZUKI,07 NOV 2001,JPN,4,,"Municipal Stadium, Kitami (JPN)",16 JUL 2025,1100,men_1500m,2025,https://worldathletics.org/athletes/japan/keito-suzuki-14915454
21,3:40.47,,Jonghak PARK,05 JAN 2001,KOR,8f4,,"Egao Kenko Stadium, Kumamoto (JPN)",12 APR 2025,1100,men_1500m,2025,https://worldathletics.org/athletes/athlete=14815791
22,3:40.63,,Hyuga ENDO,05 AUG 1998,JPN,5,,"Municipal Stadium, Kitami (JPN)",16 JUL 2025,1098,men_1500m,2025,https://worldathletics.org/athletes/athlete=14671549
23,3:40.72,,Mikuto KANEKO,06 NOV 2001,JPN,9f4,,"Egao Kenko Stadium, Kumamoto (JPN)",12 APR 2025,1097,men_1500m,2025,https://worldathletics.org/athletes/athlete=14895782
24,3:40.83,,Haruki NIIZUMA,17 MAY 2007,JPN,2f4,,"Prefectural Stadium, Hiroshima (JPN)",25 JUL 2025,1095,men_1500m,2025,https://worldathletics.org/athletes/japan/haruki-niizuma-15005774
25,3:40.86,,Nagiya MORI,03 JUL 1999,JPN,2f4,,"AtletiekArena Gaston Roelants Kessel-Lo / Hal 5, Leuven (BEL)",16 AUG 2025,1095,men_1500m,2025,https://worldathletics.org/athletes/athlete=14841940
26,3:40.93,,Zakaria EL AHLAAMI,07 JUL 2004,QAT,1f1,,"Provincial domain Huizingen, Huizingen (BEL)",05 JUL 2025,1094,men_1500m,2025,https://worldathletics.org/athletes/qatar/zakaria-el-ahlaami-14953831
27,3:40.97,,Masato SAIKI,09 JAN 1995,JPN,10f4,,"Egao Kenko Stadium, Kumamoto (JPN)",12 APR 2025,1093,men_1500m,2025,https://worldathletics.org/athletes/athlete=14722731
28,3:41.10,,Rahul HARVEER SINGH,01 DEC 1996,IND,8,,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",29 MAR 2025,1092,men_1500m,2025,https://worldathletics.org/athletes/athlete=14662201
29,3:41.20,,Sho KAWAMOTO,01 MAR 1993,JPN,3f2,,"Athletics Stadium, Setagaya, Tokyo (JPN)",12 JUL 2025,1090,men_1500m,2025,https://worldathletics.org/athletes/athlete=14388853
30,3:41.22,,Yoonus SHAH,10 MAY 2001,IND,1,,"Jawaharlal Nehru Stadium, Chennai (IND)",21 AUG 2025,1090,men_1500m,2025,https://worldathletics.org/athletes/india/yoonus-shah-15051256
31,3:41.55,,Ajay Kumar SAROJ,01 MAY 1997,IND,2,,"Jawaharlal Nehru Stadium, Chennai (IND)",21 AUG 2025,1086,men_1500m,2025,https://worldathletics.org/athletes/athlete=14549084
