Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
32,3:42.05,,Seiya YAMAMOTO,08 APR 2007,JPN,3f4,,"Prefectural Stadium, Hiroshima (JPN)",25 JUL 2025,1079,men_1500m,2025,https://worldathletics.org/athletes/japan/seiya-yamamoto-15102170
33,3:42.07,,Tomohiro CHIMORI,27 DEC 2000,JPN,13f4,,"Egao Kenko Stadium, Kumamoto (JPN)",12 APR 2025,1079,men_1500m,2025,https://worldathletics.org/athletes/athlete=14888963
34,3:42.25,,Dezhu LIU,16 SEP 2000,CHN,1,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",20 NOV 2025,1076,men_1500m,2025,https://worldathletics.org/athletes/athlete=14811434
35,3:42.27,,Sei YOSHIDA,10 AUG 2008,JPN,4f4,,"Prefectural Stadium, Hiroshima (JPN)",25 JUL 2025,1076,men_1500m,2025,https://worldathletics.org/athletes/japan/sei-yoshida-15106674
36,3:42.53,,Akito NAKAMURA,04 MAY 2004,JPN,5,,"Prefectural Stadium, Okayama (JPN)",06 JUN 2025,1073,men_1500m,2025,https://worldathletics.org/athletes/japan/akito-nakamura-15000432
37,3:42.57,,Atsuki URUSHIBATA,19 JUN 2001,JPN,6h1,,"National Stadium, Tokyo (JPN)",05 JUL 2025,1072,men_1500m,2025,https://worldathletics.org/athletes/athlete=14868818
38,3:42.76,,Hironori TACHIZAKO,18 NOV 2005,JPN,1f3,,"Egao Kenko Stadium, Kumamoto (JPN)",12 APR 2025,1070,men_1500m,2025,https://worldathletics.org/athletes/japan/hironori-tachizako-14998872
39,3:42.77,,Narender SINGH,07 OCT 1997,IND,3,,"Maharaja's College Grounds, Kochi (IND)",21 APR 2025,1070,men_1500m,2025,https://worldathletics.org/athletes/india/narender-singh-15100720
39,3:42.77,,Hamza DRIOUCH,16 NOV 1994,QAT,4f4,,"Jack Kemp Stadium - Occidental College, Los Angeles, CA (USA)",12 JUL 2025,1070,men_1500m,2025,https://worldathletics.org/athletes/athlete=14408590
41,3:42.86,,Arjun WASKALE,03 JUL 2003,IND,3,,"Jawaharlal Nehru Stadium, Chennai (IND)",21 AUG 2025,1068,men_1500m,2025,https://worldathletics.org/athletes/athlete=14921166
42,3:42.94,,Taiyo SUZUKI,06 JUN 2003,JPN,6,,"Prefectural Stadium, Okayama (JPN)",06 JUN 2025,1067,men_1500m,2025,https://worldathletics.org/athletes/japan/taiyo-suzuki-14996650
43,3:43.15,,Ryuto URUSHIBATA,10 AUG 2000,JPN,1f2,,"Honjo Athletic Stadium, Kitakyushu (JPN)",17 MAY 2025,1065,men_1500m,2025,https://worldathletics.org/athletes/athlete=14854837
44,3:43.18,,Ali AMIRIAN,17 SEP 2003,IRI,4,,"Gumi Civic Stadium, Gumi (KOR)",28 MAY 2025,1064,men_1500m,2025,https://worldathletics.org/athletes/athlete=14988264
45,3:43.21,,Rahul BALODA,05 JUN 1999,IND,4,,"Jawaharlal Nehru Stadium, Chennai (IND)",21 AUG 2025,1064,men_1500m,2025,https://worldathletics.org/athletes/india/rahul-baloda-15023848
46,3:43.29,,Youta YAGUCHI,07 JUL 2004,JPN,7,,"Prefectural Stadium, Okayama (JPN)",06 JUN 2025,1063,men_1500m,2025,https://worldathletics.org/athletes/japan/youta-yaguchi-15045376
47,3:43.34,,Hiroto TAKAMURA,09 DEC 2002,JPN,2f2,,"Ishin Me-Life Stadium, Yamaguchi (JPN)",27 SEP 2025,1062,men_1500m,2025,https://worldathletics.org/athletes/japan/hiroto-takamura-14966965
48,3:43.43,,Nursultan KENESHBEKOV,25 MAR 2000,KGZ,1,,"AFU Athletics Stadium, Tashkent (UZB)",17 AUG 2025,1061,men_1500m,2025,https://worldathletics.org/athletes/athlete=14847131
49,3:43.44,,Shuntaro KAWAGUCHI,18 JAN 2007,JPN,4,,"International Stadium, Yokohama (JPN)",20 AUG 2025,1061,men_1500m,2025,https://worldathletics.org/athletes/japan/shuntaro-kawaguchi-14967563
50,3:43.50,,Meguru KOBAYASHI,01 JUN 2007,JPN,5f4,,"Prefectural Stadium, Hiroshima (JPN)",25 JUL 2025,1060,men_1500m,2025,https://worldathletics.org/athletes/japan/meguru-kobayashi-15101191
51,3:43.58,,Yuto KAJITANI,22 NOV 2002,JPN,1f5,,"Yanmar Stadium Nagai, Osaka (JPN)",08 JUN 2025,1059,men_1500m,2025,https://worldathletics.org/athletes/athlete=14896912
52,3:43.59,,Ryota MORI,11 SEP 2007,JPN,6f4,,"Prefectural Stadium, Hiroshima (JPN)",25 JUL 2025,1059,men_1500m,2025,https://worldathletics.org/athletes/japan/ryota-mori-15164188
53,3:43.63,,Masaya YANAGIMOTO,11 JAN 2002,JPN,2f2,,"Nagaragawa Stadium, Gifu (JPN)",10 MAY 2025,1058,men_1500m,2025,https://worldathletics.org/athletes/athlete=14854844
53,3:43.63,,Prakash Balu GADADE,31 JUL 2002,IND,5,,"Jawaharlal Nehru Stadium, Chennai (IND)",21 AUG 2025,1058,men_1500m,2025,https://worldathletics.org/athletes/athlete=14884148
55,3:43.64,,Kosuke MORITANI,18 APR 1995,JPN,14f4,,"Egao Kenko Stadium, Kumamoto (JPN)",12 APR 2025,1058,men_1500m,2025,https://worldathletics.org/athletes/athlete=14856614
56,3:43.67,,Naoto KATAYAMA,29 NOV 2000,JPN,15f4,,"Egao Kenko Stadium, Kumamoto (JPN)",12 APR 2025,1058,men_1500m,2025,https://worldathletics.org/athletes/japan/naoto-katayama-14951489
57,3:43.68,,. SHAILABH,11 SEP 2005,IND,6,,"Jawaharlal Nehru Stadium, Chennai (IND)",21 AUG 2025,1058,men_1500m,2025,https://worldathletics.org/athletes/india/shailabh-15033869
58,3:43.69,,Kartik KARKERA,17 MAR 1997,IND,6,,"Maharaja's College Grounds, Kochi (IND)",21 APR 2025,1058,men_1500m,2025,https://worldathletics.org/athletes/athlete=14867759
59,3:43.79,,Akira AKASAKI,21 JAN 1998,JPN,2f2,,"Honjo Athletic Stadium, Kitakyushu (JPN)",17 MAY 2025,1056,men_1500m,2025,https://worldathletics.org/athletes/athlete=14765559
60,3:43.88,,Koki TERADA,22 SEP 2005,JPN,1f2,,"Athletics Stadium, Setagaya, Tokyo (JPN)",04 OCT 2025,1055,men_1500m,2025,https://worldathletics.org/athletes/japan/koki-terada-14978240
61,3:43.96,,Ryouta ISEMURA,21 MAR 2008,JPN,7f4,,"Prefectural Stadium, Hiroshima (JPN)",25 JUL 2025,1054,men_1500m,2025,https://worldathletics.org/athletes/japan/ryouta-isemura-15052729
62,3:43.99,,Hiroki MATSUEDA,20 MAY 1993,JPN,1f4,,"Prefectural Stadium, Kumagaya (JPN)",23 MAY 2025,1054,men_1500m,2025,https://worldathletics.org/athletes/athlete=14557258
63,3:44.14,,Rikuto IJIMA,17 JUL 1997,JPN,2,,"Athletics Stadium, Fukagawa (JPN)",11 JUN 2025,1052,men_1500m,2025,https://worldathletics.org/athletes/athlete=14719571
64,3:44.18,,Ko OCHIAI,17 AUG 2006,JPN,17f4,,"Egao Kenko Stadium, Kumamoto (JPN)",12 APR 2025,1051,men_1500m,2025,https://worldathletics.org/athletes/japan/ko-ochiai-15005773
65,3:44.24,,Rantaro KUROIWA,12 DEC 2007,JPN,1f1,,"Prefectural Stadium, Hiroshima (JPN)",25 JUL 2025,1050,men_1500m,2025,https://worldathletics.org/athletes/japan/rantaro-kuroiwa-15103723
66,3:44.31,,Sulaiman MOHAMED KOSJI,,QAT,2,,"Suhaim bin Hamad Stadium, Doha (QAT)",08 APR 2025,1049,men_1500m,2025,https://worldathletics.org/athletes/qatar/sulaiman-mohamed-kosji-15226006
67,3:44.33,,Kota TAMURA,15 DEC 2007,JPN,1,,"Yanmar Stadium Nagai, Osaka (JPN)",27 JUN 2025,1049,men_1500m,2025,https://worldathletics.org/athletes/japan/kota-tamura-15174799
68,3:44.36,,Akira SOGA,09 OCT 2007,JPN,1,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",26 APR 2025,1049,men_1500m,2025,https://worldathletics.org/athletes/japan/akira-soga-15168375
69,3:44.38,,Peilin TAO,06 SEP 2002,CHN,2,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",20 NOV 2025,1048,men_1500m,2025,https://worldathletics.org/athletes/athlete=14839782
70,3:44.41,,Yiduo YAN,01 JUL 2004,CHN,1h2,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",17 NOV 2025,1048,men_1500m,2025,https://worldathletics.org/athletes/pr-of-china/yiduo-yan-15031130
71,3:44.49,,Shuta AZUMA,27 JUN 2003,JPN,2h3,,"Prefectural Stadium, Okayama (JPN)",05 JUN 2025,1047,men_1500m,2025,https://worldathletics.org/athletes/athlete=14960045
72,3:44.71,,Yuichiro NISHIKAWA,10 OCT 1997,JPN,7f2,,"JIT Recycled Ink Stadium, Kofu (JPN)",07 JUN 2025,1044,men_1500m,2025,https://worldathletics.org/athletes/athlete=14733494
73,3:44.81,,Toshiki YAMADA,14 SEP 2001,JPN,8,,"Municipal Stadium, Kitami (JPN)",16 JUL 2025,1043,men_1500m,2025,https://worldathletics.org/athletes/athlete=14854847
74,3:44.84,,Xiaoheng XI,08 DEC 1999,CHN,3,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",20 NOV 2025,1042,men_1500m,2025,https://worldathletics.org/athletes/athlete=14750659
75,3:44.85,,Konosuke TAMURA,06 MAY 2006,JPN,1f1,,"Athletics Stadium, Setagaya, Tokyo (JPN)",12 JUL 2025,1042,men_1500m,2025,https://worldathletics.org/athletes/japan/konosuke-tamura-15085849
76,3:44.86,,Soma MATSUMOTO,12 NOV 2003,JPN,1,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",14 JUN 2025,1042,men_1500m,2025,https://worldathletics.org/athletes/athlete=14921569
76,3:44.86,,Ningkai SUN,20 AUG 2005,CHN,4,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",20 NOV 2025,1042,men_1500m,2025,https://worldathletics.org/athletes/pr-of-china/ningkai-sun-14979088
78,3:44.90,,Koshiro TANIMOTO,22 APR 2005,JPN,3h1,,"Prefectural Stadium, Okayama (JPN)",05 JUN 2025,1042,men_1500m,2025,https://worldathletics.org/athletes/japan/koshiro-tanimoto-14967517
79,3:44.95,,Naoya OTSUKA,13 FEB 2004,JPN,4h1,,"Prefectural Stadium, Okayama (JPN)",05 JUN 2025,1041,men_1500m,2025,https://worldathletics.org/athletes/japan/naoya-otsuka-14956467
80,3:44.96,,Daichi SHIBATA,02 NOV 2004,JPN,3f2,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",31 MAY 2025,1041,men_1500m,2025,https://worldathletics.org/athletes/athlete=14904556
81,3:44.98,,Yasunari KUSU,21 AUG 1993,JPN,6f2,,"Athletics Stadium, Setagaya, Tokyo (JPN)",12 JUL 2025,1041,men_1500m,2025,https://worldathletics.org/athletes/athlete=14532918
82,3:45.03,,Nayabu Naoki YOSHIKURA,18 MAY 2005,JPN,8,,"Prefectural Stadium, Okayama (JPN)",06 JUN 2025,1040,men_1500m,2025,https://worldathletics.org/athletes/japan/nayabu-naoki-yoshikura-14996875
83,3:45.11,,Amit KUMAR,22 MAY 2004,IND,8,,"Jawaharlal Nehru Stadium, Chennai (IND)",21 AUG 2025,1039,men_1500m,2025,https://worldathletics.org/athletes/india/amit-kumar-15114628
84,3:45.21,,Sota TAKASHIMA,01 OCT 2003,JPN,5h3,,"Prefectural Stadium, Okayama (JPN)",05 JUN 2025,1038,men_1500m,2025,https://worldathletics.org/athletes/japan/sota-takashima-14954420
85,3:45.26,,Tzu-Chieh CHIEN,05 APR 2007,TPE,8f4,,"Prefectural Stadium, Hiroshima (JPN)",25 JUL 2025,1037,men_1500m,2025,https://worldathletics.org/athletes/chinese-taipei/tzu-chieh-chien-15054600
86,3:45.36,,Nagi MIYAMOTO,24 JUN 2004,JPN,7f2,,"Athletics Stadium, Setagaya, Tokyo (JPN)",12 JUL 2025,1036,men_1500m,2025,https://worldathletics.org/athletes/japan/nagi-miyamoto-14998874
87,3:45.40,,Hikaru OGAWARA,05 NOV 2005,JPN,2,,"Gion Stadium, Sagamihara (JPN)",09 MAY 2025,1035,men_1500m,2025,https://worldathletics.org/athletes/japan/hikaru-ogawara-15048115
88,3:45.43,,Shouei NARUSAWA,20 DEC 2004,JPN,9f2,,"Athletics Stadium, Setagaya, Tokyo (JPN)",12 JUL 2025,1035,men_1500m,2025,https://worldathletics.org/athletes/japan/shouei-narusawa-15007685
89,3:45.50,,Kanata FUJII,22 AUG 2003,JPN,2f1,,"Athletics Stadium, Setagaya, Tokyo (JPN)",12 JUL 2025,1034,men_1500m,2025,https://worldathletics.org/athletes/japan/kanata-fujii-15046774
89,3:45.50,,Taichi SUZUKI,21 JUN 2007,JPN,9f4,,"Prefectural Stadium, Hiroshima (JPN)",25 JUL 2025,1034,men_1500m,2025,https://worldathletics.org/athletes/japan/taichi-suzuki-15052725
91,3:45.53,,Mustafa ABDEL QADER,,QAT,3,,"Suhaim bin Hamad Stadium, Doha (QAT)",08 APR 2025,1034,men_1500m,2025,https://worldathletics.org/athletes/qatar/mustafa-abdel-qader-15226007
92,3:45.59,,Yuki ISHII,03 DEC 1997,JPN,2f5,,"Yanmar Stadium Nagai, Osaka (JPN)",08 JUN 2025,1033,men_1500m,2025,https://worldathletics.org/athletes/athlete=14780870
92,3:45.59,,Kento YAMAUCHI,24 DEC 2001,JPN,4,,"Athletics Stadium, Fukagawa (JPN)",11 JUN 2025,1033,men_1500m,2025,https://worldathletics.org/athletes/japan/kento-yamauchi-14950183
92,3:45.59,,Yong-soo KIM,17 JUL 1998,KOR,9,,"Municipal Stadium, Kitami (JPN)",16 JUL 2025,1033,men_1500m,2025,https://worldathletics.org/athletes/athlete=14800046
95,3:45.64,,Nirmit DAHIYA,03 JAN 1999,IND,4f12,,"Cougar Athletic Stadium, Azusa, CA (USA)",10 MAY 2025,1032,men_1500m,2025,https://worldathletics.org/athletes/athlete=14818404
96,3:45.65,,Seiya SUNADA,30 OCT 2001,JPN,4f4,,"Prefectural Stadium, Kumagaya (JPN)",23 MAY 2025,1032,men_1500m,2025,https://worldathletics.org/athletes/athlete=14861184
97,3:45.70,,Amirfarzam SAFARI,27 JAN 2002,IRI,1,,"Aftab Enghelab Sport Complex, Tehran (IRI)",15 AUG 2025,1031,men_1500m,2025,https://worldathletics.org/athletes/islamic-republic-of-iran/amirfarzam-safari-14951824
98,3:45.73,,Junlin LI,06 AUG 1998,CHN,1,,"Kuishan Sports Center, Rizhao (CHN)",26 SEP 2025,1031,men_1500m,2025,https://worldathletics.org/athletes/athlete=14810107
99,3:45.77,,Mubarik Abdi SAID,02 MAY 2008,QAT,2,,"Sportcomplex Het Langepad, Rotterdam (NED)",26 JUL 2025,1030,men_1500m,2025,https://worldathletics.org/athletes/qatar/mubarik-abdi-said-15140395
100,3:45.79,,Shixing WANG,08 DEC 2001,CHN,5,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",20 NOV 2025,1030,men_1500m,2025,https://worldathletics.org/athletes/pr-of-china/shixing-wang-14952908
101,3:45.82,,Kota NAKAJIMA,08 NOV 2002,JPN,1f3,,"Prefectural Stadium, Kumagaya (JPN)",23 MAY 2025,1030,men_1500m,2025,https://worldathletics.org/athletes/japan/kota-nakajima-14948286
102,3:45.89,,Genki NOGAWA,27 AUG 2005,JPN,3f1,,"Athletics Stadium, Setagaya, Tokyo (JPN)",12 JUL 2025,1029,men_1500m,2025,https://worldathletics.org/athletes/japan/genki-nogawa-14997912
103,3:45.97,,Fumiya OKIMI,18 MAY 1998,JPN,2,,"Yanmar Stadium Nagai, Osaka (JPN)",27 JUN 2025,1028,men_1500m,2025,https://worldathletics.org/athletes/athlete=14856635
104,3:46.02,,Kamal TALIB,15 JUN 2008,QAT,1f1,,"Putbosstadion, Oordegem (BEL)",09 AUG 2025,1027,men_1500m,2025,https://worldathletics.org/athletes/qatar/kamal-talib-15140398
105,3:46.03,,Yohei IKEDA,22 JUN 1998,JPN,2,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",26 APR 2025,1027,men_1500m,2025,https://worldathletics.org/athletes/athlete=14764466
106,3:46.04,,Yuki SETO,10 NOV 1998,JPN,3,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",26 APR 2025,1027,men_1500m,2025,https://worldathletics.org/athletes/athlete=14900227
107,3:46.05,,Hiroto YOSHIOKA,18 MAY 2004,JPN,8h1,,"National Stadium, Tokyo (JPN)",05 JUL 2025,1027,men_1500m,2025,https://worldathletics.org/athletes/athlete=14954030
108,3:46.07,,Guobin YANG,24 AUG 2001,CHN,4h2,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",17 NOV 2025,1027,men_1500m,2025,https://worldathletics.org/athletes/athlete=14893331
109,3:46.12,,Raed AL JADANI,02 AUG 1996,KSA,3,,"UJ Stadium, Johannesburg (RSA)",19 MAR 2025,1026,men_1500m,2025,https://worldathletics.org/athletes/athlete=14830788
110,3:46.14,,Yuto NAKAHARA,21 JUN 2002,JPN,2f1,,"Ishin Me-Life Stadium, Yamaguchi (JPN)",27 SEP 2025,1026,men_1500m,2025,https://worldathletics.org/athletes/athlete=14860556
111,3:46.17,,Katsuhiko SUZUKI,22 JUL 2000,JPN,5f4,,"Prefectural Stadium, Kumagaya (JPN)",23 MAY 2025,1025,men_1500m,2025,https://worldathletics.org/athletes/japan/katsuhiko-suzuki-14954355
112,3:46.19,,Shuuto IGUCHI,05 OCT 2005,JPN,1,,"Mikio Oda Memorial Athletic Field, Tokorozawa (JPN)",19 APR 2025,1025,men_1500m,2025,https://worldathletics.org/athletes/japan/shuuto-iguchi-15000929
113,3:46.20,,Hossein NOURI,01 DEC 2003,IRI,2,,"Shahid Beheshti Stadium, Busehr (IRI)",12 FEB 2025,1025,men_1500m,2025,https://worldathletics.org/athletes/islamic-republic-of-iran/hossein-nouri-14993293
114,3:46.23,,Ryota KOBAYASHI,13 MAY 2002,JPN,3f2,,"Nagaragawa Stadium, Gifu (JPN)",10 MAY 2025,1024,men_1500m,2025,https://worldathletics.org/athletes/japan/ryota-kobayashi-15048494
115,3:46.27,,Sunil DAWAR,02 AUG 2001,IND,1,,"Sree Kanteerava Outdoor Stadium, Bengaluru (IND)",28 SEP 2025,1024,men_1500m,2025,https://worldathletics.org/athletes/athlete=14881840
116,3:46.33,,Yusuke WATANABE,20 JUN 2004,JPN,6h3,,"Prefectural Stadium, Okayama (JPN)",05 JUN 2025,1023,men_1500m,2025,https://worldathletics.org/athletes/japan/yusuke-watanabe-14958036
117,3:46.35,,Kazuhumi IWASHITA,02 OCT 2004,JPN,3f4,,"Komazawa Olympic Park Athletic Stadium, Tokyo (JPN)",19 OCT 2025,1023,men_1500m,2025,https://worldathletics.org/athletes/japan/kazuhumi-iwashita-14979653
118,3:46.37,,Jo AOKI,20 APR 2005,JPN,11f2,,"Athletics Stadium, Setagaya, Tokyo (JPN)",12 JUL 2025,1023,men_1500m,2025,https://worldathletics.org/athletes/japan/jo-aoki-14963483
119,3:46.39,,Weizhong ZHU,20 NOV 2001,CHN,2h1,,"Zhaoqing Sports Center, Zhaoqing (CHN)",11 APR 2025,1022,men_1500m,2025,https://worldathletics.org/athletes/pr-of-china/weizhong-zhu-15115117
119,3:46.39,,Koichiro SHINKAI,17 APR 2003,JPN,2f3,,"Egao Kenko Stadium, Kumamoto (JPN)",12 APR 2025,1022,men_1500m,2025,https://worldathletics.org/athletes/japan/koichiro-shinkai-14956468
121,3:46.40,,Naoki MATSUI,10 JAN 2000,JPN,7f4,,"Prefectural Stadium, Kumagaya (JPN)",23 MAY 2025,1022,men_1500m,2025,https://worldathletics.org/athletes/athlete=14886068
122,3:46.48,,Tatsuya IIZUKA,21 NOV 2001,JPN,4f1,,"Athletics Stadium, Setagaya, Tokyo (JPN)",12 JUL 2025,1021,men_1500m,2025,https://worldathletics.org/athletes/japan/tatsuya-iizuka-14971652
123,3:46.49,,Ryo HIGUCHI,21 JAN 2005,JPN,6f3,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",04 APR 2025,1021,men_1500m,2025,https://worldathletics.org/athletes/japan/ryo-higuchi-14999835
124,3:46.52,,Noriaki OYAMA,11 AUG 1995,JPN,2f3,,"Prefectural Stadium, Kumagaya (JPN)",23 MAY 2025,1021,men_1500m,2025,https://worldathletics.org/athletes/athlete=14574806
125,3:46.53,,Mitsuki KOSAKA,02 AUG 2004,JPN,5,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",26 APR 2025,1021,men_1500m,2025,https://worldathletics.org/athletes/japan/mitsuki-kosaka-15147298
126,3:46.55,,Kou KOBAYASHI,14 DEC 1996,JPN,5f2,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",31 MAY 2025,1020,men_1500m,2025,https://worldathletics.org/athletes/athlete=14659388
127,3:46.56,,Sota IIHOSHI,21 JUN 2008,JPN,2,,"Takebishi Stadium, Kyoto (JPN)",13 JUN 2025,1020,men_1500m,2025,https://worldathletics.org/athletes/japan/sota-iihoshi-15181228
