Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,22.45,0.0,Salwa Eid NASER,23 MAY 1998,BRN,1,,"Estadio Luguelín Santos, Bayaguana (DOM)",29 MAR 2025,1191,women_200m,2025,https://worldathletics.org/athletes/athlete=14643442
2,22.79,+1.0,Abigeirufuka IDO,15 JUN 2001,JPN,1,,"Hokuroku Park Athletic Field, Fujiyoshida (JPN)",03 AUG 2025,1156,women_200m,2025,https://worldathletics.org/athletes/athlete=14817771
3,22.81,+1.8,Veronica Shanti PEREIRA,20 SEP 1996,SGP,2,,"Prefectural Shizuoka Stadium, Fukuroi (JPN)",03 MAY 2025,1154,women_200m,2025,https://worldathletics.org/athletes/athlete=14472153
4,22.97,+0.3,Yujie CHEN,29 DEC 2008,CHN,1,,"Gumi Civic Stadium, Gumi (KOR)",31 MAY 2025,1138,women_200m,2025,https://worldathletics.org/athletes/pr-of-china/yujie-chen-15138450
5,22.99,+0.7,Edidiong ODIONG,13 MAR 1997,BRN,1,,Riyadh (KSA),20 NOV 2025,1136,women_200m,2025,https://worldathletics.org/athletes/athlete=14541241
6,23.12,-0.1,Junying ZHU,09 SEP 2004,CHN,2,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",19 NOV 2025,1122,women_200m,2025,https://worldathletics.org/athletes/pr-of-china/junying-zhu-15084997
7,23.14,+1.0,Thi Cam Tu LE,10 MAY 2005,VIE,2,,"Supachalasai National Stadium, Bangkok (THA)",13 DEC 2025,1120,women_200m,2025,https://worldathletics.org/athletes/vietnam/thi-cam-tu-le-15110503
8,23.16,-0.4,Xiaojing LIANG,07 APR 1997,CHN,1h4,,"Sports Center, Quzhou (CHN)",02 AUG 2025,1120,women_200m,2025,https://worldathletics.org/athletes/athlete=14583567
9,23.19,-0.1,Yanting CAI,11 NOV 2000,CHN,3,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",19 NOV 2025,1115,women_200m,2025,https://worldathletics.org/athletes/athlete=14811634
10,23.20,+1.0,Ami TAKAHASHI,20 MAR 2005,JPN,2,,"Hokuroku Park Athletic Field, Fujiyoshida (JPN)",03 AUG 2025,1114,women_200m,2025,https://worldathletics.org/athletes/japan/ami-takahashi-14957944
11,23.21,+1.8,Remi TSURUTA,18 APR 1997,JPN,3,,"Prefectural Shizuoka Stadium, Fukuroi (JPN)",03 MAY 2025,1113,women_200m,2025,https://worldathletics.org/athletes/athlete=14727994
12,23.23,+0.3,Yuting LI,03 MAY 2002,CHN,3,,"Gumi Civic Stadium, Gumi (KOR)",31 MAY 2025,1111,women_200m,2025,https://worldathletics.org/athletes/athlete=14857395
13,23.25,-0.1,Maryam TOOSI,05 DEC 1988,IRI,1,,"Sardar Jangal Stadium, Rasht (IRI)",05 MAY 2025,1109,women_200m,2025,https://worldathletics.org/athletes/athlete=14283125
14,23.31,+1.4,Miyuko MAEDA,06 AUG 2004,JPN,1h1,,"Fukuoka University Stadium, Fukuoka (JPN)",19 JUL 2025,1103,women_200m,2025,https://worldathletics.org/athletes/japan/miyuko-maeda-14950920
15,23.34,-0.4,Yinglan LIU,21 OCT 2005,CHN,2,,"Guoxin Sports Center, Qingdao (CHN)",20 JUN 2025,1102,women_200m,2025,https://worldathletics.org/athletes/pr-of-china/yinglan-liu-14976973
16,23.35,+1.0,Jyothi YARRAJI,28 AUG 1999,IND,1,,"Maharana Pratap Sports College Dehradun, Dehradun (IND)",11 FEB 2025,1099,women_200m,2025,https://worldathletics.org/athletes/athlete=14734731
