Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,30:48.44,,Daisy JEPKEMEI,13 FEB 1996,KAZ,1,,"Gumi Civic Stadium, Gumi (KOR)",29 MAY 2025,1203,women_10000m,2025,https://worldathletics.org/athletes/athlete=14530633
2,30:54.40,,Nozomi TANAKA,04 SEP 1999,JPN,3f3,,"Yanmar Stadium Nagai, Osaka (JPN)",06 DEC 2025,1198,women_10000m,2025,https://worldathletics.org/athletes/athlete=14632538
3,30:56.32,,Ririka HIRONAKA,24 NOV 2000,JPN,2,,"Gumi Civic Stadium, Gumi (KOR)",29 MAY 2025,1196,women_10000m,2025,https://worldathletics.org/athletes/athlete=14766617
4,31:03.14,,Wakana KABASAWA,24 MAR 1999,JPN,4f3,,"Yanmar Stadium Nagai, Osaka (JPN)",06 DEC 2025,1190,women_10000m,2025,https://worldathletics.org/athletes/athlete=14608139
5,31:07.21,,Kana MIZUMOTO,26 JAN 2005,JPN,6f3,,"Yanmar Stadium Nagai, Osaka (JPN)",06 DEC 2025,1186,women_10000m,2025,https://worldathletics.org/athletes/japan/kana-mizumoto-14955419
6,31:08.28,,Miu SAITO,22 JUN 2002,JPN,7f3,,"Yanmar Stadium Nagai, Osaka (JPN)",06 DEC 2025,1185,women_10000m,2025,https://worldathletics.org/athletes/athlete=14931241
7,31:12.21,,Mikuni YADA,29 OCT 1999,JPN,3,,"Gumi Civic Stadium, Gumi (KOR)",29 MAY 2025,1182,women_10000m,2025,https://worldathletics.org/athletes/athlete=14747887
8,31:18.54,,Risa YAMAZAKI,29 AUG 2002,JPN,9f3,,"Yanmar Stadium Nagai, Osaka (JPN)",06 DEC 2025,1176,women_10000m,2025,https://worldathletics.org/athletes/athlete=14895856
9,31:36.18,,Wuga HE,28 JUL 1998,CHN,4,,"Gumi Civic Stadium, Gumi (KOR)",29 MAY 2025,1160,women_10000m,2025,https://worldathletics.org/athletes/athlete=14862415
10,31:42.92,,Rika KASEDA,02 MAR 1999,JPN,3,,"Athletic Track, Abashiri (JPN)",19 JUL 2025,1154,women_10000m,2025,https://worldathletics.org/athletes/athlete=14719677
11,31:51.95,,Rina SHIMIZU,05 OCT 1999,JPN,10f3,,"Yanmar Stadium Nagai, Osaka (JPN)",06 DEC 2025,1146,women_10000m,2025,https://worldathletics.org/athletes/athlete=14898846
12,31:56.00,,Ayu HENMI,31 AUG 2000,JPN,11f3,,"Yanmar Stadium Nagai, Osaka (JPN)",06 DEC 2025,1143,women_10000m,2025,https://worldathletics.org/athletes/athlete=14858009
13,32:01.72,,Shiho TACHIZAKO,26 DEC 2003,JPN,12f3,,"Yanmar Stadium Nagai, Osaka (JPN)",06 DEC 2025,1138,women_10000m,2025,https://worldathletics.org/athletes/japan/shiho-tachizako-14956139
14,32:01.87,,Nanaka IZAWA,13 APR 1991,JPN,1,,"Athletics Stadium, Shibetsu (JPN)",14 JUN 2025,1137,women_10000m,2025,https://worldathletics.org/athletes/athlete=14335034
