Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,4:04.01,,Nelly JEPKOSGEI,14 JUL 1991,BRN,9,,"Stade Olympique, Rabat (MAR)",25 MAY 2025,1173,women_1500m,2025,https://worldathletics.org/athletes/athlete=14373314
2,4:04.16,,Nozomi TANAKA,04 SEP 1999,JPN,1,,"National Stadium, Tokyo (JPN)",06 JUL 2025,1172,women_1500m,2025,https://worldathletics.org/athletes/athlete=14632538
3,4:06.28,,Chunhui LI,29 MAR 2001,CHN,1,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",20 NOV 2025,1156,women_1500m,2025,https://worldathletics.org/athletes/pr-of-china/chunhui-li-14803753
4,4:09.88,,Tomoka KIMURA,12 NOV 1994,JPN,2,,"National Stadium, Tokyo (JPN)",06 JUL 2025,1127,women_1500m,2025,https://worldathletics.org/athletes/athlete=14423325
5,4:10.68,,. POOJA,17 JUN 2002,IND,1,,"Jawaharlal Nehru Stadium, Chennai (IND)",21 AUG 2025,1121,women_1500m,2025,https://worldathletics.org/athletes/athlete=14818407
6,4:10.88,,Lili DAS,18 MAR 1998,IND,1,,"Maharaja's College Grounds, Kochi (IND)",21 APR 2025,1120,women_1500m,2025,https://worldathletics.org/athletes/athlete=14643501
7,4:11.02,,Airi TAJIMA,09 AUG 2004,JPN,7f2,,"Putbosstadion, Oordegem (BEL)",09 AUG 2025,1119,women_1500m,2025,https://worldathletics.org/athletes/japan/airi-tajima-14980474
8,4:11.07,,Rin KUBO,20 JAN 2008,JPN,1,,"Takebishi Stadium, Kyoto (JPN)",13 JUN 2025,1118,women_1500m,2025,https://worldathletics.org/athletes/japan/rin-kubo-15005744
9,4:11.86,,Hongjiao WU,25 JUL 2003,CHN,2,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",20 NOV 2025,1112,women_1500m,2025,https://worldathletics.org/athletes/athlete=14885770
10,4:12.48,,Nodoka ASHIDA,19 JUN 2007,JPN,2,,"Takebishi Stadium, Kyoto (JPN)",13 JUN 2025,1107,women_1500m,2025,https://worldathletics.org/athletes/japan/nodoka-ashida-15171240
