Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
22,15:25.85,,Mizuki MICHISHITA,01 AUG 2001,JPN,6f2,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2025,1113,women_5000m,2025,https://worldathletics.org/athletes/athlete=14887755
23,15:26.17,,Risa YAMAZAKI,29 AUG 2002,JPN,6f2,,"Prefectural Stadium, Kumagaya (JPN)",25 MAY 2025,1113,women_5000m,2025,https://worldathletics.org/athletes/athlete=14895856
24,15:26.18,,Huiru LIU,20 AUG 2005,CHN,5,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",18 NOV 2025,1113,women_5000m,2025,https://worldathletics.org/athletes/pr-of-china/huiru-liu-15032238
25,15:26.64,,Nanaka YONEZAWA,24 FEB 2004,JPN,3,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",15 NOV 2025,1112,women_5000m,2025,https://worldathletics.org/athletes/athlete=14860668
26,15:26.98,,Momoa YAMADA,13 MAY 2001,JPN,1f4,,"Yanmar Stadium Nagai, Osaka (JPN)",06 DEC 2025,1111,women_5000m,2025,https://worldathletics.org/athletes/japan/momoa-yamada-14985780
27,15:27.04,,Maki IZUMIDA,22 JAN 1996,JPN,12f1,,"Aoba Park Athletic Field, Chitose (JPN)",12 JUL 2025,1111,women_5000m,2025,https://worldathletics.org/athletes/athlete=14499989
28,15:27.27,,Natsuki OMORI,22 JUN 1994,JPN,13f1,,"Aoba Park Athletic Field, Chitose (JPN)",12 JUL 2025,1111,women_5000m,2025,https://worldathletics.org/athletes/athlete=14441904
29,15:27.28,,Mei HOSOMI,04 JAN 2007,JPN,14f1,,"Aoba Park Athletic Field, Chitose (JPN)",12 JUL 2025,1111,women_5000m,2025,https://worldathletics.org/athletes/japan/mei-hosomi-14969031
30,15:27.79,,Ayami YOSHIDA,11 OCT 2007,JPN,15f2,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",29 NOV 2025,1110,women_5000m,2025,https://worldathletics.org/athletes/japan/ayami-yoshida-15050389
31,15:28.02,,Kazuna KANETOMO,19 AUG 2001,JPN,8f2,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2025,1109,women_5000m,2025,https://worldathletics.org/athletes/athlete=14895643
32,15:29.35,,Yumi YOSHIKAWA,31 OCT 1990,JPN,16f2,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",29 NOV 2025,1107,women_5000m,2025,https://worldathletics.org/athletes/athlete=14522388
33,15:30.85,,Airi MASHIBA,10 NOV 2007,JPN,4f1,,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2025,1104,women_5000m,2025,https://worldathletics.org/athletes/japan/airi-mashiba-14995755
34,15:31.14,,Kyo HONMA,12 SEP 2006,JPN,17f2,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",29 NOV 2025,1103,women_5000m,2025,https://worldathletics.org/athletes/japan/kyo-honma-15049085
35,15:31.40,,Shuangshuang XU,06 APR 1996,CHN,9f2,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2025,1103,women_5000m,2025,https://worldathletics.org/athletes/athlete=14534952
36,15:31.92,,Mao KOGURE,31 AUG 2002,JPN,18f2,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",29 NOV 2025,1102,women_5000m,2025,https://worldathletics.org/athletes/athlete=14897026
37,15:32.94,,Yiting YANG,15 MAR 2004,CHN,6,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",18 NOV 2025,1100,women_5000m,2025,https://worldathletics.org/athletes/pr-of-china/yiting-yang-14983614
38,15:33.07,,Yujin KIM,21 JUL 1996,KOR,4,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",15 NOV 2025,1100,women_5000m,2025,https://worldathletics.org/athletes/athlete=14532349
39,15:33.21,,Qingqing LI,28 JAN 2004,CHN,7,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",18 NOV 2025,1100,women_5000m,2025,https://worldathletics.org/athletes/pr-of-china/qingqing-li-15084891
40,15:33.59,,Nanase TANIMOTO,02 JUN 2002,JPN,19f2,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",29 NOV 2025,1099,women_5000m,2025,https://worldathletics.org/athletes/japan/nanase-tanimoto-14949233
41,15:34.13,,Yuzu NISHIDE,25 JAN 2000,JPN,11f3,,"Ishin Me-Life Stadium, Yamaguchi (JPN)",28 SEP 2025,1098,women_5000m,2025,https://worldathletics.org/athletes/athlete=14858472
42,15:35.69,,Yuna TAKAHASHI,28 MAR 1999,JPN,13f3,,"Ishin Me-Life Stadium, Yamaguchi (JPN)",28 SEP 2025,1095,women_5000m,2025,https://worldathletics.org/athletes/athlete=14728013
43,15:35.84,,Yuiri OGATA,02 MAY 2002,JPN,2f4,,"Yanmar Stadium Nagai, Osaka (JPN)",06 DEC 2025,1095,women_5000m,2025,https://worldathletics.org/athletes/athlete=14860667
44,15:35.86,,SEEMA,10 JAN 2001,IND,2,,"Lohrheidestadion, Wattenscheid, Bochum (GER)",26 JUL 2025,1095,women_5000m,2025,https://worldathletics.org/athletes/athlete=14734780
45,15:36.06,,Chikako MORI,25 NOV 1992,JPN,3f4,,"Yanmar Stadium Nagai, Osaka (JPN)",06 DEC 2025,1094,women_5000m,2025,https://worldathletics.org/athletes/athlete=14427119
46,15:36.22,,Kurumi YODA,29 MAY 2002,JPN,20f2,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",29 NOV 2025,1094,women_5000m,2025,https://worldathletics.org/athletes/athlete=14887772
47,15:36.40,,Sanjivani JADHAV,12 JUL 1996,IND,5,,"Gumi Civic Stadium, Gumi (KOR)",31 MAY 2025,1094,women_5000m,2025,https://worldathletics.org/athletes/athlete=14598253
48,15:36.48,,Nagisa SHIMOTABIRA,17 OCT 1998,JPN,7f1,,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2025,1093,women_5000m,2025,https://worldathletics.org/athletes/athlete=14675942
49,15:36.58,,Haruka OGAWA,02 MAY 2004,JPN,5,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",15 NOV 2025,1093,women_5000m,2025,https://worldathletics.org/athletes/athlete=14921656
49,15:36.58,,Saya NAKAJIMA,13 JUN 1999,JPN,21f2,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",29 NOV 2025,1093,women_5000m,2025,https://worldathletics.org/athletes/athlete=14891790
51,15:37.06,,Rio EINAGA,15 JUN 2002,JPN,22f2,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",29 NOV 2025,1092,women_5000m,2025,https://worldathletics.org/athletes/athlete=14923028
52,15:37.71,,Ayano IDE,11 FEB 1999,JPN,4f4,,"Yanmar Stadium Nagai, Osaka (JPN)",06 DEC 2025,1091,women_5000m,2025,https://worldathletics.org/athletes/athlete=14767071
53,15:38.26,,Koharu CHUGO,12 SEP 2005,JPN,1f1,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",29 NOV 2025,1090,women_5000m,2025,https://worldathletics.org/athletes/japan/koharu-chugo-15003912
54,15:38.44,,Shiori YOSHIZONO,02 JUN 1999,JPN,9f1,,"Athletics Stadium, Fukagawa (JPN)",11 JUN 2025,1090,women_5000m,2025,https://worldathletics.org/athletes/athlete=14747893
55,15:38.70,,Sanjana SINGH,23 DEC 2006,IND,1,,"Birsa Munda Foot Ball Stadium, Morabadi, Ranchi (IND)",24 OCT 2025,1089,women_5000m,2025,https://worldathletics.org/athletes/india/sanjana-singh-15036759
56,15:39.05,,Mitsu OZAKI,12 DEC 2003,JPN,12f2,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2025,1089,women_5000m,2025,https://worldathletics.org/athletes/athlete=14895612
57,15:39.06,,Akina FUJIMURA,22 JUN 1998,JPN,5f4,,"Yanmar Stadium Nagai, Osaka (JPN)",06 DEC 2025,1089,women_5000m,2025,https://worldathletics.org/athletes/athlete=14821573
58,15:39.37,,Sayaka SATO,27 MAY 1994,JPN,10f1,,"Athletics Stadium, Fukagawa (JPN)",11 JUN 2025,1088,women_5000m,2025,https://worldathletics.org/athletes/athlete=14594119
59,15:39.64,,Hisami ISHII,10 AUG 1995,JPN,4f1,,"Athletic Track, Abashiri (JPN)",19 JUL 2025,1087,women_5000m,2025,https://worldathletics.org/athletes/athlete=14641817
60,15:39.93,,Nanami WATANABE,24 DEC 1998,JPN,4f2,,"Egao Kenko Stadium, Kumamoto (JPN)",12 APR 2025,1087,women_5000m,2025,https://worldathletics.org/athletes/athlete=14731848
61,15:40.38,,Rina SASAKI,18 JAN 2002,JPN,3,,"Komazawa Olympic Park Athletic Stadium, Tokyo (JPN)",19 OCT 2025,1086,women_5000m,2025,https://worldathletics.org/athletes/japan/rina-sasaki-15024484
62,15:40.72,,Layla ALMASRI,26 JUN 1999,PLE,1f2,,"Cougar Athletic Stadium, Azusa, CA (USA)",17 APR 2025,1085,women_5000m,2025,https://worldathletics.org/athletes/athlete=14828902
63,15:41.18,,Momoka KAWAGUCHI,28 JUN 1998,JPN,6f4,,"Yanmar Stadium Nagai, Osaka (JPN)",06 DEC 2025,1085,women_5000m,2025,https://worldathletics.org/athletes/athlete=14668328
64,15:41.97,,Airi TAJIMA,09 AUG 2004,JPN,2f1,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",29 NOV 2025,1083,women_5000m,2025,https://worldathletics.org/athletes/japan/airi-tajima-14980474
65,15:42.05,,Honoka TANAIKE,21 MAR 1997,JPN,9f1,,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2025,1083,women_5000m,2025,https://worldathletics.org/athletes/athlete=14722786
66,15:42.12,,Minami YAMANOUCHI,21 DEC 1992,JPN,10f2,,"Prefectural Stadium, Kumagaya (JPN)",25 MAY 2025,1083,women_5000m,2025,https://worldathletics.org/athletes/athlete=14460635
67,15:42.58,,Mao UESUGI,16 AUG 1995,JPN,7f4,,"Yanmar Stadium Nagai, Osaka (JPN)",06 DEC 2025,1082,women_5000m,2025,https://worldathletics.org/athletes/athlete=14686449
68,15:42.77,,Asa KOBAYASHI,08 MAR 2002,JPN,3f1,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",29 NOV 2025,1082,women_5000m,2025,https://worldathletics.org/athletes/japan/asa-kobayashi-14969039
69,15:42.92,,Yume GOTO,25 FEB 2000,JPN,8f4,,"Yanmar Stadium Nagai, Osaka (JPN)",06 DEC 2025,1081,women_5000m,2025,https://worldathletics.org/athletes/athlete=14733554
70,15:42.95,,Jiahui NIU,09 SEP 2000,CHN,9f4,,"Yanmar Stadium Nagai, Osaka (JPN)",06 DEC 2025,1081,women_5000m,2025,https://worldathletics.org/athletes/athlete=14855608
71,15:43.09,,Yumi YAMADA,13 MAR 2007,JPN,1f2,,"Aoba Park Athletic Field, Chitose (JPN)",12 JUL 2025,1081,women_5000m,2025,https://worldathletics.org/athletes/japan/yumi-yamada-14969560
72,15:43.16,,Ayari HARADA,14 APR 1998,JPN,4f1,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",29 NOV 2025,1081,women_5000m,2025,https://worldathletics.org/athletes/athlete=14714084
73,15:43.49,,Manami NISHIYAMA,09 DEC 1999,JPN,23f2,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",29 NOV 2025,1080,women_5000m,2025,https://worldathletics.org/athletes/athlete=14733877
74,15:43.51,,Winfred YAVI,31 DEC 1999,BRN,1,,Riyadh (KSA),19 NOV 2025,1080,women_5000m,2025,https://worldathletics.org/athletes/athlete=14695622
75,15:43.88,,Yuka TAKASHIMA,12 MAY 1988,JPN,17f3,,"Ishin Me-Life Stadium, Yamaguchi (JPN)",28 SEP 2025,1079,women_5000m,2025,https://worldathletics.org/athletes/athlete=14288055
76,15:44.32,,Miku MURAOKA,22 NOV 2004,JPN,7,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",15 NOV 2025,1079,women_5000m,2025,https://worldathletics.org/athletes/japan/miku-muraoka-14967338
77,15:44.35,,Violah JEPCHUMBA,23 OCT 1990,BRN,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",09 APR 2025,1079,women_5000m,2025,https://worldathletics.org/athletes/athlete=14630944
78,15:44.36,,Sayo IMANISHI,12 OCT 2006,JPN,5f1,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",29 NOV 2025,1079,women_5000m,2025,https://worldathletics.org/athletes/athlete=14930748
79,15:44.61,,Nazuki SASAKI,08 FEB 2005,JPN,6f1,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",29 NOV 2025,1078,women_5000m,2025,https://worldathletics.org/athletes/japan/nazuki-sasaki-14960759
80,15:44.74,,Sakiho TSUTSUI,19 JAN 1996,JPN,1f2,,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2025,1078,women_5000m,2025,https://worldathletics.org/athletes/athlete=14641812
81,15:45.35,,Miho HIRAOKA,18 NOV 2000,JPN,7f1,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",29 NOV 2025,1077,women_5000m,2025,https://worldathletics.org/athletes/athlete=14824324
82,15:45.54,,Wakana HASHIMOTO,12 OCT 2006,JPN,9,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",15 NOV 2025,1076,women_5000m,2025,https://worldathletics.org/athletes/japan/wakana-hashimoto-15004249
83,15:45.98,,Rio MATSUTANI,03 MAR 2006,JPN,14f2,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2025,1076,women_5000m,2025,https://worldathletics.org/athletes/japan/rio-matsutani-14998858
84,15:46.00,,Mayu TSUKAMOTO,21 NOV 2000,JPN,11f1,,"Athletics Stadium, Fukagawa (JPN)",11 JUN 2025,1076,women_5000m,2025,https://worldathletics.org/athletes/athlete=14920047
85,15:46.11,,Thi Oanh NGUYEN,15 AUG 1995,VIE,6,,"Gumi Civic Stadium, Gumi (KOR)",31 MAY 2025,1075,women_5000m,2025,https://worldathletics.org/athletes/athlete=14524770
86,15:46.35,,Honoka HIGUCHI,03 JAN 2005,JPN,8f1,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",29 NOV 2025,1075,women_5000m,2025,https://worldathletics.org/athletes/japan/honoka-higuchi-14950726
87,15:46.56,,Narumi OKUMOTO,27 FEB 2006,JPN,1f2,,"Yanmar Stadium Nagai, Osaka (JPN)",06 DEC 2025,1074,women_5000m,2025,https://worldathletics.org/athletes/japan/narumi-okumoto-14983161
88,15:47.22,,Shizuki FUKASAWA,22 AUG 2005,JPN,9f1,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",29 NOV 2025,1073,women_5000m,2025,https://worldathletics.org/athletes/japan/shizuki-fukasawa-14998235
89,15:47.25,,Meizhen LI,03 JAN 1999,CHN,4,,"Sports Center, Quzhou (CHN)",02 AUG 2025,1073,women_5000m,2025,https://worldathletics.org/athletes/athlete=14702479
90,15:47.37,,Rine SETOGUCHI,09 JAN 2008,JPN,10f1,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",29 NOV 2025,1073,women_5000m,2025,https://worldathletics.org/athletes/japan/rine-setoguchi-15048527
91,15:47.77,,Anna SUZUKI,23 MAR 2002,JPN,16f1,,"Aoba Park Athletic Field, Chitose (JPN)",12 JUL 2025,1072,women_5000m,2025,https://worldathletics.org/athletes/athlete=14904614
92,15:47.87,,Rina KUSU,16 DEC 1993,JPN,14,,"National Stadium, Tokyo (JPN)",04 JUL 2025,1072,women_5000m,2025,https://worldathletics.org/athletes/athlete=14520154
93,15:47.89,,Yuan LI,03 MAR 2006,CHN,1f2,,"Sports Center, Jiaxing (CHN)",28 APR 2025,1072,women_5000m,2025,https://worldathletics.org/athletes/pr-of-china/yuan-li-15072977
94,15:48.14,,Yua TSUKAMOTO,19 OCT 2006,JPN,11f1,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",29 NOV 2025,1072,women_5000m,2025,https://worldathletics.org/athletes/japan/yua-tsukamoto-14969032
95,15:48.96,,Mei HOKIYAMA,20 JUN 2006,JPN,16f2,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2025,1070,women_5000m,2025,https://worldathletics.org/athletes/japan/mei-hokiyama-15005750
96,15:49.17,,Saeko NAKAZAWA,09 JUN 2003,JPN,1f1,,"Ishin Me-Life Stadium, Yamaguchi (JPN)",28 SEP 2025,1070,women_5000m,2025,https://worldathletics.org/athletes/japan/saeko-nakazawa-14965463
97,15:49.19,,Hikaru KITAGAWA,24 NOV 2001,JPN,4f2,,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2025,1070,women_5000m,2025,https://worldathletics.org/athletes/athlete=14855581
98,15:49.28,,Momoko HANANO,15 DEC 1998,JPN,3f2,,"Ishin Me-Life Stadium, Yamaguchi (JPN)",28 SEP 2025,1069,women_5000m,2025,https://worldathletics.org/athletes/athlete=14727525
99,15:49.50,,Airi MASADA,13 SEP 2002,JPN,1f3,,"Yanmar Stadium Nagai, Osaka (JPN)",06 DEC 2025,1069,women_5000m,2025,https://worldathletics.org/athletes/athlete=14905285
100,15:49.96,,Chiharu SUZUKI,18 NOV 1993,JPN,7f1,,"Egao Kenko Stadium, Kumamoto (JPN)",12 APR 2025,1068,women_5000m,2025,https://worldathletics.org/athletes/athlete=14499988
101,15:50.33,,Ayumi MORITA,17 APR 1996,JPN,6,,"Municipal Stadium, Kitami (JPN)",16 JUL 2025,1067,women_5000m,2025,https://worldathletics.org/athletes/athlete=14809702
101,15:50.33,,Miyu YAMADA,15 FEB 2005,JPN,10,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",15 NOV 2025,1067,women_5000m,2025,https://worldathletics.org/athletes/japan/miyu-yamada-14952614
103,15:50.42,,Yuna ONISHI,23 NOV 2006,JPN,12f1,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",29 NOV 2025,1067,women_5000m,2025,https://worldathletics.org/athletes/japan/yuna-onishi-15004735
104,15:50.54,,Kaho HORIO,31 JUL 1999,JPN,17f1,,"Aoba Park Athletic Field, Chitose (JPN)",12 JUL 2025,1067,women_5000m,2025,https://worldathletics.org/athletes/athlete=14911744
105,15:50.81,,Moeka OKAWARA,23 DEC 2003,JPN,11,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",15 NOV 2025,1067,women_5000m,2025,https://worldathletics.org/athletes/athlete=14921663
106,15:50.91,,Wakana ITSUKI,07 APR 1994,JPN,8f1,,"Egao Kenko Stadium, Kumamoto (JPN)",12 APR 2025,1066,women_5000m,2025,https://worldathletics.org/athletes/athlete=14557262
107,15:51.30,,Akari MATSUMOTO,23 FEB 2005,JPN,9f1,,"Egao Kenko Stadium, Kumamoto (JPN)",12 APR 2025,1066,women_5000m,2025,https://worldathletics.org/athletes/athlete=14899672
108,15:51.37,,Sara ISOBE,19 DEC 2003,JPN,13f1,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",29 NOV 2025,1066,women_5000m,2025,https://worldathletics.org/athletes/japan/sara-isobe-14946223
109,15:51.81,,Ayana YAMASHITA,23 FEB 2004,JPN,3f2,,"Aoba Park Athletic Field, Chitose (JPN)",12 JUL 2025,1065,women_5000m,2025,https://worldathletics.org/athletes/japan/ayana-yamashita-14962342
110,15:52.16,,Saki KATAGIHARA,12 NOV 2001,JPN,12,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",15 NOV 2025,1064,women_5000m,2025,https://worldathletics.org/athletes/athlete=14815083
111,15:52.35,,Miu YAGI,22 SEP 2003,JPN,13f1,,"Egao Kenko Stadium, Kumamoto (JPN)",12 APR 2025,1064,women_5000m,2025,https://worldathletics.org/athletes/athlete=14895641
112,15:52.57,,Yuri TASAKI,13 FEB 2001,JPN,7f1,,"Athletic Track, Abashiri (JPN)",19 JUL 2025,1063,women_5000m,2025,https://worldathletics.org/athletes/athlete=14855571
113,15:52.60,,M.Rasara Wijesuriya WIJESOORIYA,24 NOV 2002,SRI,11,,"Lohrheidestadion, Wattenscheid, Bochum (GER)",26 JUL 2025,1063,women_5000m,2025,https://worldathletics.org/athletes/sri-lanka/mrasara-wijesuriya-wijesooriya-15140450
114,15:52.75,,Riko IIJIMA,27 APR 2000,JPN,18f2,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2025,1063,women_5000m,2025,https://worldathletics.org/athletes/athlete=14780842
115,15:52.80,,Deshun ZHANG,21 FEB 1996,CHN,6,,"Sports Center, Quzhou (CHN)",02 AUG 2025,1063,women_5000m,2025,https://worldathletics.org/athletes/athlete=14693572
116,15:53.27,,Mayuka FUJITA,14 SEP 1999,JPN,5f2,,"Aoba Park Athletic Field, Chitose (JPN)",12 JUL 2025,1062,women_5000m,2025,https://worldathletics.org/athletes/athlete=14856320
117,15:53.48,,Sakura NISHIO,11 MAR 1999,JPN,5f2,,"Yanmar Stadium Nagai, Osaka (JPN)",08 JUN 2025,1062,women_5000m,2025,https://worldathletics.org/athletes/japan/sakura-nishio-14747892
118,15:53.49,,Shuanglu PAN,14 APR 2007,CHN,6f2,,"Sports Center, Jiaxing (CHN)",28 APR 2025,1062,women_5000m,2025,https://worldathletics.org/athletes/pr-of-china/shuanglu-pan-15155551
119,15:53.86,,Yuyu XIA,01 MAR 1998,CHN,7,,"Sports Center, Quzhou (CHN)",02 AUG 2025,1061,women_5000m,2025,https://worldathletics.org/athletes/athlete=14714417
120,15:53.92,,Momoko SHIMADA,22 MAR 2003,JPN,2f1,,"Ishin Me-Life Stadium, Yamaguchi (JPN)",28 SEP 2025,1061,women_5000m,2025,https://worldathletics.org/athletes/athlete=14923008
121,15:54.19,,Asuka ISHIMATSU,29 OCT 2003,JPN,13,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",15 NOV 2025,1060,women_5000m,2025,https://worldathletics.org/athletes/athlete=14860659
122,15:54.48,,Kokoro NAKACHI,17 JUN 2002,JPN,18,,"National Stadium, Tokyo (JPN)",04 JUL 2025,1060,women_5000m,2025,https://worldathletics.org/athletes/japan/kokoro-nakachi-14958135
123,15:54.55,,Misaki ICHIDA,07 AUG 1991,JPN,3f1,,"Ishin Me-Life Stadium, Yamaguchi (JPN)",28 SEP 2025,1060,women_5000m,2025,https://worldathletics.org/athletes/athlete=14545091
124,15:54.77,,XiuZhen MA,05 JUL 2000,CHN,2h2,,"Lohrheidestadion, Wattenscheid, Bochum (GER)",24 JUL 2025,1059,women_5000m,2025,https://worldathletics.org/athletes/pr-of-china/xiuzhen-ma-14977274
125,15:54.85,,Tihiro TUSHIMA,02 APR 2004,JPN,3f3,,"Yanmar Stadium Nagai, Osaka (JPN)",06 DEC 2025,1059,women_5000m,2025,https://worldathletics.org/athletes/japan/tihiro-tushima-14949533
126,15:54.99,,Mayu NISHIKAWA,27 MAR 1997,JPN,4f3,,"Yanmar Stadium Nagai, Osaka (JPN)",06 DEC 2025,1059,women_5000m,2025,https://worldathletics.org/athletes/athlete=14809687
127,15:55.12,,Anna MATSUDA,18 APR 1994,JPN,13f2,,"Prefectural Stadium, Kumagaya (JPN)",25 MAY 2025,1059,women_5000m,2025,https://worldathletics.org/athletes/athlete=14616445
128,15:55.17,,Kaho ONISHI,20 JUL 2000,JPN,19f1,,"Aoba Park Athletic Field, Chitose (JPN)",12 JUL 2025,1058,women_5000m,2025,https://worldathletics.org/athletes/athlete=14868880
