Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,14:34.10,,Nozomi TANAKA,04 SEP 1999,JPN,7,,"Olympic Stadium, London (GBR)",19 JUL 2025,1214,women_5000m,2025,https://worldathletics.org/athletes/athlete=14632538
2,14:58.71,,Norah JERUTO,02 OCT 1995,KAZ,1,,"Gumi Civic Stadium, Gumi (KOR)",31 MAY 2025,1166,women_5000m,2025,https://worldathletics.org/athletes/athlete=14479154
3,15:04.11,,Ririka HIRONAKA,24 NOV 2000,JPN,5f1,,"Aoba Park Athletic Field, Chitose (JPN)",12 JUL 2025,1155,women_5000m,2025,https://worldathletics.org/athletes/athlete=14766617
4,15:06.01,,Wuga HE,28 JUL 1998,CHN,13h1,,"National Stadium, Tokyo (JPN)",18 SEP 2025,1151,women_5000m,2025,https://worldathletics.org/athletes/athlete=14862415
5,15:06.98,,Kana MIZUMOTO,26 JAN 2005,JPN,11,,"Jack Kemp Stadium - Occidental College, Los Angeles, CA (USA)",12 JUL 2025,1150,women_5000m,2025,https://worldathletics.org/athletes/japan/kana-mizumoto-14955419
6,15:09.85,,Tiantian LIANG,31 AUG 2004,CHN,1,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",18 NOV 2025,1144,women_5000m,2025,https://worldathletics.org/athletes/pr-of-china/tiantian-liang-14950779
7,15:11.01,,Miu SAITO,22 JUN 2002,JPN,7f2,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",29 NOV 2025,1142,women_5000m,2025,https://worldathletics.org/athletes/athlete=14931241
8,15:11.39,,Xia LUO,10 MAY 2000,CHN,2,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",18 NOV 2025,1141,women_5000m,2025,https://worldathletics.org/athletes/athlete=14892675
9,15:12.97,,Yuma YAMAMOTO,01 MAY 2000,JPN,1f2,,"Egao Kenko Stadium, Kumamoto (JPN)",12 APR 2025,1138,women_5000m,2025,https://worldathletics.org/athletes/athlete=14899665
10,15:15.33,,Parul CHAUDHARY,15 APR 1995,IND,2,,"Gumi Civic Stadium, Gumi (KOR)",31 MAY 2025,1133,women_5000m,2025,https://worldathletics.org/athletes/athlete=14497992
11,15:15.87,,Ai HOSODA,27 NOV 1995,JPN,4,,"National Stadium, Tokyo (JPN)",04 JUL 2025,1132,women_5000m,2025,https://worldathletics.org/athletes/athlete=14672593
12,15:16.70,,Nanaka IZAWA,13 APR 1991,JPN,3f1,,"Athletics Stadium, Fukagawa (JPN)",11 JUN 2025,1131,women_5000m,2025,https://worldathletics.org/athletes/athlete=14335034
13,15:19.13,,Tomoka KIMURA,12 NOV 1994,JPN,8f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",15 FEB 2025,1150,women_5000m,2025,https://worldathletics.org/athletes/athlete=14423325
14,15:19.45,,Wakana KABASAWA,24 MAR 1999,JPN,8f2,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",29 NOV 2025,1126,women_5000m,2025,https://worldathletics.org/athletes/athlete=14608139
15,15:19.59,,Miyaka SUGATA,09 MAR 2001,JPN,8f1,,"Aoba Park Athletic Field, Chitose (JPN)",12 JUL 2025,1125,women_5000m,2025,https://worldathletics.org/athletes/athlete=14793340
16,15:21.16,,Yuka ANDO,16 MAR 1994,JPN,10f1,,"Aoba Park Athletic Field, Chitose (JPN)",12 JUL 2025,1122,women_5000m,2025,https://worldathletics.org/athletes/athlete=14419637
17,15:21.34,,Rika KASEDA,02 MAR 1999,JPN,5,,"National Stadium, Tokyo (JPN)",04 JUL 2025,1122,women_5000m,2025,https://worldathletics.org/athletes/athlete=14719677
18,15:22.85,,Ayu HENMI,31 AUG 2000,JPN,9f2,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",29 NOV 2025,1119,women_5000m,2025,https://worldathletics.org/athletes/athlete=14858009
19,15:23.23,,Rina SHIMIZU,05 OCT 1999,JPN,10f2,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",29 NOV 2025,1118,women_5000m,2025,https://worldathletics.org/athletes/athlete=14898846
20,15:23.82,,Sora SHINOZAKURA,09 AUG 2001,JPN,2f2,,"Egao Kenko Stadium, Kumamoto (JPN)",12 APR 2025,1117,women_5000m,2025,https://worldathletics.org/athletes/athlete=14821565
21,15:24.96,,Cuomu CIREN,27 AUG 1997,CHN,4,,"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",18 NOV 2025,1115,women_5000m,2025,https://worldathletics.org/athletes/athlete=14663881
