Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
15,16.49,+0.2,Ibrokhim MAHKAMOV,12 NOV 2004,UZB,1,,"AFU Athletics Stadium, Tashkent (UZB)",25 JUN 2026,1110,men_TJ,2026,https://worldathletics.org/athletes/uzbekistan/ibrokhim-mahkamov-14983122
17,16.48,+0.5,Gailey Venister DEVASAHAYAM,31 JAN 2000,IND,3,,"Anju Bobby High Performance Centre, Bengaluru (IND)",14 MAR 2026,1109,men_TJ,2026,https://worldathletics.org/athletes/athlete=14841027
18,16.47,,Xinping JIAO,18 MAR 2002,CHN,2,,"Tuanbo Sports Center, Tianjin (CHN) (i)",06 FEB 2026,1108,men_TJ,2026,https://worldathletics.org/athletes/athlete=14892279
19,16.44,-0.1,Hajime ARAKI,06 SEP 2000,JPN,1,,"Takebishi Stadium, Kyoto (JPN)",13 SEP 2026,1105,men_TJ,2026,https://worldathletics.org/athletes/athlete=14819219
20,16.42,+0.7,Zhuoyue WANG,12 JAN 2007,CHN,1,,"Kai Tak Youth Sports Ground, Hong Kong (HKG)",29 MAY 2026,1103,men_TJ,2026,https://worldathletics.org/athletes/pr-of-china/zhuoyue-wang-15137255
21,16.31,-0.7,Yunfei WU,03 JUL 2001,CHN,3,,"Sports Center, Bengbu (CHN)",31 MAY 2026,1095,men_TJ,2026,https://worldathletics.org/athletes/pr-of-china/yunfei-wu-14942500
22,16.29,+1.2,Yuto ADACHI,16 DEC 2000,JPN,1,,"Honjo Athletic Stadium, Kitakyushu (JPN)",23 MAY 2026,1089,men_TJ,2026,https://worldathletics.org/athletes/athlete=14855197
23,16.28,+0.7,Yeshan Wismitha UNAGOLLA DEWAGE,11 DEC 2003,SRI,1,,"Diyagama Stadium, Diyagama (SRI)",15 MAY 2026,1088,men_TJ,2026,https://worldathletics.org/athletes/sri-lanka/yeshan-wismitha-unagolla-dewage-14977158
23,16.28,+1.8,Hikaru IKEHATA,31 AUG 1994,JPN,3,,"Hokuroku Park Athletic Field, Fujiyoshida (JPN)",09 AUG 2026,1088,men_TJ,2026,https://worldathletics.org/athletes/athlete=14547906
23,16.28,+0.7,Yaoqing FANG,20 APR 1996,CHN,4q2,,"Sports Center, Quzhou (CHN)",12 AUG 2026,1088,men_TJ,2026,https://worldathletics.org/athletes/athlete=14523280
26,16.27,+1.7,Donghyuk KIM,21 MAR 2004,KOR,2,,"Jeongseon Sports Complex, Jeongseon (KOR)",13 MAY 2026,1087,men_TJ,2026,https://worldathletics.org/athletes/korea/donghyuk-kim-14951738
26,16.27,-0.1,Yun-Chen LI,02 OCT 2001,TPE,3,,"Changshou Sports Center, Chongqing (CHN)",19 MAY 2026,1087,men_TJ,2026,https://worldathletics.org/athletes/athlete=14838032
28,16.26,-0.9,Mohammed MUHASSIN,06 AUG 2005,IND,5,,"Birsa Munda Foot Ball Stadium, Morabadi, Ranchi (IND)",25 MAY 2026,1091,men_TJ,2026,https://worldathletics.org/athletes/india/mohammed-muhassin-15046441
29,16.25,-0.3,Tao SHEN,31 OCT 2003,CHN,6,,"Sports Center, Quzhou (CHN)",13 AUG 2026,1086,men_TJ,2026,https://worldathletics.org/athletes/pr-of-china/tao-shen-15071437
29,16.25,-0.7,V.S. SEBASTIAN,04 OCT 2003,IND,1,,"Tau Devi Lal Stadium, Panchkula (IND)",25 AUG 2026,1089,men_TJ,2026,https://worldathletics.org/athletes/india/vs-sebastian-14971025
31,16.24,-1.8,Wenfeng LU,16 AUG 1999,CHN,2,,"Zhaoqing Sports Center, Zhaoqing (CHN)",26 APR 2026,1094,men_TJ,2026,https://worldathletics.org/athletes/pr-of-china/wenfeng-lu-15117346
32,16.20,+0.5,Atsuhiro FUKAI,18 AUG 2001,JPN,2,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1080,men_TJ,2026,https://worldathletics.org/athletes/athlete=14855198
32,16.20,-0.4,Kousei SHIROSAKI,21 AUG 2003,JPN,3,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1082,men_TJ,2026,https://worldathletics.org/athletes/athlete=14909517
32,16.20,+1.6,V. DINESH,03 MAY 1997,IND,1,,"Stadium Hanamkonda, Warangal (IND)",18 AUG 2026,1080,men_TJ,2026,https://worldathletics.org/athletes/athlete=14821696
35,16.19,+1.1,Gyumin YU,22 APR 2001,KOR,1,,"Tsueng Kwan O Sports Ground, Hong Kong (HKG)",13 JUN 2026,1078,men_TJ,2026,https://worldathletics.org/athletes/athlete=14815809
36,16.18,-0.6,Taiga ODA,31 MAR 1999,JPN,4,,"Changshou Sports Center, Chongqing (CHN)",19 MAY 2026,1080,men_TJ,2026,https://worldathletics.org/athletes/athlete=14847138
37,16.16,-0.3,Pangshuai LI,09 APR 1992,CHN,4,,"Sports Center, Bengbu (CHN)",31 MAY 2026,1076,men_TJ,2026,https://worldathletics.org/athletes/athlete=14488693
38,16.15,+0.9,Pasindu Malshan KUMARAPELI ARACHCHIGE,15 FEB 2003,SRI,2,,"Diyagama Stadium, Diyagama (SRI)",01 MAR 2026,1074,men_TJ,2026,https://worldathletics.org/athletes/athlete=14917221
39,16.14,-0.1,Jialiang HU,13 JUN 2007,CHN,2q1,,"Sports Center, Quzhou (CHN)",12 AUG 2026,1073,men_TJ,2026,https://worldathletics.org/athletes/pr-of-china/jialiang-hu-15137254
40,16.12,+0.7,Ziqi CAI,10 MAY 2007,CHN,5,,"Hayward Field, Eugene, OR (USA)",07 AUG 2026,1071,men_TJ,2026,https://worldathletics.org/athletes/pr-of-china/ziqi-cai-15127341
41,16.11,+0.8,Zelimkhan NASSYROV,16 MAR 2003,KAZ,1,,"AFU Athletics Stadium, Tashkent (UZB)",24 AUG 2026,1070,men_TJ,2026,https://worldathletics.org/athletes/athlete=14934433
42,16.10,+1.1,Vishal BAHADUR,09 MAY 2003,IND,2,,"LNCPE, Trivandrum (IND)",14 JUN 2026,1069,men_TJ,2026,https://worldathletics.org/athletes/athlete=14917735
42,16.10,+0.2,Keishi WASHIZU,14 JAN 2006,JPN,1f2,,"Nihon University Stadium, Tokyo (JPN)",26 JUL 2026,1069,men_TJ,2026,https://worldathletics.org/athletes/japan/keishi-washizu-15003765
44,16.07,+0.1,Mohammad Amin ALSALAMI,25 JUL 1994,SYR,1f1,,"Bezirkssportanlage Planetenring, Garbsen (GER)",07 JUN 2026,1066,men_TJ,2026,https://worldathletics.org/athletes/athlete=14738672
45,16.06,+1.9,Naoyuki TONOMURA,25 DEC 2000,JPN,2,,"Takebishi Stadium, Kyoto (JPN)",13 SEP 2026,1065,men_TJ,2026,https://worldathletics.org/athletes/athlete=14855173
46,16.04,+0.3,Ryoma YAMAMOTO,14 JUL 1995,JPN,2,,"ND Soft Stadium, Tendo (JPN)",16 MAY 2026,1063,men_TJ,2026,https://worldathletics.org/athletes/athlete=14547905
47,16.00,+1.2,Hasitha Kavinda DISSANAYAKE,25 JAN 2005,SRI,3,,"Diyagama Stadium, Diyagama (SRI)",01 MAR 2026,1058,men_TJ,2026,https://worldathletics.org/athletes/sri-lanka/hasitha-kavinda-dissanayake-15057794
48,15.99,0.0,Hetong XU,23 JAN 2005,CHN,4q1,,"Sports Center, Quzhou (CHN)",12 AUG 2026,1057,men_TJ,2026,https://worldathletics.org/athletes/pr-of-china/hetong-xu-14977737
49,15.98,+1.3,Yuji HIRAMATSU,11 JAN 1997,JPN,1,,"Takebishi Stadium, Kyoto (JPN)",24 MAY 2026,1056,men_TJ,2026,https://worldathletics.org/athletes/athlete=14603270
50,15.97,-0.4,Manh Hung HO TRONG,18 DEC 2004,VIE,6,,"Changshou Sports Center, Chongqing (CHN)",19 MAY 2026,1057,men_TJ,2026,https://worldathletics.org/athletes/vietnam/manh-hung-ho-trong-15041250
51,15.95,+0.9,Huayong ZHANG,03 JAN 2006,CHN,2,,"Taizhou Yuhuan Olympic Sports Center Stadium, Taizhou (CHN)",25 MAY 2026,1053,men_TJ,2026,https://worldathletics.org/athletes/pr-of-china/huayong-zhang-15101551
51,15.95,-0.3,Xuefeng SHENG,26 FEB 2009,CHN,1,,"Olympic Sports Center, Huangshi (CHN)",04 JUL 2026,1054,men_TJ,2026,https://worldathletics.org/athletes/pr-of-china/xuefeng-sheng-15172632
53,15.94,+0.5,Jay SHAH,11 OCT 1997,IND,5,,"Anju Bobby High Performance Centre, Bengaluru (IND)",14 MAR 2026,1052,men_TJ,2026,https://worldathletics.org/athletes/athlete=14863464
53,15.94,-0.9,Guijie XING,21 OCT 2005,CHN,5,,"Sports Center, Bengbu (CHN)",31 MAY 2026,1057,men_TJ,2026,https://worldathletics.org/athletes/pr-of-china/guijie-xing-15072905
53,15.94,-1.2,Yutaro MATSUSHITA,26 SEP 2000,JPN,1,,"Prefectural Stadium, Kagoshima (JPN)",05 JUL 2026,1059,men_TJ,2026,https://worldathletics.org/athletes/athlete=14855192
56,15.93,+0.1,Xinran MA,27 MAY 2004,CHN,3,,"Taizhou Yuhuan Olympic Sports Center Stadium, Taizhou (CHN)",25 MAY 2026,1051,men_TJ,2026,https://worldathletics.org/athletes/pr-of-china/xinran-ma-15117345
56,15.93,+1.7,Senura HANSAKA,29 OCT 2006,SRI,4,,"Mahinda Rajapaksha Stadium, Diyagama (SRI)",05 SEP 2026,1051,men_TJ,2026,https://worldathletics.org/athletes/sri-lanka/senura-hansaka-15042669
58,15.92,+1.1,Jiaquan YIN,24 OCT 2008,CHN,1,,"Yangzhou Sports Center, Yangzhou (CHN)",31 JUL 2026,1050,men_TJ,2026,https://worldathletics.org/athletes/pr-of-china/jiaquan-yin-15172204
59,15.90,+0.2,Vimal Mugesh THAMIZHCHELVAN,25 MAR 1996,IND,3,,"Stadium Hanamkonda, Warangal (IND)",18 AUG 2026,1048,men_TJ,2026,https://worldathletics.org/athletes/athlete=14717091
60,15.89,+0.4,Jiahong XIE,26 MAR 2003,CHN,1,,"Olympic Sports Center, Chongqing (CHN)",15 MAY 2026,1047,men_TJ,2026,https://worldathletics.org/athletes/athlete=14884027
60,15.89,-0.4,Gabriel LEE,23 FEB 2003,SGP,7,,"Changshou Sports Center, Chongqing (CHN)",19 MAY 2026,1049,men_TJ,2026,https://worldathletics.org/athletes/singapore/gabriel-lee-14970362
60,15.89,+1.5,Koki KANAI,31 MAR 2005,JPN,7,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1047,men_TJ,2026,https://worldathletics.org/athletes/japan/koki-kanai-14996663
60,15.89,-0.1,Huafeng HUANG,27 DEC 2001,CHN,5q1,,"Sports Center, Quzhou (CHN)",12 AUG 2026,1047,men_TJ,2026,https://worldathletics.org/athletes/pr-of-china/huafeng-huang-14980009
64,15.87,,Zixuan CHEN,08 JUN 2003,CHN,3,,"Xipu Training Base Indoor Athletics Stadium, Chengdu (CHN) (i)",12 MAR 2026,1045,men_TJ,2026,https://worldathletics.org/athletes/athlete=14885162
64,15.87,+1.6,Kosuke TANAKA,20 APR 2001,JPN,4,,"ND Soft Stadium, Tendo (JPN)",16 MAY 2026,1045,men_TJ,2026,https://worldathletics.org/athletes/athlete=14855196
64,15.87,+1.8,Kota MIZUNO,02 SEP 2001,JPN,3,,"Prefectural Yamanokuchi Athletics Stadium, Miyakonojo (JPN)",23 AUG 2026,1045,men_TJ,2026,https://worldathletics.org/athletes/athlete=14855207
64,15.87,+1.4,Yuki YAMASHITA,09 NOV 1995,JPN,4,,"Takebishi Stadium, Kyoto (JPN)",13 SEP 2026,1045,men_TJ,2026,https://worldathletics.org/athletes/athlete=14803288
68,15.86,+0.5,P.S PAWAN,18 APR 2005,SRI,5,,"Mahinda Rajapaksha Stadium, Diyagama (SRI)",05 SEP 2026,1044,men_TJ,2026,https://worldathletics.org/athletes/sri-lanka/ps-pawan-15100642
69,15.85,-0.4,Yuto NAKAMURA,02 MAR 2003,JPN,8,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1045,men_TJ,2026,https://worldathletics.org/athletes/japan/yuto-nakamura-14959156
69,15.85,-0.3,Yudai UEKI,20 JAN 2002,JPN,9,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1044,men_TJ,2026,https://worldathletics.org/athletes/athlete=14897186
71,15.84,+0.3,Riku ITO,16 JAN 2001,JPN,,,"Prefectural Yamanokuchi Athletics Stadium, Miyakonojo (JPN)",21 MAR 2026,1041,men_TJ,2026,https://worldathletics.org/athletes/athlete=14855118
72,15.83,-2.2,Pradeep KUMAR,20 JAN 2004,IND,6,,"Birsa Munda Foot Ball Stadium, Morabadi, Ranchi (IND)",25 MAY 2026,1053,men_TJ,2026,https://worldathletics.org/athletes/india/pradeep-kumar-14975336
72,15.83,+2.0,Thehara Ravishka Fernando SALPADORUGE,09 FEB 2007,SRI,1,,"Mahinda Rajapaksha Stadium, Diyagama (SRI)",17 JUN 2026,1040,men_TJ,2026,https://worldathletics.org/athletes/sri-lanka/thehara-ravishka-fernando-salpadoruge-15241271
74,15.82,+0.2,Yahiya NASSIR MAJA’ADAL,2004,KSA,1,,"King Saud Sports Stadium, Al-Bahah (KSA)",07 FEB 2026,1039,men_TJ,2026,https://worldathletics.org/athletes/saudi-arabia/yahiya-nassir-majaadal-15095587
74,15.82,+0.6,Shihuarui CHEN,23 SEP 2008,CHN,1,,"Taizhou Yuhuan Olympic Sports Center Stadium, Taizhou (CHN)",24 MAY 2026,1039,men_TJ,2026,https://worldathletics.org/athletes/pr-of-china/shihuarui-chen-15300291
76,15.81,+1.0,Shota SUGANO,16 JAN 2004,JPN,2,,"Fukuoka University Stadium, Fukuoka (JPN)",21 MAR 2026,1038,men_TJ,2026,https://worldathletics.org/athletes/athlete=14860598
77,15.79,+0.4,Kenshin SUZUKI,24 JAN 2001,JPN,6,,"ND Soft Stadium, Tendo (JPN)",16 MAY 2026,1036,men_TJ,2026,https://worldathletics.org/athletes/athlete=14916820
78,15.78,+0.7,M.N. Safree AHAMAD,07 OCT 1992,SRI,2,,"Diyagama Stadium, Diyagama (SRI)",15 MAY 2026,1035,men_TJ,2026,https://worldathletics.org/athletes/sri-lanka/mn-safree-ahamad-14759765
78,15.78,-0.3,Zhichang ZHANG,03 JAN 2010,CHN,2,,"Olympic Sports Center, Huangshi (CHN)",04 JUL 2026,1036,men_TJ,2026,https://worldathletics.org/athletes/pr-of-china/zhichang-zhang-15339702
80,15.76,+1.6,Tsubasa IKI,17 AUG 2000,JPN,10,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1033,men_TJ,2026,https://worldathletics.org/athletes/athlete=14855187
81,15.75,+0.5,P ROYSHAN,28 MAY 2007,IND,1,,"Sree Kanteerava Outdoor Stadium, Bengaluru (IND)",26 APR 2026,1032,men_TJ,2026,https://worldathletics.org/athletes/india/p-royshan-15317957
81,15.75,+1.7,Tomoro YOKOMORI,26 DEC 1998,JPN,6,,"Hokuroku Park Athletic Field, Fujiyoshida (JPN)",09 AUG 2026,1032,men_TJ,2026,https://worldathletics.org/athletes/athlete=14854450
83,15.74,0.0,Yifan LI,17 APR 2009,CHN,3,,"Olympic Sports Center, Huangshi (CHN)",04 JUL 2026,1031,men_TJ,2026,https://worldathletics.org/athletes/pr-of-china/yifan-li-15300277
84,15.72,+0.1,Yuito SUETO,06 JAN 2004,JPN,1,,"Yanmar Stadium Nagai, Osaka (JPN)",21 JUN 2026,1029,men_TJ,2026,https://worldathletics.org/athletes/japan/yuito-sueto-14949664
85,15.71,+0.5,Yuvaraj KUMAR,18 APR 2006,IND,4,,"Jawaharlal Nehru Stadium, Chennai (IND)",10 MAY 2026,1028,men_TJ,2026,https://worldathletics.org/athletes/india/yuvaraj-kumar-15078541
85,15.71,+1.7,Kazuki TASHIRO,29 JUN 1998,JPN,7,,"ND Soft Stadium, Tendo (JPN)",16 MAY 2026,1028,men_TJ,2026,https://worldathletics.org/athletes/athlete=14896295
85,15.71,+1.4,Hansana Jayasingha ILANDARI,21 JUL 2008,SRI,2,,"Mahinda Rajapaksha Stadium, Diyagama (SRI)",17 JUN 2026,1028,men_TJ,2026,https://worldathletics.org/athletes/sri-lanka/hansana-jayasingha-ilandari-15211856
88,15.70,+0.4,Shogo OGAWA,06 DEC 2003,JPN,1,,"Chukyo University Athletics Field, Toyota (JPN)",23 MAY 2026,1027,men_TJ,2026,https://worldathletics.org/athletes/japan/shogo-ogawa-14951348
88,15.70,+0.2,Haoyang YU,22 SEP 2002,CHN,9,,"Kuishan Sports Center, Rizhao (CHN)",28 JUN 2026,1027,men_TJ,2026,https://worldathletics.org/athletes/athlete=14885165
90,15.69,+1.6,Shuhei NAKANISHI,24 APR 1997,JPN,8,,"ND Soft Stadium, Tendo (JPN)",16 MAY 2026,1026,men_TJ,2026,https://worldathletics.org/athletes/athlete=14809633
90,15.69,-0.2,Xiaojie WEN,25 JUL 2003,CHN,6,,"Sports Center, Bengbu (CHN)",31 MAY 2026,1027,men_TJ,2026,https://worldathletics.org/athletes/pr-of-china/xiaojie-wen-14959068
90,15.69,+1.0,P.S.P SANDHANAYAKE,18 APR 2005,SRI,2,,"Mahinda Rajapaksha Stadium, Diyagama (SRI)",18 JUN 2026,1026,men_TJ,2026,https://worldathletics.org/athletes/sri-lanka/psp-sandhanayake-15173596
93,15.68,0.0,Tao LIU,10 MAR 2005,CHN,3f2,,"Shanxi Athletics Administrative Center, Xi'an (CHN)",19 JUN 2026,1025,men_TJ,2026,https://worldathletics.org/athletes/pr-of-china/tao-liu-15208589
94,15.67,+0.9,Bhushan SHAMRAV,03 MAY 2006,IND,2,,"Sree Kanteerava Outdoor Stadium, Bengaluru (IND)",26 APR 2026,1024,men_TJ,2026,https://worldathletics.org/athletes/india/bhushan-shamrav-15078494
94,15.67,+0.3,Dongyang AO,01 OCT 2008,CHN,10,,"Kuishan Sports Center, Rizhao (CHN)",28 JUN 2026,1024,men_TJ,2026,https://worldathletics.org/athletes/pr-of-china/dongyang-ao-15246101
96,15.66,+0.4,Shuainan HE,25 MAY 2002,CHN,2,,"Olympic Sports Center, Chongqing (CHN)",15 MAY 2026,1022,men_TJ,2026,https://worldathletics.org/athletes/athlete=14939889
97,15.64,+0.2,Toma TABUSHI,31 DEC 2008,JPN,1,,"Athletic Stadium, Hikone (JPN)",03 AUG 2026,1020,men_TJ,2026,https://worldathletics.org/athletes/japan/toma-tabushi-15069425
98,15.63,-0.2,Dablu ROY,12 SEP 2004,IND,1,,"Sawai Mansingh Stadium,, Jaipur (IND)",05 APR 2026,1020,men_TJ,2026,https://worldathletics.org/athletes/india/dablu-roy-15178982
99,15.62,-0.3,Chen XIE,04 NOV 2002,CHN,2,,"Hubei Olympic Sports Center, Wuhan (CHN)",12 APR 2026,1019,men_TJ,2026,https://worldathletics.org/athletes/pr-of-china/chen-xie-14974805
99,15.62,+1.4,Kosei YOSHIDA,17 JUN 2004,JPN,3,,"International Stadium, Yokohama (JPN)",06 SEP 2026,1018,men_TJ,2026,https://worldathletics.org/athletes/japan/kosei-yoshida-14954399
101,15.61,,Liang LI,20 JAN 2003,CHN,8,,"Xipu Training Base Indoor Athletics Stadium, Chengdu (CHN) (i)",12 MAR 2026,1017,men_TJ,2026,https://worldathletics.org/athletes/pr-of-china/liang-li-15117347
101,15.61,+0.7,Sandun Krishantha KUMARA,15 APR 2001,SRI,6,,"Mahinda Rajapaksha Stadium, Diyagama (SRI)",05 SEP 2026,1017,men_TJ,2026,https://worldathletics.org/athletes/athlete=14917212
103,15.60,+1.1,Dhanush RAJ,20 MAR 2007,IND,3,,"Sree Kanteerava Outdoor Stadium, Bengaluru (IND)",26 APR 2026,1016,men_TJ,2026,https://worldathletics.org/athletes/india/dhanush-raj-15262213
103,15.60,+0.8,Ki-jun NAM,27 JUL 2006,KOR,1,,"Mokpo Sports Complex, Mokpo (KOR)",04 MAY 2026,1016,men_TJ,2026,https://worldathletics.org/athletes/korea/ki-jun-nam-15043681
105,15.59,,Ashmitha KORALA,30 MAY 2003,SRI,7,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",14 FEB 2026,1015,men_TJ,2026,https://worldathletics.org/athletes/sri-lanka/ashmitha-korala-14977223
105,15.59,+0.8,Jiakun WEI,01 MAY 2004,CHN,3,,"Hebei Olympic Sports Center, Qinhuangdao (CHN)",29 APR 2026,1015,men_TJ,2026,https://worldathletics.org/athletes/pr-of-china/jiakun-wei-15318774
105,15.59,+0.2,Gyeol HAN,27 JUL 2007,KOR,3,,"Kai Tak Youth Sports Ground, Hong Kong (HKG)",29 MAY 2026,1015,men_TJ,2026,https://worldathletics.org/athletes/korea/gyeol-han-15155677
108,15.58,0.0,Salem ALYAARABY,,KSA,1,,"King Saud Sports Stadium, Al-Bahah (KSA)",28 FEB 2026,1014,men_TJ,2026,https://worldathletics.org/athletes/saudi-arabia/salem-alyaaraby-15298017
108,15.58,-1.2,Kaito NAKATA,17 JUL 2005,JPN,1,,"Yanmar Stadium Nagai, Osaka (JPN)",16 MAY 2026,1021,men_TJ,2026,https://worldathletics.org/athletes/japan/kaito-nakata-15002486
108,15.58,+1.0,Hayato KOSHIMA,01 MAY 1998,JPN,10,,"Takebishi Stadium, Kyoto (JPN)",13 SEP 2026,1014,men_TJ,2026,https://worldathletics.org/athletes/athlete=14858004
111,15.57,-0.6,Yuansheng ZENG,27 FEB 2008,CHN,2,,"Taizhou Yuhuan Olympic Sports Center Stadium, Taizhou (CHN)",24 MAY 2026,1016,men_TJ,2026,https://worldathletics.org/athletes/pr-of-china/yuansheng-zeng-15239966
111,15.57,+1.2,Suzuka YOSHIOKA,06 JUL 2004,JPN,3,,"Yanmar Stadium Nagai, Osaka (JPN)",21 JUN 2026,1013,men_TJ,2026,https://worldathletics.org/athletes/japan/suzuka-yoshioka-14962675
111,15.57,+1.1,Sota NISHIGAYA,26 JUN 2003,JPN,11,,"Takebishi Stadium, Kyoto (JPN)",13 SEP 2026,1013,men_TJ,2026,https://worldathletics.org/athletes/japan/sota-nishigaya-14949884
114,15.56,+0.7,Jinlong XIE,11 NOV 2005,CHN,2,,"Stadium Luch, Gomel (BLR)",21 JUN 2026,1012,men_TJ,2026,https://worldathletics.org/athletes/pr-of-china/jinlong-xie-15296365
115,15.55,-0.2,Shunan CHEN,10 NOV 2004,CHN,1,,"Sports Center, Yulin (CHN)",19 JUL 2026,1012,men_TJ,2026,https://worldathletics.org/athletes/pr-of-china/shunan-chen-15208590
116,15.54,+0.7,Yuki ITANO,26 AUG 2008,JPN,1,,"Athletic Stadium, Hikone (JPN)",21 JUN 2026,1010,men_TJ,2026,https://worldathletics.org/athletes/japan/yuki-itano-15184786
117,15.53,0.0,Muhammad Izzul MOHD RAFFI,20 DEC 2003,MAS,,,"The Kallang - Singapore Sports Hub, Singapore (SGP)",17 APR 2026,1009,men_TJ,2026,https://worldathletics.org/athletes/athlete=14938829
117,15.53,+0.3,Kaito NAKAZAKI,20 APR 2006,JPN,4,,"Yanmar Stadium Nagai, Osaka (JPN)",21 JUN 2026,1009,men_TJ,2026,https://worldathletics.org/athletes/japan/kaito-nakazaki-15054681
119,15.52,,Haoran WANG,20 AUG 2001,CHN,9,,"Xipu Training Base Indoor Athletics Stadium, Chengdu (CHN) (i)",12 MAR 2026,1008,men_TJ,2026,https://worldathletics.org/athletes/pr-of-china/haoran-wang-15117370
119,15.52,+0.8,Akarshit PARTAP,18 JAN 2007,IND,4,,"Sree Kanteerava Outdoor Stadium, Bengaluru (IND)",26 APR 2026,1008,men_TJ,2026,https://worldathletics.org/athletes/india/akarshit-partap-15190287
121,15.51,+0.6,Daksh BISHNOI,09 MAR 2007,IND,5,,"Sree Kanteerava Outdoor Stadium, Bengaluru (IND)",26 APR 2026,1007,men_TJ,2026,https://worldathletics.org/athletes/india/daksh-bishnoi-15244649
121,15.51,+0.9,Shuto OKANDA,06 APR 2006,JPN,5,,"Kanseki Stadium, Utsunomiya (JPN)",21 MAY 2026,1007,men_TJ,2026,https://worldathletics.org/athletes/japan/shuto-okanda-15101305
123,15.50,-0.1,Alnasfan ALI HUSSAIN,01 MAR 2006,KSA,3,,"King Saud Sports Stadium, Al-Bahah (KSA)",28 FEB 2026,1006,men_TJ,2026,https://worldathletics.org/athletes/saudi-arabia/alnasfan-ali-hussain-15049264
