Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,17.40,+0.3,Wen SU,10 FEB 1999,CHN,1,,"Kuishan Sports Center, Rizhao (CHN)",28 JUN 2026,1207,men_TJ,2026,https://worldathletics.org/athletes/athlete=14839808
2,17.11,0.0,Yinglong MA,11 MAY 2005,CHN,1,,"Sport Development Center Stadium, Ordos (CHN)",09 JUL 2026,1176,men_TJ,2026,https://worldathletics.org/athletes/pr-of-china/yinglong-ma-14974783
3,17.08,-0.9,Praveen CHITHRAVEL,05 JUN 2001,IND,1,,"Birsa Munda Foot Ball Stadium, Morabadi, Ranchi (IND)",25 MAY 2026,1178,men_TJ,2026,https://worldathletics.org/athletes/athlete=14841034
4,17.05,,Selva Prabhu THIRUMARAN,28 DEC 2004,IND,2f1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",14 MAR 2026,1170,men_TJ,2026,https://worldathletics.org/athletes/athlete=14926703
5,16.94,+0.9,Jangwoo KIM,20 AUG 1999,KOR,1,,"Hokuroku Park Athletic Field, Fujiyoshida (JPN)",09 AUG 2026,1158,men_TJ,2026,https://worldathletics.org/athletes/athlete=14759670
6,16.90,-0.2,Rongjia ZHOU,12 FEB 2006,CHN,1,,"Changshou Sports Center, Chongqing (CHN)",19 MAY 2026,1155,men_TJ,2026,https://worldathletics.org/athletes/pr-of-china/rongjia-zhou-15096758
7,16.83,-0.6,Abdulla Aboobacker NARANGOLINTEVIDA,17 JAN 1996,IND,1,,"Anju Bobby High Performance Centre, Bengaluru (IND)",14 MAR 2026,1149,men_TJ,2026,https://worldathletics.org/athletes/athlete=14606734
8,16.80,+0.6,Karthik UNNIKRISHNAN,03 JUN 1993,IND,2,,"Kalinga Stadium, Bhubaneshwar (IND)",26 JUN 2026,1143,men_TJ,2026,https://worldathletics.org/athletes/athlete=14672555
9,16.64,-1.7,Manato MIYAO,16 JUL 2004,JPN,1,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1136,men_TJ,2026,https://worldathletics.org/athletes/japan/manato-miyao-14962150
10,16.63,+1.8,Sami BAKHEET,06 DEC 2005,KSA,1,,"McArthur Stadium, Potchefstroom (RSA)",17 MAR 2026,1125,men_TJ,2026,https://worldathletics.org/athletes/saudi-arabia/sami-bakheet-15036553
11,16.59,,Jiajun LUO,28 NOV 2002,CHN,2f1,,"Shanxi Athletics Administrative Center, Xi'an (CHN) (i)",07 MAR 2026,1121,men_TJ,2026,https://worldathletics.org/athletes/pr-of-china/jiajun-luo-15043501
12,16.54,,Yaming ZHU,04 MAY 1994,CHN,1,,"Xipu Training Base Indoor Athletics Stadium, Chengdu (CHN) (i)",12 MAR 2026,1116,men_TJ,2026,https://worldathletics.org/athletes/athlete=14691893
13,16.53,+0.4,J. MOHANRAJ,26 JUN 2001,IND,5,,"Kalinga Stadium, Bhubaneshwar (IND)",26 JUN 2026,1115,men_TJ,2026,https://worldathletics.org/athletes/india/j-mohanraj-14973484
14,16.50,+1.5,Mohamed ALY NOUFAL,14 AUG 2005,QAT,1,,"Aspire Academy Warm Up Track, Doha (QAT)",02 JUN 2026,1111,men_TJ,2026,https://worldathletics.org/athletes/qatar/mohamed-aly-noufal-15081820
15,16.49,-0.4,Ruiting WU,29 NOV 1995,CHN,1,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2026,1112,men_TJ,2026,https://worldathletics.org/athletes/athlete=14637831
