Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
1,27:20.11,,Mebuki SUZUKI,03 JUN 2001,JPN,1,,"Yanmar Stadium Nagai, Osaka (JPN)",10 MAY 2026,1194,men_10000m,2026,https://worldathletics.org/athletes/athlete=14854889
2,27:24.18,,Gulveer SINGH,01 JUN 1998,IND,7f2,,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",28 MAR 2026,1188,men_10000m,2026,https://worldathletics.org/athletes/india/gulveer-singh-15023839
3,27:40.41,,Jinichiro KAMEDA,28 AUG 2001,JPN,2,,"Yanmar Stadium Nagai, Osaka (JPN)",10 MAY 2026,1162,men_10000m,2026,https://worldathletics.org/athletes/japan/jinichiro-kameda-14956565
4,27:41.33,,Hiromichi NONAKA,16 FEB 2005,JPN,2f1,,"Athletic Track, Abashiri (JPN)",08 JUL 2026,1161,men_10000m,2026,https://worldathletics.org/athletes/japan/hiromichi-nonaka-14963045
5,27:44.45,,Yuto MIYAKE,11 DEC 2006,JPN,3f1,,"Athletic Track, Abashiri (JPN)",08 JUL 2026,1156,men_10000m,2026,https://worldathletics.org/athletes/japan/yuto-miyake-15040609
6,27:47.53,,Wenjie WANG,04 MAY 2004,CHN,3,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",30 MAY 2026,1151,men_10000m,2026,https://worldathletics.org/athletes/pr-of-china/wenjie-wang-15074930
7,27:50.61,,Takato SUZUKI,23 JUL 1997,JPN,6f2,,"Aoba Park Athletic Field, Chitose (JPN)",05 JUL 2026,1146,men_10000m,2026,https://worldathletics.org/athletes/athlete=14754375
8,27:52.43,,Riki KOIKE,26 NOV 2004,JPN,4,,"Kanseki Stadium, Utsunomiya (JPN)",21 MAY 2026,1144,men_10000m,2026,https://worldathletics.org/athletes/japan/riki-koike-15004091
9,27:53.62,,Hironori KISHIMOTO,07 OCT 2000,JPN,8f2,,"Aoba Park Athletic Field, Chitose (JPN)",05 JUL 2026,1142,men_10000m,2026,https://worldathletics.org/athletes/athlete=14860383
10,27:55.51,,Takashi ICHIDA,16 JUN 1992,JPN,11f2,,"Aoba Park Athletic Field, Chitose (JPN)",05 JUL 2026,1139,men_10000m,2026,https://worldathletics.org/athletes/athlete=14388860
11,27:56.13,,Yuma NISHIZAWA,19 SEP 2000,JPN,3,,"Yanmar Stadium Nagai, Osaka (JPN)",10 MAY 2026,1138,men_10000m,2026,https://worldathletics.org/athletes/athlete=14901741
11,27:56.13,,Ren UMEZAKI,14 AUG 2002,JPN,12f2,,"Aoba Park Athletic Field, Chitose (JPN)",05 JUL 2026,1138,men_10000m,2026,https://worldathletics.org/athletes/athlete=14915460
13,27:56.46,,Shunta UCHIDA,19 SEP 2000,JPN,13f2,,"Aoba Park Athletic Field, Chitose (JPN)",05 JUL 2026,1137,men_10000m,2026,https://worldathletics.org/athletes/athlete=14854867
14,27:57.71,,Itsuki TAKAISHI,23 MAY 2006,JPN,4f1,,"Athletic Track, Abashiri (JPN)",08 JUL 2026,1135,men_10000m,2026,https://worldathletics.org/athletes/japan/itsuki-takaishi-15055368
15,27:58.40,,Yosihiro KUSUOKA,16 APR 2004,JPN,7,,"Kanseki Stadium, Utsunomiya (JPN)",21 MAY 2026,1134,men_10000m,2026,https://worldathletics.org/athletes/japan/yosihiro-kusuoka-14979888
16,27:59.47,,Shumpei YAMAGUCHI,15 JAN 2006,JPN,1,,"Lemon Gas Stadium, Hiratsuka (JPN)",24 APR 2026,1133,men_10000m,2026,https://worldathletics.org/athletes/japan/shumpei-yamaguchi-14995762
17,27:59.64,,Ayumu KOBAYASHI,15 AUG 1998,JPN,4,,"Yanmar Stadium Nagai, Osaka (JPN)",10 MAY 2026,1132,men_10000m,2026,https://worldathletics.org/athletes/athlete=14886071
18,28:01.73,,Akira AIZAWA,18 JUL 1997,JPN,4f3,,"Honjo Athletic Stadium, Kitakyushu (JPN)",23 MAY 2026,1129,men_10000m,2026,https://worldathletics.org/athletes/athlete=14675312
19,28:01.84,,Yuto IMAE,26 JAN 1998,JPN,5f1,,"Athletic Track, Abashiri (JPN)",08 JUL 2026,1129,men_10000m,2026,https://worldathletics.org/athletes/athlete=14862962
20,28:03.65,,Suguru OSAKO,23 MAY 1991,JPN,6f1,,"Athletic Track, Abashiri (JPN)",08 JUL 2026,1126,men_10000m,2026,https://worldathletics.org/athletes/athlete=14335060
21,28:04.61,,Daichi FUJITA,12 JUL 2004,JPN,5,,"Yanmar Stadium Nagai, Osaka (JPN)",10 MAY 2026,1125,men_10000m,2026,https://worldathletics.org/athletes/japan/daichi-fujita-15010066
22,28:05.07,,Yu SHIBATA,19 AUG 2004,JPN,5f4,,"Lemon Gas Stadium, Hiratsuka (JPN)",04 MAY 2026,1124,men_10000m,2026,https://worldathletics.org/athletes/japan/yu-shibata-14948592
23,28:06.39,,Tamaki FUJIMOTO,14 JAN 2001,JPN,7f1,,"Athletic Track, Abashiri (JPN)",08 JUL 2026,1122,men_10000m,2026,https://worldathletics.org/athletes/athlete=14854878
24,28:07.55,,Takuya HANYU,08 NOV 1997,JPN,6,,"Yanmar Stadium Nagai, Osaka (JPN)",10 MAY 2026,1120,men_10000m,2026,https://worldathletics.org/athletes/athlete=14615160
25,28:07.63,,Syunsuke KUWATA,17 MAY 2005,JPN,9,,"Kanseki Stadium, Utsunomiya (JPN)",21 MAY 2026,1120,men_10000m,2026,https://worldathletics.org/athletes/japan/syunsuke-kuwata-15000180
26,28:09.86,,Hitoshi OKAHARA,15 NOV 1997,JPN,6,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",25 APR 2026,1117,men_10000m,2026,https://worldathletics.org/athletes/athlete=14818170
27,28:11.50,,Toru KUBOTA,12 MAY 2001,JPN,7,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",25 APR 2026,1114,men_10000m,2026,https://worldathletics.org/athletes/athlete=14896292
28,28:12.22,,Hiroto YOSHIOKA,18 MAY 2004,JPN,2,,"Lemon Gas Stadium, Hiratsuka (JPN)",24 APR 2026,1113,men_10000m,2026,https://worldathletics.org/athletes/athlete=14954030
29,28:13.07,,Nayabu Naoki YOSHIKURA,18 MAY 2005,JPN,3,,"Lemon Gas Stadium, Hiratsuka (JPN)",24 APR 2026,1112,men_10000m,2026,https://worldathletics.org/athletes/japan/nayabu-naoki-yoshikura-14996875
29,28:13.07,,Haruka ONODERA,18 JAN 1999,JPN,8,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",25 APR 2026,1112,men_10000m,2026,https://worldathletics.org/athletes/athlete=14832953
31,28:13.99,,Shoya KAWASE,19 JUL 1998,JPN,15f2,,"Aoba Park Athletic Field, Chitose (JPN)",05 JUL 2026,1110,men_10000m,2026,https://worldathletics.org/athletes/athlete=14806940
32,28:15.69,,Sou KAWASAKI,20 DEC 2004,JPN,4,,"Lemon Gas Stadium, Hiratsuka (JPN)",24 APR 2026,1108,men_10000m,2026,https://worldathletics.org/athletes/japan/sou-kawasaki-14969572
