Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
33,28:15.91,,Shuho DAIROKUNO,23 DEC 1992,JPN,5f3,,"Honjo Athletic Stadium, Kitakyushu (JPN)",23 MAY 2026,1107,men_10000m,2026,https://worldathletics.org/athletes/athlete=14498811
34,28:17.07,,Shota NAKANO,12 JUN 2001,JPN,1f1,,"Aoba Park Athletic Field, Chitose (JPN)",05 JUL 2026,1106,men_10000m,2026,https://worldathletics.org/athletes/athlete=14854897
35,28:18.39,,Kanta IKEDA,05 SEP 1998,JPN,9f1,,"Athletic Track, Abashiri (JPN)",08 JUL 2026,1104,men_10000m,2026,https://worldathletics.org/athletes/athlete=14813983
36,28:19.16,,Haruka YAMAMOTO,03 SEP 2005,JPN,5,,"Lemon Gas Stadium, Hiratsuka (JPN)",24 APR 2026,1102,men_10000m,2026,https://worldathletics.org/athletes/japan/haruka-yamamoto-14983166
37,28:19.39,,Junpei NAKANO,25 DEC 2005,JPN,3,,"Kanseki Stadium, Utsunomiya (JPN)",21 MAY 2026,1102,men_10000m,2026,https://worldathletics.org/athletes/japan/junpei-nakano-15103720
38,28:19.83,,Ryotaro NATORI,21 JUL 1998,JPN,7,,"ND Soft Stadium, Tendo (JPN)",15 MAY 2026,1101,men_10000m,2026,https://worldathletics.org/athletes/athlete=14750952
39,28:20.47,,Naoki KOYAMA,12 MAY 1996,JPN,2f1,,"Aoba Park Athletic Field, Chitose (JPN)",05 JUL 2026,1100,men_10000m,2026,https://worldathletics.org/athletes/athlete=14740573
40,28:21.62,,Yuta MINAMISAKA,06 JAN 2005,JPN,4,,"Kanseki Stadium, Utsunomiya (JPN)",21 MAY 2026,1099,men_10000m,2026,https://worldathletics.org/athletes/japan/yuta-minamisaka-14956561
41,28:22.40,,Tatsuya IYODA,18 JUL 2000,JPN,7,,"Yanmar Stadium Nagai, Osaka (JPN)",10 MAY 2026,1098,men_10000m,2026,https://worldathletics.org/athletes/athlete=14841941
42,28:22.56,,Kenzo IJICHI,23 AUG 2001,JPN,8,,"ND Soft Stadium, Tendo (JPN)",15 MAY 2026,1097,men_10000m,2026,https://worldathletics.org/athletes/japan/kenzo-ijichi-14949523
43,28:23.41,,Reiji UESAKA,27 MAY 2004,JPN,6,,"Lemon Gas Stadium, Hiratsuka (JPN)",24 APR 2026,1096,men_10000m,2026,https://worldathletics.org/athletes/japan/reiji-uesaka-14955768
44,28:23.90,,Kazuma MATSUO,15 MAR 2007,JPN,7,,"Kanseki Stadium, Utsunomiya (JPN)",21 MAY 2026,1095,men_10000m,2026,https://worldathletics.org/athletes/japan/kazuma-matsuo-14979893
45,28:23.94,,Taisei KIYONO,04 DEC 2000,JPN,11f1,,"Athletic Track, Abashiri (JPN)",08 JUL 2026,1095,men_10000m,2026,https://worldathletics.org/athletes/japan/taisei-kiyono-14954053
46,28:24.68,,Hikaru TUJIHARA,20 SEP 2004,JPN,10,,"Kanseki Stadium, Utsunomiya (JPN)",21 MAY 2026,1094,men_10000m,2026,https://worldathletics.org/athletes/japan/hikaru-tujihara-14962606
47,28:25.97,,Kazuma MAEDA,16 JAN 2005,JPN,7f4,,"Lemon Gas Stadium, Hiratsuka (JPN)",04 MAY 2026,1092,men_10000m,2026,https://worldathletics.org/athletes/japan/kazuma-maeda-14998590
48,28:27.44,,Haoran TANG,21 MAY 2003,CHN,6,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",30 MAY 2026,1090,men_10000m,2026,https://worldathletics.org/athletes/athlete=14939880
49,28:27.51,,Kouki ASAI,18 JAN 2003,JPN,2f2,,"Athletic Track, Abashiri (JPN)",08 JUL 2026,1090,men_10000m,2026,https://worldathletics.org/athletes/japan/kouki-asai-14946219
50,28:28.26,,Daiji KAWAI,22 SEP 1991,JPN,16f2,,"Aoba Park Athletic Field, Chitose (JPN)",05 JUL 2026,1089,men_10000m,2026,https://worldathletics.org/athletes/athlete=14493806
51,28:28.42,,Kyosuke KOGURE,10 AUG 1999,JPN,9,,"ND Soft Stadium, Tendo (JPN)",15 MAY 2026,1088,men_10000m,2026,https://worldathletics.org/athletes/athlete=14930286
52,28:28.72,,Taiga HIRAYAMA,03 OCT 2001,JPN,12,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",25 APR 2026,1088,men_10000m,2026,https://worldathletics.org/athletes/japan/taiga-hirayama-14979237
53,28:29.05,,Ayumu YAMAMOTO,24 JUN 2002,JPN,18f2,,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",28 MAR 2026,1088,men_10000m,2026,https://worldathletics.org/athletes/athlete=14909472
54,28:29.78,,Akito NODA,03 MAR 2005,JPN,13f1,,"Athletic Track, Abashiri (JPN)",08 JUL 2026,1086,men_10000m,2026,https://worldathletics.org/athletes/japan/akito-noda-14969567
55,28:29.83,,Itsuki HIRABAYASHI,08 DEC 2002,JPN,10,,"ND Soft Stadium, Tendo (JPN)",15 MAY 2026,1086,men_10000m,2026,https://worldathletics.org/athletes/japan/itsuki-hirabayashi-14980840
56,28:30.12,,Kazuya NISHIYAMA,05 NOV 1998,JPN,3f2,,"Athletic Track, Abashiri (JPN)",08 JUL 2026,1086,men_10000m,2026,https://worldathletics.org/athletes/athlete=14695461
57,28:30.22,,Kotaro SHINOHARA,03 SEP 2002,JPN,19f2,,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",28 MAR 2026,1086,men_10000m,2026,https://worldathletics.org/athletes/athlete=14895798
58,28:30.27,,Koichi SHOJI,16 NOV 2002,JPN,11,,"ND Soft Stadium, Tendo (JPN)",15 MAY 2026,1086,men_10000m,2026,https://worldathletics.org/athletes/japan/koichi-shoji-14983277
59,28:30.66,,Sota FUKUTANI,20 JUN 2000,JPN,18f2,,"Aoba Park Athletic Field, Chitose (JPN)",05 JUL 2026,1085,men_10000m,2026,https://worldathletics.org/athletes/japan/sota-fukutani-14956615
60,28:30.99,,Ryoto YOSHIOKA,02 JUN 1998,JPN,3f1,,"Aoba Park Athletic Field, Chitose (JPN)",05 JUL 2026,1085,men_10000m,2026,https://worldathletics.org/athletes/athlete=14827567
61,28:31.28,,Takuma OHAMA,02 SEP 2005,JPN,1f5,,"Athletic Track, Abashiri (JPN)",12 JUL 2026,1084,men_10000m,2026,https://worldathletics.org/athletes/japan/takuma-ohama-14995488
62,28:31.56,,Kaisei OKADA,30 AUG 2005,JPN,20f2,,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",28 MAR 2026,1084,men_10000m,2026,https://worldathletics.org/athletes/japan/kaisei-okada-14967421
63,28:32.83,,Kirato MATSURA,16 NOV 2005,JPN,8,,"Kanseki Stadium, Utsunomiya (JPN)",21 MAY 2026,1082,men_10000m,2026,https://worldathletics.org/athletes/japan/kirato-matsura-15049620
64,28:33.39,,Jin YUASA,27 AUG 2001,JPN,8,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",30 MAY 2026,1081,men_10000m,2026,https://worldathletics.org/athletes/athlete=14935447
65,28:34.42,,Chikara YAMANO,22 MAY 2000,JPN,19f2,,"Aoba Park Athletic Field, Chitose (JPN)",05 JUL 2026,1079,men_10000m,2026,https://worldathletics.org/athletes/athlete=14899998
66,28:34.80,,Hiroto INOUE,06 JAN 1993,JPN,15f1,,"Athletic Track, Abashiri (JPN)",08 JUL 2026,1079,men_10000m,2026,https://worldathletics.org/athletes/athlete=14493782
67,28:34.91,,Towa URABE,20 JAN 2005,JPN,9,,"Kanseki Stadium, Utsunomiya (JPN)",21 MAY 2026,1079,men_10000m,2026,https://worldathletics.org/athletes/japan/towa-urabe-15002049
68,28:35.47,,Shoki YAMAGUCHI,25 MAY 2005,JPN,12,,"Kanseki Stadium, Utsunomiya (JPN)",21 MAY 2026,1078,men_10000m,2026,https://worldathletics.org/athletes/japan/shoki-yamaguchi-15053657
69,28:35.74,,Tsuyoshi BANDO,12 DEC 1996,JPN,1,,"Kashihara Park Athletic Field, Kashihara (JPN)",18 APR 2026,1077,men_10000m,2026,https://worldathletics.org/athletes/athlete=14780871
70,28:36.27,,Naoki AIBA,24 JAN 1991,JPN,1f2,,"Municipal Stadium, Miyoshi (JPN)",09 MAY 2026,1077,men_10000m,2026,https://worldathletics.org/athletes/athlete=14544973
71,28:36.33,,Riku TAMAME,15 JUN 2005,JPN,10,,"Kanseki Stadium, Utsunomiya (JPN)",21 MAY 2026,1077,men_10000m,2026,https://worldathletics.org/athletes/japan/riku-tamame-14956081
72,28:36.34,,Sota NAMIKAWA,11 APR 2005,JPN,16f1,,"Athletic Track, Abashiri (JPN)",08 JUL 2026,1077,men_10000m,2026,https://worldathletics.org/athletes/japan/sota-namikawa-15029947
73,28:37.10,,Kyosuke HANAO,20 DEC 2001,JPN,1f2,,"Honjo Athletic Stadium, Kitakyushu (JPN)",23 MAY 2026,1075,men_10000m,2026,https://worldathletics.org/athletes/athlete=14854877
74,28:37.18,,Hiroyuki ISHIOKA,11 DEC 2003,JPN,4f2,,"Athletic Track, Abashiri (JPN)",08 JUL 2026,1075,men_10000m,2026,https://worldathletics.org/athletes/japan/hiroyuki-ishioka-14956101
75,28:37.57,,Chao WANG,08 OCT 2006,CHN,2,,"Kuishan Sports Center, Rizhao (CHN)",26 JUN 2026,1075,men_10000m,2026,https://worldathletics.org/athletes/pr-of-china/chao-wang-15222395
76,28:38.62,,Torazo KAI,05 NOV 1998,JPN,5f2,,"Athletic Track, Abashiri (JPN)",08 JUL 2026,1073,men_10000m,2026,https://worldathletics.org/athletes/athlete=14821558
77,28:38.72,,Kohei MUKAI,30 JAN 1996,JPN,3f2,,"Municipal Stadium, Miyoshi (JPN)",09 MAY 2026,1073,men_10000m,2026,https://worldathletics.org/athletes/athlete=14714847
78,28:38.84,,Hayato HIKAZUTANI,16 APR 2005,JPN,2f5,,"Athletic Track, Abashiri (JPN)",12 JUL 2026,1073,men_10000m,2026,https://worldathletics.org/athletes/japan/hayato-hikazutani-15054403
79,28:39.22,,Yamato YOSHII,14 FEB 2002,JPN,9,,"Yanmar Stadium Nagai, Osaka (JPN)",10 MAY 2026,1072,men_10000m,2026,https://worldathletics.org/athletes/athlete=14851972
80,28:39.30,,Kosei MATSUNAMI,10 NOV 2001,JPN,7f3,,"Honjo Athletic Stadium, Kitakyushu (JPN)",23 MAY 2026,1072,men_10000m,2026,https://worldathletics.org/athletes/athlete=14922919
81,28:39.31,,Kouichi SHOUJI,16 NOV 2002,JPN,6f2,,"Athletic Track, Abashiri (JPN)",08 JUL 2026,1072,men_10000m,2026,https://worldathletics.org/athletes/athlete=14915121
82,28:39.34,,Kaito KOJIMA,23 APR 2002,JPN,4f1,,"Aoba Park Athletic Field, Chitose (JPN)",05 JUL 2026,1072,men_10000m,2026,https://worldathletics.org/athletes/japan/kaito-kojima-14946041
83,28:39.87,,Fakun JIANG,16 AUG 1999,CHN,3,,"Kuishan Sports Center, Rizhao (CHN)",26 JUN 2026,1071,men_10000m,2026,https://worldathletics.org/athletes/athlete=14839796
84,28:39.99,,Kyosuke HIRAMATSU,02 APR 2004,JPN,13,,"Kanseki Stadium, Utsunomiya (JPN)",21 MAY 2026,1071,men_10000m,2026,https://worldathletics.org/athletes/japan/kyosuke-hiramatsu-14981104
85,28:40.47,,Kyuma YOKOTA,16 MAY 2001,JPN,5f1,,"Aoba Park Athletic Field, Chitose (JPN)",05 JUL 2026,1070,men_10000m,2026,https://worldathletics.org/athletes/athlete=14865921
86,28:41.85,,Itsuki OMORI,09 JUN 1996,JPN,4f2,,"Municipal Stadium, Miyoshi (JPN)",09 MAY 2026,1068,men_10000m,2026,https://worldathletics.org/athletes/japan/itsuki-omori-14659413
87,28:41.92,,Fumiya OGURA,06 SEP 2003,JPN,7f2,,"Athletic Track, Abashiri (JPN)",08 JUL 2026,1068,men_10000m,2026,https://worldathletics.org/athletes/japan/fumiya-ogura-14999572
88,28:42.40,,Katsuhiko SUZUKI,20 NOV 1996,JPN,10,,"Yanmar Stadium Nagai, Osaka (JPN)",10 MAY 2026,1067,men_10000m,2026,https://worldathletics.org/athletes/athlete=14818192
89,28:42.89,,Hikaru YOKO,19 JUL 2003,JPN,8f2,,"Athletic Track, Abashiri (JPN)",08 JUL 2026,1067,men_10000m,2026,https://worldathletics.org/athletes/japan/hikaru-yoko-14962403
90,28:42.95,,Kaisei YASUHARA,02 JUN 2004,JPN,1f4,,"Athletic Track, Abashiri (JPN)",12 JUL 2026,1067,men_10000m,2026,https://worldathletics.org/athletes/japan/kaisei-yasuhara-14946044
91,28:43.95,,Daichi TAKEUCHI,31 JAN 1996,JPN,14,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",25 APR 2026,1065,men_10000m,2026,https://worldathletics.org/athletes/athlete=14703188
92,28:44.01,,Hayato NOMURA,01 OCT 2001,JPN,5f2,,"Municipal Stadium, Miyoshi (JPN)",09 MAY 2026,1065,men_10000m,2026,https://worldathletics.org/athletes/athlete=14904417
93,28:44.15,,Kotaro SUZUKI,03 JUN 2004,JPN,9f2,,"Athletic Track, Abashiri (JPN)",08 JUL 2026,1065,men_10000m,2026,https://worldathletics.org/athletes/japan/kotaro-suzuki-14960870
94,28:44.24,,Hazuma HATTORI,07 FEB 1995,JPN,2,,"Egao Kenko Stadium, Kumamoto (JPN)",11 APR 2026,1065,men_10000m,2026,https://worldathletics.org/athletes/athlete=14520155
95,28:44.65,,Nozomi SUGAYA,09 NOV 2005,JPN,2f4,,"Athletic Track, Abashiri (JPN)",12 JUL 2026,1064,men_10000m,2026,https://worldathletics.org/athletes/japan/nozomi-sugaya-15010212
96,28:44.86,,Takuya KITASAKI,05 MAR 1999,JPN,2,,"Kashihara Park Athletic Field, Kashihara (JPN)",18 APR 2026,1064,men_10000m,2026,https://worldathletics.org/athletes/athlete=14818178
97,28:44.99,,Ryuto HIRASHIMA,03 NOV 2003,JPN,17f1,,"Athletic Track, Abashiri (JPN)",08 JUL 2026,1064,men_10000m,2026,https://worldathletics.org/athletes/japan/ryuto-hirashima-14954046
98,28:45.16,,Ibuki GOTO,03 FEB 2007,JPN,11f4,,"Lemon Gas Stadium, Hiratsuka (JPN)",04 MAY 2026,1063,men_10000m,2026,https://worldathletics.org/athletes/japan/ibuki-goto-15086046
99,28:45.17,,Arata IIGUNI,24 SEP 2005,JPN,3f5,,"Athletic Track, Abashiri (JPN)",12 JUL 2026,1063,men_10000m,2026,https://worldathletics.org/athletes/japan/arata-iiguni-14977955
100,28:45.24,,Tatsuya KIYAMA,30 MAY 2000,JPN,6f2,,"Municipal Stadium, Miyoshi (JPN)",09 MAY 2026,1063,men_10000m,2026,https://worldathletics.org/athletes/athlete=14854842
101,28:45.30,,Rei MATSUNAGA,12 JUN 2001,JPN,11,,"Yanmar Stadium Nagai, Osaka (JPN)",10 MAY 2026,1063,men_10000m,2026,https://worldathletics.org/athletes/japan/rei-matsunaga-14998156
102,28:45.69,,Yuki OSAKA,26 OCT 1998,JPN,3,,"Kashihara Park Athletic Field, Kashihara (JPN)",18 APR 2026,1063,men_10000m,2026,https://worldathletics.org/athletes/athlete=14856634
103,28:46.67,,Ryuto UEHARA,05 MAY 2003,JPN,13,,"ND Soft Stadium, Tendo (JPN)",15 MAY 2026,1061,men_10000m,2026,https://worldathletics.org/athletes/athlete=14921571
104,28:46.85,,Ryuto IGAWA,05 SEP 2000,JPN,22f2,,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",28 MAR 2026,1061,men_10000m,2026,https://worldathletics.org/athletes/athlete=14854888
105,28:47.08,,Yuta ASANO,07 NOV 2005,JPN,5f5,,"Athletic Track, Abashiri (JPN)",12 JUL 2026,1060,men_10000m,2026,https://worldathletics.org/athletes/japan/yuta-asano-15048938
106,28:47.11,,Aito HAYASHI,17 SEP 2004,JPN,6f5,,"Athletic Track, Abashiri (JPN)",12 JUL 2026,1060,men_10000m,2026,https://worldathletics.org/athletes/japan/aito-hayashi-14982189
107,28:47.57,,Genta KURAMOTO,23 AUG 2001,JPN,7f2,,"Municipal Stadium, Miyoshi (JPN)",09 MAY 2026,1060,men_10000m,2026,https://worldathletics.org/athletes/athlete=14854828
108,28:47.79,,Yusaku NOMURA,08 MAR 2001,JPN,15,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",25 APR 2026,1059,men_10000m,2026,https://worldathletics.org/athletes/athlete=14854883
109,28:47.96,,Gakuto SATOU,24 DEC 2005,JPN,10f2,,"Athletic Track, Abashiri (JPN)",08 JUL 2026,1059,men_10000m,2026,https://worldathletics.org/athletes/japan/gakuto-satou-15051424
110,28:48.22,,Yuito YAMAMOTO,16 MAY 2001,JPN,20f2,,"Aoba Park Athletic Field, Chitose (JPN)",05 JUL 2026,1059,men_10000m,2026,https://worldathletics.org/athletes/athlete=14868613
111,28:48.57,,Yuujiro KOSHIBA,09 MAY 2005,JPN,12f4,,"Lemon Gas Stadium, Hiratsuka (JPN)",04 MAY 2026,1058,men_10000m,2026,https://worldathletics.org/athletes/japan/yuujiro-koshiba-15000692
112,28:48.62,,Shunsuke YOSHII,08 APR 2003,JPN,7f1,,"Aoba Park Athletic Field, Chitose (JPN)",05 JUL 2026,1058,men_10000m,2026,https://worldathletics.org/athletes/athlete=14900218
113,28:48.85,,Gouki TAKAYAMA,18 JUL 2003,JPN,11f2,,"Athletic Track, Abashiri (JPN)",08 JUL 2026,1058,men_10000m,2026,https://worldathletics.org/athletes/japan/gouki-takayama-14979800
114,28:49.72,,Keigo HORIHATA,15 JUL 2000,JPN,8f1,,"Aoba Park Athletic Field, Chitose (JPN)",05 JUL 2026,1057,men_10000m,2026,https://worldathletics.org/athletes/athlete=14868714
115,28:50.19,,Shunsuke TAJIMA,30 SEP 2003,JPN,8,,"Nagaragawa Stadium, Gifu (JPN)",09 MAY 2026,1056,men_10000m,2026,https://worldathletics.org/athletes/japan/shunsuke-tajima-14956466
116,28:50.38,,Shinta IGARASHI,06 JUL 2007,JPN,3f4,,"Athletic Track, Abashiri (JPN)",12 JUL 2026,1056,men_10000m,2026,https://worldathletics.org/athletes/japan/shinta-igarashi-15050333
117,28:50.86,,Daisuke HOSOMORI,05 MAY 1994,JPN,2,,"Universiade Commemorative Stadium, Kobe (JPN)",18 APR 2026,1055,men_10000m,2026,https://worldathletics.org/athletes/athlete=14641767
118,28:50.94,,Maxim FROLOVSKIY,04 JUL 2002,KAZ,1,,"Kazakhstan National University, Astana (KAZ)",22 JUL 2026,1055,men_10000m,2026,https://worldathletics.org/athletes/athlete=14933240
119,28:51.00,,Yudai SHIMAZU,28 MAR 2000,JPN,12f2,,"Athletic Track, Abashiri (JPN)",08 JUL 2026,1055,men_10000m,2026,https://worldathletics.org/athletes/athlete=14830601
120,28:51.04,,Dongzhibu RENQING,15 OCT 2000,CHN,4,,"Kuishan Sports Center, Rizhao (CHN)",26 JUN 2026,1055,men_10000m,2026,https://worldathletics.org/athletes/athlete=14892576
121,28:51.38,,Nao NANATSUE,17 MAR 2006,JPN,12,,"Kanseki Stadium, Utsunomiya (JPN)",21 MAY 2026,1054,men_10000m,2026,https://worldathletics.org/athletes/japan/nao-nanatsue-15004706
122,28:51.44,,Keita SAKAMOTO,16 AUG 1995,JPN,1,,"Nagaragawa Stadium, Gifu (JPN)",09 MAY 2026,1054,men_10000m,2026,https://worldathletics.org/athletes/athlete=14631411
123,28:51.59,,Daiki NOMIMURA,18 NOV 1999,JPN,4,,"Kashihara Park Athletic Field, Kashihara (JPN)",18 APR 2026,1054,men_10000m,2026,https://worldathletics.org/athletes/athlete=14939259
124,28:51.80,,Yuta KUBODE,24 FEB 2003,JPN,9f1,,"Aoba Park Athletic Field, Chitose (JPN)",05 JUL 2026,1053,men_10000m,2026,https://worldathletics.org/athletes/japan/yuta-kubode-15026437
125,28:52.78,,Kihiro IRIHAMA,17 OCT 2003,JPN,5,,"Kashihara Park Athletic Field, Kashihara (JPN)",18 APR 2026,1052,men_10000m,2026,https://worldathletics.org/athletes/japan/kihiro-irihama-14958263
126,28:53.09,,Masanagi IMOTO,17 AUG 2006,JPN,7f5,,"Athletic Track, Abashiri (JPN)",12 JUL 2026,1052,men_10000m,2026,https://worldathletics.org/athletes/japan/masanagi-imoto-15180174
127,28:53.40,,Shota NISHIMURA,26 APR 2001,JPN,9,,"Nagaragawa Stadium, Gifu (JPN)",09 MAY 2026,1051,men_10000m,2026,https://worldathletics.org/athletes/japan/shota-nishimura-14961512
128,28:53.45,,Seiya AMANO,16 MAR 1998,JPN,10f3,,"Honjo Athletic Stadium, Kitakyushu (JPN)",23 MAY 2026,1051,men_10000m,2026,https://worldathletics.org/athletes/athlete=14896262
129,28:53.48,,Ren YONEMITSU,27 FEB 1998,JPN,14,,"ND Soft Stadium, Tendo (JPN)",15 MAY 2026,1051,men_10000m,2026,https://worldathletics.org/athletes/athlete=14776366
