venue,place,country,lat,lon,elevation_m,rows
"Stadio Guidobaldi, Rieti (ITA)",Rieti,ITA,42.40476,12.85735,393.0,23
"Stade Pierre Paul Bernard, Talence (FRA)",Talence,FRA,44.80849,-0.58915,14.0,23
Nobeoka (JPN),Nobeoka,JPN,32.58333,131.66667,4.0,23
"Sree Kanteerava Outdoor Stadium, Bengaluru (IND)",Bengaluru,IND,12.97194,77.59369,918.0,23
Rehlingen (GER),Rehlingen,GER,53.10572,10.22092,52.0,22
"Takebishi Stadium, Kyoto (JPN)",Kyoto,JPN,35.02107,135.75385,51.0,22
"McLeod Stadium, Langley (CAN)",Langley,CAN,49.10107,-122.65883,15.0,22
"Veterans Memorial Stadium, Clovis, CA (USA)",Clovis,USA,36.82523,-119.70292,111.0,22
"John Jacobs Track Complex, Norman, OK (USA)",Norman,USA,35.22257,-97.43948,358.0,22
"Lakeside Stadium, Melbourne (AUS)",Melbourne,AUS,-37.814,144.96332,19.0,22
"Helmut-Körnig-Halle, Dortmund (GER) (i)",,,,,,22
"Torrance, CA (USA)",Torrance,USA,33.83585,-118.34063,30.0,21
"UJ Stadium, Johannesburg (RSA)",Johannesburg,RSA,-26.20227,28.04363,1749.0,21
"Marietta HS, Marietta, GA (USA)",Marietta,USA,33.9526,-84.54993,345.0,21
"UMiami Cobb Stadium, Coral Gables, FL (USA)",Coral Gables,USA,25.72149,-80.26838,5.0,21
"Alumni Stadium, Guelph (CAN)",Guelph,CAN,43.54594,-80.25599,334.0,21
"Pilditch Stadium, Pretoria (RSA)",Pretoria,RSA,-25.74486,28.18783,1321.0,21
"SV 03 Stadion, Tübingen (GER)",Tübingen,GER,48.52266,9.05222,334.0,21
"Bungertstadion, Rehlingen (GER)",Rehlingen,GER,53.10572,10.22092,52.0,21
"Coral Gables, FL (USA)",Coral Gables,USA,25.72149,-80.26838,5.0,21
"Uppsala Friidrottsarena, Uppsala (SWE)",Uppsala,SWE,59.85882,17.63889,17.0,21
"Central Stadium, Kazan (RUS)",Kazan,RUS,55.78874,49.12214,70.0,21
Colombo (SRI),Colombo,SRI,6.93548,79.84868,4.0,21
"Stadion Park Mladeži, Split (CRO)",Split,CRO,43.50891,16.43915,16.0,21
"Iron Wood Throwers Center, Rathdrum, ID (USA)",Rathdrum,USA,47.8124,-116.89659,674.0,21
São Paulo (BRA),São Paulo,BRA,-23.5475,-46.63611,745.0,20
"Centro de Atletismo Professor Oswaldo Terra, Sao Bernardo do Campo (BRA)",Sao Bernardo do Campo,BRA,-23.69389,-46.565,786.0,20
"Samuel Ogbemudia Stadium, Benin City (NGR)",Benin City,NGR,6.33815,5.62575,86.0,20
Bursa (TUR),Bursa,TUR,40.19559,29.06013,155.0,20
"Heinz-Steyer-Stadion, Dresden (GER)",Dresden,GER,51.05089,13.73832,116.0,20
"UVA Lanningan Field, Charlottesville, VA (USA)",Charlottesville,USA,38.02931,-78.47668,151.0,20
adidas Boost Boston Games,,,,,,20
"Stade Pierre de Coubertin, Montgeron (FRA)",Montgeron,FRA,48.70543,2.45039,79.0,20
"Lemon Gas Stadium, Hiratsuka (JPN)",Hiratsuka,JPN,35.32785,139.33736,7.0,20
Barcelona (ESP),Barcelona,ESP,41.38879,2.15899,44.0,20
"Estadi Joan Serrahima, Barcelona (ESP)",Barcelona,ESP,41.38879,2.15899,44.0,20
"USC Allyson Felix at Loker Track Stadium, Los Angeles, CA (USA)",Los Angeles,USA,34.05223,-118.24368,91.0,20
Birmingham (GBR),Birmingham,GBR,52.48142,-1.89983,151.0,20
"Lubbock, TX (USA) (i)",,,,,,20
"SPIRE Institute Indoor Track & Field Facility, Geneva, OH (USA) (i)",,,,,,20
Rovereto (ITA),Rovereto,ITA,45.8904,11.04053,202.0,20
Lutsk (UKR),Lutsk,UKR,50.75784,25.35024,192.0,20
"Jahnstadion, Neubrandenburg (GER)",Neubrandenburg,GER,53.55735,13.26105,19.0,20
"Fall Creek Pavilion, Indianapolis, IN (USA) (i)",,,,,,20
"Kujawsko-Pomorska Arena, Toruń (POL) (i)",,,,,,20
"Panthessaliko Stadium, Volos (GRE)",Volos,GRE,39.36923,22.94769,16.0,20
"Maison des Sports, Clermont-Ferrand (FRA) (i)",,,,,,20
Camagüey (CUB),Camagüey,CUB,21.38083,-77.91694,101.0,19
Albi (FRA),Albi,FRA,43.9298,2.148,177.0,19
La Habana (CUB),La Habana,CUB,28.8569,-111.31263,100.0,19
"Alumni Stadium, London (CAN)",London,CAN,42.98339,-81.23304,249.0,19
"University of South Florida Track & Field Stadium, Tampa, FL (USA)",Tampa,USA,27.94752,-82.45843,10.0,19
"Ishin Me-Life Stadium, Yamaguchi (JPN)",Yamaguchi,JPN,34.18333,131.46667,151.0,19
"Suzhou Olympic Sports Centre, Suzhou (CHN)",Suzhou,CHN,33.63611,116.97889,31.0,19
"Lipscomb Academy, Nashville, TN (USA)",Nashville,USA,36.16589,-86.78444,158.0,19
"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",,,,,,19
"Stade Olympique, Rabat (MAR)",Rabat,MAR,34.01325,-6.83255,41.0,19
"Prefectural Shizuoka Stadium, Fukuroi (JPN)",Fukuroi,JPN,34.75,137.91667,12.0,19
"Stadio Zecchini, Grosseto (ITA)",Grosseto,ITA,42.76296,11.10941,14.0,19
"Cluj Arena, Cluj-Napoca (ROU)",Cluj-Napoca,ROU,46.76667,23.6,349.0,19
"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",,,,,,19
"Palangos Stadionas, Palanga (LTU)",Palanga,LTU,55.9175,21.06861,10.0,19
"GPS Stadium, Nicosia (CYP)",Nicosia,CYP,35.17284,33.35397,154.0,19
"AFU Athletics Stadium, Tashkent (UZB)",Tashkent,UZB,41.26465,69.21627,426.0,19
"Sports Center, Bengbu (CHN)",Bengbu,CHN,32.94083,117.36083,25.0,19
"Baton Rouge, LA (USA)",Baton Rouge,USA,30.44332,-91.18747,18.0,18
"Jamaica College Ashenheim Stadium, Kingston (JAM)",Kingston,JAM,17.99702,-76.79358,62.0,18
"International Stadium, Yokohama (JPN)",Yokohama,JPN,35.43333,139.65,26.0,18
"Horizon HS, Winter Garden, FL (USA)",Winter Garden,USA,28.56528,-81.58618,41.0,18
Yamaguchi (JPN),Yamaguchi,JPN,34.18333,131.46667,151.0,18
"Stadion Zygmunta Szelesta, Warszawa (POL)",Warszawa,POL,41.4595,-81.64485,213.0,18
"Dick Vert Stadium, High Point, NC (USA)",High Point,USA,35.95569,-80.00532,288.0,18
"Estádio 1o de Maio, Braga (POR)",Braga,POR,41.5514,-8.42311,194.0,18
"Egao Kenko Stadium, Kumamoto (JPN)",Kumamoto,JPN,32.80589,130.6918,9.0,18
"SA Athletic Stadium, Adelaide (AUS)",Adelaide,AUS,-34.92866,138.59863,48.0,18
"Givat Ram Stadium, Jerusalem (ISR)",Jerusalem,ISR,31.76904,35.21633,792.0,18
Halle (GER),Halle,GER,51.48158,11.97947,115.0,18
"Ural GUFK, Chelyabinsk (RUS) (i)",,,,,,18
"x-bionic sphere, Šamorín (SVK)",Šamorín,SVK,48.03015,17.30972,132.0,17
"Clermont, FL (USA)",Clermont,USA,28.54944,-81.77285,44.0,17
Berlin (GER),Berlin,GER,52.52437,13.41053,46.0,17
"Stade Jean Jacoby, Schifflange (LUX)",Schifflange,LUX,49.50639,6.01278,292.0,17
Tarragona (ESP),Tarragona,ESP,41.11905,1.24544,25.0,17
Oordegem (BEL),Oordegem,BEL,50.95727,3.90201,35.0,17
Kortrijk (BEL),Kortrijk,BEL,50.82803,3.26487,20.0,17
"Stadion Deutweg, Winterthur (SUI)",Winterthur,SUI,47.50564,8.72413,441.0,17
"Sportcentrum Wembley, Kortrijk (BEL)",Kortrijk,BEL,50.82803,3.26487,20.0,17
"Irvine, CA (USA)",Irvine,USA,33.66946,-117.82311,18.0,17
Montesson (FRA),Montesson,FRA,48.90924,2.13754,37.0,17
"Olympic Park, Sydney (AUS)",Sydney,AUS,-33.86785,151.20732,51.0,17
"Alumni Field, Windsor (CAN)",Windsor,CAN,42.30008,-83.01654,188.0,17
"Gumi Civic Stadium, Gumi (KOR)",Gumi,KOR,36.1136,128.336,59.0,17
"Nga Puna Wai Sports Hub, Christchurch (NZL)",Christchurch,NZL,-43.53333,172.63333,7.0,17
"Province Naimette Arena, Liège (BEL)",Liège,BEL,50.63373,5.56749,68.0,17
"Marietta, GA (USA)",Marietta,USA,33.9526,-84.54993,345.0,17
"Fayetteville, AR (USA) (i)",,,,,,17
"Weaver Stadium, Princeton, NJ (USA)",Princeton,USA,38.35532,-87.56752,154.0,17
"Houston-Yeoman FH, Houston, TX (USA) (i)",,,,,,17
Chengdu (CHN),Chengdu,CHN,30.66667,104.06667,494.0,17
"Quarterback Immobilien Arena, Leipzig (GER) (i)",,,,,,17
"Nagaragawa Stadium, Gifu (JPN)",Gifu,JPN,35.42291,136.76039,17.0,17
"Stadium Jean-Pellez, Aubière (FRA) (i)",,,,,,17
"Moratalaz, Madrid (ESP)",Madrid,ESP,40.4165,-3.70256,651.0,16
Bellinzona (SUI),Bellinzona,SUI,46.19278,9.01703,226.0,16
Padova (ITA),Padova,ITA,44.38225,11.14261,329.0,16
Germiston (RSA),Germiston,RSA,-26.23481,28.17665,1643.0,16
"Greensboro, NC (USA)",Greensboro,USA,36.07264,-79.79198,257.0,16
Toronto (CAN),Toronto,CAN,43.70643,-79.39864,165.0,16
"Sportzentrum Niederösterreich, St. Pölten (AUT)",St. Pölten,AUT,,,,16
"Ray Conn Sports Complex, Cleveland, TN (USA)",Cleveland,USA,41.4995,-81.69541,200.0,16
Zhaoqing (CHN),Zhaoqing,CHN,23.04893,112.46091,18.0,16
"Prefectural Stadium, Fujiyoshida (JPN)",Fujiyoshida,JPN,35.44032,138.79585,1051.0,16
La Nucia (ESP),La Nucia,ESP,38.61372,-0.1269,246.0,16
"Atletski Stadion, Kraljevo (SRB)",Kraljevo,SRB,43.72583,20.68944,209.0,16
"Stade Naimette-Xhovémont, Liège (BEL)",Liège,BEL,50.63373,5.56749,68.0,16
"Centro Gabre Gabric, Brescia (ITA)",Brescia,ITA,45.53558,10.21472,148.0,16
"Jawaharlal Nehru Stadium, Chennai (IND)",Chennai,IND,13.08784,80.27847,15.0,16
Genève (SUI),Genève,SUI,46.20222,6.14569,405.0,16
"Msunduzi Athletics Stadium, Pietermaritzburg (RSA)",Pietermaritzburg,RSA,-29.61679,30.39278,638.0,16
Šamorín (SVK),Šamorín,SVK,48.03015,17.30972,132.0,16
"Atatürk Stadyumu, Izmir (TUR)",Izmir,TUR,38.41273,27.13838,114.0,16
"Stade des Martyrs, Kinshasa (COD)",Kinshasa,COD,-4.32758,15.31357,283.0,16
"Lied Recreation Center, Ames, IA (USA) (i)",,,,,,16
"Messehalle, Karlsruhe (GER) (i)",,,,,,16
"Znamenskikh Stadion, Moskva (RUS)",Moskva,RUS,55.75204,37.61781,151.0,16
Sydney (AUS),Sydney,AUS,-33.86785,151.20732,51.0,16
Brisbane (AUS),Brisbane,AUS,-27.46794,153.02809,27.0,15
"Sepp-Herberger-Stadion, Weinheim (GER)",Weinheim,GER,49.54887,8.66697,118.0,15
"Rhodes College, Memphis, TN (USA)",Memphis,USA,35.14953,-90.04898,84.0,15
"New Mexico JC, Hobbs, NM (USA)",Hobbs,USA,32.70261,-103.13604,1107.0,15
"Stade Omnisport de JAPOMA, Douala (CMR)",Douala,CMR,4.04827,9.70428,17.0,15
"Germiston Stadium, Johannesburg (RSA)",Johannesburg,RSA,-26.20227,28.04363,1749.0,15
Guiyang (CHN),Guiyang,CHN,26.58333,106.71667,1081.0,15
"Stadion Schützenmatte, Basel (SUI)",Basel,SUI,47.55839,7.57327,283.0,15
"Demirjian Park, Champaign, IL (USA)",Champaign,USA,40.11642,-88.24338,227.0,15
"Atıcılar Atletizm Sahası, Bursa (TUR)",Bursa,TUR,40.19559,29.06013,155.0,15
"Stade Sottevillais 76, Sotteville-lès-Rouen (FRA)",Sotteville-lès-Rouen,FRA,49.40972,1.09005,17.0,15
"Stade d'Athletisme Pierre Voillequin, Troyes (FRA)",Troyes,FRA,48.30073,4.08524,111.0,15
"Pista de Atletismo Felix Sanchez, Santo Domingo (DOM)",Santo Domingo,DOM,18.47186,-69.89232,24.0,15
"Portland, OR (USA)",Portland,USA,45.52345,-122.67621,13.0,15
"Athletics Stadium, Shibetsu (JPN)",Shibetsu,JPN,44.17137,142.39517,126.0,15
"Utilita Arena Birmingham, Birmingham (GBR) (i)",Birmingham,,52.48142,-1.89983,151.0,15
"Le Grand Stade, Marrakech (MAR)",Marrakech,MAR,,,,15
"Moselstadion, Trier (GER)",Trier,GER,49.75565,6.63935,144.0,15
"Morris Williams T&F Stadium, Durham, NC (USA)",Durham,USA,35.99403,-78.89862,124.0,15
San Salvador (ESA),San Salvador,ESA,43.45,-8.15,274.0,15
Bhubaneshwar (IND),Bhubaneshwar,IND,,,,15
"Stade d'Athlétisme Hautepierre, Strasbourg (FRA)",Strasbourg,FRA,48.58392,7.74553,150.0,15
"Estádio Dr. Magalhães Pessoa, Leiria (POR)",Leiria,POR,39.74362,-8.80705,32.0,15
"Olimpiyets Arena, Mogilyov (BLR) (i)",,,,,,15
Joensuu (FIN),Joensuu,FIN,62.60118,29.76316,85.0,15
"Expocentro, Pombal (POR) (i)",,,,,,15
"Complexe Kindarena, Rouen (FRA) (i)",,,,,,15
Ninove (BEL),Ninove,BEL,50.82776,4.02657,15.0,14
Queretaro (MEX),Queretaro,MEX,15.83752,-92.75774,669.0,14
St-Etienne (FRA),St-Etienne,FRA,,,,14
"Hokuroku Park Athletic Field, Fujiyoshida (JPN)",Fujiyoshida,JPN,35.44032,138.79585,1051.0,14
"Ole Miss T&F Complex, Oxford, MS (USA)",Oxford,USA,34.3665,-89.51925,156.0,14
"Campo Scuola Moreno Martini, Lucca (ITA)",Lucca,ITA,43.84369,10.50447,30.0,14
Almaty (KAZ),Almaty,KAZ,43.25249,76.9115,790.0,14
"Stadion Lekkoatletyczny, Suwalki (POL)",Suwalki,POL,54.11175,22.93087,180.0,14
"Olympic Center, Shenyang (CHN)",Shenyang,CHN,41.79222,123.43278,51.0,14
"Estadi Olímpic Camilo Cano, La Nucia (ESP)",La Nucia,ESP,38.61372,-0.1269,246.0,14
"Carl-Kaufmann-Stadion, Karlsruhe (GER)",Karlsruhe,GER,49.00937,8.40444,122.0,14
Port-of-Spain (TTO),Port-of-Spain,TTO,,,,14
Bruxelles (BEL),Bruxelles,BEL,,,,14
"Douglas Track & Field, Auckland (NZL)",Auckland,NZL,-36.84853,174.76349,30.0,14
"Birsa Munda Foot Ball Stadium, Morabadi, Ranchi (IND)",Ranchi,IND,23.34316,85.3094,643.0,14
"Velódromo Luis Puig, Valencia (ESP) (i)",,,,,,14
"Mary Peters Track, Belfast (GBR)",Belfast,GBR,54.59682,-5.92541,6.0,14
"Stade d'Honneur Marcel Roustan, Salon-de-Provence (FRA)",Salon-de-Provence,FRA,43.64229,5.09478,79.0,14
"Norton Sports Center, Louisville, KY (USA) (i)",,,,,,14
"Sports Center, Jiaxing (CHN)",Jiaxing,CHN,30.7522,120.75,9.0,14
"Xipu Training Base Indoor Athletics Stadium, Chengdu (CHN) (i)",,,,,,14
Ogre (LAT),Ogre,LAT,56.8162,24.61401,39.0,14
"ETSV Stadion, Offenburg (GER)",Offenburg,GER,48.47377,7.94495,164.0,14
