discipline,year,competition,date,athlete_name,place,mark,tier,name_key
men_400h,2018,Diamond League Final,2018-08-18,Kyron MCMASTER,1,48.08,dl_final,KYRON MCMASTER
men_400h,2018,Diamond League Final,2018-08-18,Karsten WARHOLM,2,48.10,dl_final,KARSTEN WARHOLM
men_400h,2018,Diamond League Final,2018-08-18,Yasmani COPELLO,3,48.73,dl_final,YASMANI COPELLO
men_400h,2018,European Athletics Championships,2018-08-09,Karsten WARHOLM,1,47.64,continental,KARSTEN WARHOLM
men_400h,2018,European Athletics Championships,2018-08-09,Yasmani COPELLO,2,47.81,continental,YASMANI COPELLO
men_400h,2018,European Athletics Championships,2018-08-09,Thomas BARR,3,48.31,continental,THOMAS BARR
men_400h,2018,IAAF Continental Cup,2018-09-08,Abderrahman SAMBA,1,47.37,continental,ABDERRAHMAN SAMBA
men_400h,2018,IAAF Continental Cup,2018-09-08,Annsert WHYTE,2,48.46,continental,ANNSERT WHYTE
men_400h,2018,IAAF Continental Cup,2018-09-08,Karsten WARHOLM,3,48.56,continental,KARSTEN WARHOLM
men_400m,2018,Diamond League Final,2018-08-18,Fred KERLEY,1,44.80,dl_final,FRED KERLEY
men_400m,2018,Diamond League Final,2018-08-18,Nathan STROTHER,2,44.93,dl_final,NATHAN STROTHER
men_400m,2018,Diamond League Final,2018-08-18,Matthew HUDSON-SMITH,3,44.95,dl_final,MATTHEW HUDSON-SMITH
men_400m,2018,European Athletics Championships,2018-08-10,Matthew HUDSON-SMITH,1,44.78,continental,MATTHEW HUDSON-SMITH
men_400m,2018,European Athletics Championships,2018-08-10,Kévin BORLÉE,2,45.13,continental,KEVIN BORLEE
men_400m,2018,European Athletics Championships,2018-08-10,Jonathan BORLÉE,3,45.19,continental,JONATHAN BORLEE
men_400m,2018,IAAF Continental Cup,2018-09-09,Abdalelah HAROUN,1,44.72,continental,ABDALELAH HAROUN
men_400m,2018,IAAF Continental Cup,2018-09-09,Baboloki THEBE,2,45.10,continental,BABOLOKI THEBE
men_400m,2018,IAAF Continental Cup,2018-09-09,Nathan STROTHER,3,45.28,continental,NATHAN STROTHER
men_5000m,2018,Diamond League Final,2018-08-18,Selemon BAREGA,1,12:43.02,dl_final,SELEMON BAREGA
men_5000m,2018,Diamond League Final,2018-08-18,Hagos GEBRHIWET,2,12:45.82,dl_final,HAGOS GEBRHIWET
men_5000m,2018,Diamond League Final,2018-08-18,Yomif KEJELCHA,3,12:46.79,dl_final,YOMIF KEJELCHA
men_5000m,2018,European Athletics Championships,2018-08-11,Jakob INGEBRIGTSEN,1,13:17.06,continental,JAKOB INGEBRIGTSEN
men_5000m,2018,European Athletics Championships,2018-08-11,Henrik INGEBRIGTSEN,2,13:18.75,continental,HENRIK INGEBRIGTSEN
men_5000m,2018,European Athletics Championships,2018-08-11,Morhad AMDOUNI,3,13:19.14,continental,MORHAD AMDOUNI
men_800m,2018,Diamond League Final,2018-08-18,Emmanuel Kipkurui KORIR,1,1:44.72,dl_final,EMMANUEL KIPKURUI KORIR
men_800m,2018,Diamond League Final,2018-08-18,Marcin LEWANDOWSKI,2,1:45.21,dl_final,MARCIN LEWANDOWSKI
men_800m,2018,Diamond League Final,2018-08-18,Ferguson Cheruiyot ROTICH,3,1:45.28,dl_final,FERGUSON CHERUIYOT ROTICH
men_800m,2018,European Athletics Championships,2018-08-11,Adam KSZCZOT,1,1:44.59,continental,ADAM KSZCZOT
men_800m,2018,European Athletics Championships,2018-08-11,Andreas KRAMER,2,1:45.03,continental,ANDREAS KRAMER
men_800m,2018,European Athletics Championships,2018-08-11,Pierre-Ambroise BOSSE,3,1:45.30,continental,PIERRE-AMBROISE BOSSE
men_800m,2018,IAAF Continental Cup,2018-09-08,Emmanuel Kipkurui KORIR,1,1:46.50,continental,EMMANUEL KIPKURUI KORIR
men_800m,2018,IAAF Continental Cup,2018-09-08,Clayton MURPHY,2,1:46.77,continental,CLAYTON MURPHY
men_800m,2018,IAAF Continental Cup,2018-09-08,Nijel AMOS,3,1:46.77,continental,NIJEL AMOS
men_DT,2018,Diamond League Final,2018-08-18,Fedrick DACRES,1,68.67,dl_final,FEDRICK DACRES
men_DT,2018,Diamond League Final,2018-08-18,Andrius GUDŽIUS,2,67.56,dl_final,ANDRIUS GUDZIUS
men_DT,2018,Diamond League Final,2018-08-18,Daniel STÅHL,3,66.74,dl_final,DANIEL STAHL
men_DT,2018,European Athletics Championships,2018-08-08,Andrius GUDŽIUS,1,68.46,continental,ANDRIUS GUDZIUS
men_DT,2018,European Athletics Championships,2018-08-08,Daniel STÅHL,2,68.23,continental,DANIEL STAHL
men_DT,2018,European Athletics Championships,2018-08-08,Lukas WEIßHAIDINGER,3,65.14,continental,LUKAS WEISSHAIDINGER
men_DT,2018,IAAF Continental Cup,2018-09-08,Fedrick DACRES,1,67.97,continental,FEDRICK DACRES
men_DT,2018,IAAF Continental Cup,2018-09-08,Matthew DENNY,2,63.99,continental,MATTHEW DENNY
men_DT,2018,IAAF Continental Cup,2018-09-08,Andrius GUDŽIUS,3,66.95,continental,ANDRIUS GUDZIUS
men_HJ,2018,Diamond League Final,2018-08-18,Brandon STARC,1,2.33,dl_final,BRANDON STARC
men_HJ,2018,Diamond League Final,2018-08-18,Mateusz PRZYBYLKO,2,2.33,dl_final,MATEUSZ PRZYBYLKO
men_HJ,2018,Diamond League Final,2018-08-18,Gianmarco TAMBERI,3,2.31,dl_final,GIANMARCO TAMBERI
men_HJ,2018,European Athletics Championships,2018-08-11,Mateusz PRZYBYLKO,1,2.35,continental,MATEUSZ PRZYBYLKO
