discipline,year,competition,date,athlete_name,place,mark,tier,name_key
men_400m,2021,Gyulai István Memorial - Hungarian Athletics Grand Prix,2021-07-06,Michael NORMAN,3,44.65,tour,MICHAEL NORMAN
men_400m,2021,LOTTO Silesia Kamila Skolimowska Memorial,2021-09-05,Michael CHERRY,1,44.94,tour,MICHAEL CHERRY
men_400m,2021,LOTTO Silesia Kamila Skolimowska Memorial,2021-09-05,Vernon NORWOOD,2,45.12,tour,VERNON NORWOOD
men_400m,2021,LOTTO Silesia Kamila Skolimowska Memorial,2021-09-05,Deon LENDORE,3,45.31,tour,DEON LENDORE
men_400m,2021,Memorial Borisa Hanžekovića,2021-09-14,Kirani JAMES,1,44.46,tour,KIRANI JAMES
men_400m,2021,Memorial Borisa Hanžekovića,2021-09-14,Isaac MAKWALA,2,45.15,tour,ISAAC MAKWALA
men_400m,2021,Memorial Borisa Hanžekovića,2021-09-14,Edoardo SCOTTI,3,45.30,tour,EDOARDO SCOTTI
men_400m,2021,The XXXII Olympic Games,2021-08-05,Steven GARDINER,1,43.85,global,STEVEN GARDINER
men_400m,2021,The XXXII Olympic Games,2021-08-05,Anthony José ZAMBRANO,2,44.08,global,ANTHONY JOSE ZAMBRANO
men_400m,2021,The XXXII Olympic Games,2021-08-05,Kirani JAMES,3,44.19,global,KIRANI JAMES
men_400m,2021,USATF Golden Games,2021-05-09,Michael NORMAN,1,44.40,tour,MICHAEL NORMAN
men_400m,2021,USATF Golden Games,2021-05-09,Michael CHERRY,2,44.86,tour,MICHAEL CHERRY
men_400m,2021,USATF Golden Games,2021-05-09,Deon LENDORE,3,45.04,tour,DEON LENDORE
men_400m,2021,USATF Grand Prix,2021-04-24,Michael NORMAN,1,44.67,tour,MICHAEL NORMAN
men_400m,2021,USATF Grand Prix,2021-04-24,Rai BENJAMIN,2,44.97,tour,RAI BENJAMIN
men_400m,2021,USATF Grand Prix,2021-04-24,Justin ROBINSON,3,45.55,tour,JUSTIN ROBINSON
men_5000m,2021,Kip Keino Classic,2021-09-18,Jacob KROP,1,13:23.50,tour,JACOB KROP
men_5000m,2021,Kip Keino Classic,2021-09-18,Nicholas KIPKORIR,2,13:23.99,tour,NICHOLAS KIPKORIR
men_5000m,2021,Kip Keino Classic,2021-09-18,Benson KIPLANGAT,3,13:25.28,tour,BENSON KIPLANGAT
men_5000m,2021,The XXXII Olympic Games,2021-08-06,Joshua CHEPTEGEI,1,12:58.15,global,JOSHUA CHEPTEGEI
men_5000m,2021,The XXXII Olympic Games,2021-08-06,Mohammed AHMED,2,12:58.61,global,MOHAMMED AHMED
men_5000m,2021,The XXXII Olympic Games,2021-08-06,Paul CHELIMO,3,12:59.05,global,PAUL CHELIMO
men_5000m,2021,USATF Golden Games,2021-05-09,Mason FERLIC,1,13:24.94,tour,MASON FERLIC
men_5000m,2021,USATF Golden Games,2021-05-09,Kieran LUMB,2,13:25.86,tour,KIERAN LUMB
men_5000m,2021,USATF Golden Games,2021-05-09,Matt BAXTER,3,13:30.57,tour,MATT BAXTER
men_800m,2021,60th Ostrava Golden Spike,2021-05-19,Max BURGIN,1,1:44.14,tour,MAX BURGIN
men_800m,2021,60th Ostrava Golden Spike,2021-05-19,Tony VAN DIEPEN,2,1:45.36,tour,TONY VAN DIEPEN
men_800m,2021,60th Ostrava Golden Spike,2021-05-19,Jake WIGHTMAN,3,1:45.47,tour,JAKE WIGHTMAN
men_800m,2021,Diamond League Final,2021-09-03,Emmanuel Kipkurui KORIR,1,1:44.56,dl_final,EMMANUEL KIPKURUI KORIR
men_800m,2021,Diamond League Final,2021-09-03,Ferguson Cheruiyot ROTICH,2,1:44.96,dl_final,FERGUSON CHERUIYOT ROTICH
men_800m,2021,Diamond League Final,2021-09-03,Clayton MURPHY,3,1:45.21,dl_final,CLAYTON MURPHY
men_800m,2021,FBK Games,2021-06-06,Mateusz BORKOWSKI,1,1:47.02,tour,MATEUSZ BORKOWSKI
men_800m,2021,FBK Games,2021-06-06,Benjamin ROBERT,2,1:47.15,tour,BENJAMIN ROBERT
men_800m,2021,FBK Games,2021-06-06,Elliot GILES,3,1:47.22,tour,ELLIOT GILES
men_800m,2021,Gyulai István Memorial - Hungarian Athletics Grand Prix,2021-07-06,Elliot GILES,1,1:44.89,tour,ELLIOT GILES
men_800m,2021,Gyulai István Memorial - Hungarian Athletics Grand Prix,2021-07-06,Jamie WEBB,2,1:45.12,tour,JAMIE WEBB
men_800m,2021,Gyulai István Memorial - Hungarian Athletics Grand Prix,2021-07-06,Clayton MURPHY,3,1:45.20,tour,CLAYTON MURPHY
men_800m,2021,Irena Szewinska Memorial / Bydgoszcz Cup,2021-06-30,Cornelius TUWEI,1,1:45.76,tour,CORNELIUS TUWEI
men_800m,2021,Irena Szewinska Memorial / Bydgoszcz Cup,2021-06-30,Jamie WEBB,2,1:46.04,tour,JAMIE WEBB
men_800m,2021,Irena Szewinska Memorial / Bydgoszcz Cup,2021-06-30,Takieddine HEDEILLI,3,1:47.51,tour,TAKIEDDINE HEDEILLI
men_800m,2021,Kip Keino Classic,2021-09-18,Noah KIBET,1,1:44.97,tour,NOAH KIBET
men_800m,2021,Kip Keino Classic,2021-09-18,Collins KIPRUTO,2,1:45.68,tour,COLLINS KIPRUTO
men_800m,2021,Kip Keino Classic,2021-09-18,Cornelius TUWEI,3,1:45.90,tour,CORNELIUS TUWEI
men_800m,2021,LOTTO Silesia Kamila Skolimowska Memorial,2021-09-05,Wyclife KINYAMAL,1,1:44.63,tour,WYCLIFE KINYAMAL
men_800m,2021,LOTTO Silesia Kamila Skolimowska Memorial,2021-09-05,Kacper LEWALSKI,2,1:44.84,tour,KACPER LEWALSKI
men_800m,2021,LOTTO Silesia Kamila Skolimowska Memorial,2021-09-05,Daniel ROWDEN,3,1:44.89,tour,DANIEL ROWDEN
men_800m,2021,Memorial Borisa Hanžekovića,2021-09-14,Catalin TECUCEANU,1,1:44.93,tour,CATALIN TECUCEANU
men_800m,2021,Memorial Borisa Hanžekovića,2021-09-14,Daniel ROWDEN,2,1:44.98,tour,DANIEL ROWDEN
men_800m,2021,Memorial Borisa Hanžekovića,2021-09-14,Elliot GILES,3,1:45.01,tour,ELLIOT GILES
men_800m,2021,The XXXII Olympic Games,2021-08-04,Emmanuel Kipkurui KORIR,1,1:45.06,global,EMMANUEL KIPKURUI KORIR
men_800m,2021,The XXXII Olympic Games,2021-08-04,Ferguson Cheruiyot ROTICH,2,1:45.23,global,FERGUSON CHERUIYOT ROTICH
men_800m,2021,The XXXII Olympic Games,2021-08-04,Patryk DOBEK,3,1:45.39,global,PATRYK DOBEK
men_800m,2021,USATF Golden Games,2021-05-09,Bryce HOPPEL,1,1:44.94,tour,BRYCE HOPPEL
men_800m,2021,USATF Golden Games,2021-05-09,Michael SARUNI,2,1:45.18,tour,MICHAEL SARUNI
men_800m,2021,USATF Golden Games,2021-05-09,Clayton MURPHY,3,1:45.31,tour,CLAYTON MURPHY
men_800m,2021,USATF Grand Prix,2021-04-24,Michael SARUNI,1,1:46.64,tour,MICHAEL SARUNI
men_800m,2021,USATF Grand Prix,2021-04-24,Isaiah HARRIS,2,1:46.92,tour,ISAIAH HARRIS
men_800m,2021,USATF Grand Prix,2021-04-24,Charlie HUNTER,3,1:47.20,tour,CHARLIE HUNTER
men_DT,2021,Diamond League Final,2021-09-03,Daniel STÅHL,1,66.49,dl_final,DANIEL STAHL
men_DT,2021,Diamond League Final,2021-09-03,Kristjan ČEH,2,65.39,dl_final,KRISTJAN CEH
men_DT,2021,Diamond League Final,2021-09-03,Fedrick DACRES,3,65.33,dl_final,FEDRICK DACRES
men_DT,2021,Gyulai István Memorial - Hungarian Athletics Grand Prix,2021-07-06,Daniel STÅHL,1,67.71,tour,DANIEL STAHL
men_DT,2021,Gyulai István Memorial - Hungarian Athletics Grand Prix,2021-07-06,Andrius GUDŽIUS,2,66.71,tour,ANDRIUS GUDZIUS
men_DT,2021,Gyulai István Memorial - Hungarian Athletics Grand Prix,2021-07-06,Fedrick DACRES,3,65.08,tour,FEDRICK DACRES
men_DT,2021,LOTTO Silesia Kamila Skolimowska Memorial,2021-09-05,Kristjan ČEH,1,66.65,tour,KRISTJAN CEH
men_DT,2021,LOTTO Silesia Kamila Skolimowska Memorial,2021-09-05,Andrius GUDŽIUS,2,65.89,tour,ANDRIUS GUDZIUS
men_DT,2021,LOTTO Silesia Kamila Skolimowska Memorial,2021-09-05,Fedrick DACRES,3,64.91,tour,FEDRICK DACRES
men_DT,2021,Memorial Borisa Hanžekovića,2021-09-14,Daniel STÅHL,1,67.79,tour,DANIEL STAHL
men_DT,2021,Memorial Borisa Hanžekovića,2021-09-14,Lukas WEIßHAIDINGER,2,66.21,tour,LUKAS WEISSHAIDINGER
men_DT,2021,Memorial Borisa Hanžekovića,2021-09-14,Kristjan ČEH,3,65.17,tour,KRISTJAN CEH
men_DT,2021,Paavo Nurmi Games,2021-06-07,Daniel STÅHL,1,68.11,tour,DANIEL STAHL
men_DT,2021,Paavo Nurmi Games,2021-06-07,Andrius GUDŽIUS,2,66.88,tour,ANDRIUS GUDZIUS
men_DT,2021,Paavo Nurmi Games,2021-06-07,Lukas WEIßHAIDINGER,3,66.77,tour,LUKAS WEISSHAIDINGER
men_DT,2021,The XXXII Olympic Games,2021-07-31,Daniel STÅHL,1,68.90,global,DANIEL STAHL
men_DT,2021,The XXXII Olympic Games,2021-07-31,Simon PETTERSSON,2,67.39,global,SIMON PETTERSSON
men_DT,2021,The XXXII Olympic Games,2021-07-31,Lukas WEIßHAIDINGER,3,67.07,global,LUKAS WEISSHAIDINGER
men_DT,2021,USATF Golden Games,2021-05-09,Kord FERGUSON,1,63.75,tour,KORD FERGUSON
men_DT,2021,USATF Golden Games,2021-05-09,Mason FINLEY,2,63.57,tour,MASON FINLEY
men_DT,2021,USATF Golden Games,2021-05-09,Reggie JAGERS III,3,63.01,tour,REGGIE JAGERS III
men_HJ,2021,Diamond League Final,2021-09-03,Gianmarco TAMBERI,1,2.34,dl_final,GIANMARCO TAMBERI
men_HJ,2021,Diamond League Final,2021-09-03,Andrii PROTSENKO,2,2.30,dl_final,ANDRII PROTSENKO
men_HJ,2021,Diamond League Final,2021-09-03,Ilya IVANYUK,3,2.30,dl_final,ILYA IVANYUK
men_HJ,2021,FBK Games,2021-06-06,Maksim NEDASEKAU,1,2.24,tour,MAKSIM NEDASEKAU
men_HJ,2021,FBK Games,2021-06-06,Brandon STARC,2,2.20,tour,BRANDON STARC
men_HJ,2021,FBK Games,2021-06-06,Gianmarco TAMBERI,3,2.20,tour,GIANMARCO TAMBERI
men_HJ,2021,Gyulai István Memorial - Hungarian Athletics Grand Prix,2021-07-06,Maksim NEDASEKAU,1,2.37,tour,MAKSIM NEDASEKAU
men_HJ,2021,Gyulai István Memorial - Hungarian Athletics Grand Prix,2021-07-06,Ilya IVANYUK,2,2.33,tour,ILYA IVANYUK
men_HJ,2021,Gyulai István Memorial - Hungarian Athletics Grand Prix,2021-07-06,Mikhail AKIMENKO,3,2.33,tour,MIKHAIL AKIMENKO
men_HJ,2021,LOTTO Silesia Kamila Skolimowska Memorial,2021-09-05,Gianmarco TAMBERI,1,2.30,tour,GIANMARCO TAMBERI
men_HJ,2021,LOTTO Silesia Kamila Skolimowska Memorial,2021-09-05,Ilya IVANYUK,2,2.27,tour,ILYA IVANYUK
men_HJ,2021,LOTTO Silesia Kamila Skolimowska Memorial,2021-09-05,Norbert KOBIELSKI,3,2.24,tour,NORBERT KOBIELSKI
men_JT,2021,"""READY STEADY TOKYO - Athletics""",2021-05-09,Takuto KOMINAMI,1,80.98,tour,TAKUTO KOMINAMI
men_JT,2021,"""READY STEADY TOKYO - Athletics""",2021-05-09,Kenji OGURA,2,78.20,tour,KENJI OGURA
men_JT,2021,"""READY STEADY TOKYO - Athletics""",2021-05-09,Shih-Feng HUANG,3,77.35,tour,SHIH-FENG HUANG
men_JT,2021,60th Ostrava Golden Spike,2021-05-19,Johannes VETTER,1,94.20,tour,JOHANNES VETTER
men_JT,2021,60th Ostrava Golden Spike,2021-05-19,Anderson PETERS,2,83.39,tour,ANDERSON PETERS
men_JT,2021,60th Ostrava Golden Spike,2021-05-19,Keshorn WALCOTT,3,82.75,tour,KESHORN WALCOTT
men_JT,2021,Diamond League Final,2021-09-03,Johannes VETTER,1,89.11,dl_final,JOHANNES VETTER
men_JT,2021,Diamond League Final,2021-09-03,Julian WEBER,2,87.03,dl_final,JULIAN WEBER
men_JT,2021,Diamond League Final,2021-09-03,Jakub VADLEJCH,3,85.22,dl_final,JAKUB VADLEJCH
men_JT,2021,Kip Keino Classic,2021-09-18,Aliaksei KATKAVETS,1,82.65,tour,ALIAKSEI KATKAVETS
men_JT,2021,Kip Keino Classic,2021-09-18,Johan GROBLER,2,77.79,tour,JOHAN GROBLER
men_JT,2021,Kip Keino Classic,2021-09-18,Timothy HERMAN,3,77.73,tour,TIMOTHY HERMAN
men_JT,2021,LOTTO Silesia Kamila Skolimowska Memorial,2021-09-05,Johannes VETTER,1,89.60,tour,JOHANNES VETTER
men_JT,2021,LOTTO Silesia Kamila Skolimowska Memorial,2021-09-05,Anderson PETERS,2,83.61,tour,ANDERSON PETERS
men_JT,2021,LOTTO Silesia Kamila Skolimowska Memorial,2021-09-05,Aliaksei KATKAVETS,3,83.35,tour,ALIAKSEI KATKAVETS
men_JT,2021,Paavo Nurmi Games,2021-06-08,Marcin KRUKOWSKI,1,89.55,tour,MARCIN KRUKOWSKI
men_JT,2021,Paavo Nurmi Games,2021-06-08,Keshorn WALCOTT,2,82.84,tour,KESHORN WALCOTT
men_JT,2021,Paavo Nurmi Games,2021-06-08,Rocco VAN ROOYEN,3,82.55,tour,ROCCO VAN ROOYEN
men_JT,2021,The XXXII Olympic Games,2021-08-07,Neeraj CHOPRA,1,87.58,global,NEERAJ CHOPRA
men_JT,2021,The XXXII Olympic Games,2021-08-07,Jakub VADLEJCH,2,86.67,global,JAKUB VADLEJCH
men_JT,2021,The XXXII Olympic Games,2021-08-07,Vítězslav VESELÝ,3,85.44,global,VITEZSLAV VESELY
men_JT,2021,USATF Grand Prix,2021-04-24,Anderson PETERS,1,82.72,tour,ANDERSON PETERS
men_JT,2021,USATF Grand Prix,2021-04-24,Riley DOLEZAL,2,78.28,tour,RILEY DOLEZAL
men_JT,2021,USATF Grand Prix,2021-04-24,Curtis THOMPSON,3,76.81,tour,CURTIS THOMPSON
men_LJ,2021,"""READY STEADY TOKYO - Athletics""",2021-05-09,Yuki HASHIOKA,1,8.07,tour,YUKI HASHIOKA
men_LJ,2021,"""READY STEADY TOKYO - Athletics""",2021-05-09,Tenju TOGAWA,2,7.82,tour,TENJU TOGAWA
men_LJ,2021,"""READY STEADY TOKYO - Athletics""",2021-05-09,Shoutarou SHIROYAMA,3,7.79,tour,SHOUTAROU SHIROYAMA
men_LJ,2021,60th Ostrava Golden Spike,2021-05-19,Augustin BEY,1,8.02,tour,AUGUSTIN BEY
men_LJ,2021,60th Ostrava Golden Spike,2021-05-19,Benjamin GFÖHLER,2,7.73,tour,BENJAMIN GFOHLER
men_LJ,2021,60th Ostrava Golden Spike,2021-05-19,Radek JUŠKA,3,7.62,tour,RADEK JUSKA
men_LJ,2021,Diamond League Final,2021-09-03,Thobias MONTLER,1,8.17,dl_final,THOBIAS MONTLER
men_LJ,2021,Diamond League Final,2021-09-03,Steffin MCCARTER,2,8.14,dl_final,STEFFIN MCCARTER
men_LJ,2021,Diamond League Final,2021-09-03,Ruswahl SAMAAI,3,7.99,dl_final,RUSWAHL SAMAAI
men_LJ,2021,FBK Games,2021-06-06,Augustin BEY,1,8.16,tour,AUGUSTIN BEY
men_LJ,2021,FBK Games,2021-06-06,Ruswahl SAMAAI,2,8.10,tour,RUSWAHL SAMAAI
men_LJ,2021,FBK Games,2021-06-06,Christopher MITREVSKI,3,8.04,tour,CHRISTOPHER MITREVSKI
men_LJ,2021,Paavo Nurmi Games,2021-06-08,Vladyslav MAZUR,1,7.90,tour,VLADYSLAV MAZUR
men_LJ,2021,Paavo Nurmi Games,2021-06-08,Kristian PULLI,2,7.82,tour,KRISTIAN PULLI
men_LJ,2021,Paavo Nurmi Games,2021-06-08,Arnovis DALMERO,3,7.75,tour,ARNOVIS DALMERO
men_LJ,2021,The XXXII Olympic Games,2021-08-02,Miltiadis TENTOGLOU,1,8.41,global,MILTIADIS TENTOGLOU
men_LJ,2021,The XXXII Olympic Games,2021-08-02,Juan Miguel ECHEVARRÍA,2,8.41,global,JUAN MIGUEL ECHEVARRIA
men_LJ,2021,The XXXII Olympic Games,2021-08-02,Maykel MASSÓ,3,8.21,global,MAYKEL MASSO
men_LJ,2021,USATF Grand Prix,2021-04-24,Marquis DENDY,1,7.98,tour,MARQUIS DENDY
men_LJ,2021,USATF Grand Prix,2021-04-24,Charles BROWN,2,7.82,tour,CHARLES BROWN
men_LJ,2021,USATF Grand Prix,2021-04-24,Damarcus SIMPSON,3,7.71,tour,DAMARCUS SIMPSON
men_PV,2021,"""READY STEADY TOKYO - Athletics""",2021-05-09,Seito YAMAMOTO,1,5.55,tour,SEITO YAMAMOTO
men_PV,2021,"""READY STEADY TOKYO - Athletics""",2021-05-09,Kosei TAKEKAWA,2,5.45,tour,KOSEI TAKEKAWA
men_PV,2021,"""READY STEADY TOKYO - Athletics""",2021-05-09,Masaki EJIMA,3,5.45,tour,MASAKI EJIMA
men_PV,2021,60th Ostrava Golden Spike,2021-05-19,Armand DUPLANTIS,1,5.90,tour,ARMAND DUPLANTIS
men_PV,2021,60th Ostrava Golden Spike,2021-05-19,Sam KENDRICKS,2,5.85,tour,SAM KENDRICKS
men_PV,2021,60th Ostrava Golden Spike,2021-05-19,Valentin LAVILLENIE,3,5.60,tour,VALENTIN LAVILLENIE
men_PV,2021,Diamond League Final,2021-09-03,Armand DUPLANTIS,1,6.06,dl_final,ARMAND DUPLANTIS
men_PV,2021,Diamond League Final,2021-09-03,Sam KENDRICKS,2,5.93,dl_final,SAM KENDRICKS
men_PV,2021,Diamond League Final,2021-09-03,Timur MORGUNOV,3,5.93,dl_final,TIMUR MORGUNOV
men_PV,2021,FBK Games,2021-06-06,Armand DUPLANTIS,1,6.10,tour,ARMAND DUPLANTIS
men_PV,2021,FBK Games,2021-06-06,Ernest John OBIENA,2,5.80,tour,ERNEST JOHN OBIENA
men_PV,2021,FBK Games,2021-06-06,Menno VLOON,3,5.80,tour,MENNO VLOON
men_PV,2021,Irena Szewinska Memorial / Bydgoszcz Cup,2021-06-30,Christopher NILSEN,1,5.92,tour,CHRISTOPHER NILSEN
men_PV,2021,Irena Szewinska Memorial / Bydgoszcz Cup,2021-06-30,Ernest John OBIENA,2,5.87,tour,ERNEST JOHN OBIENA
men_PV,2021,Irena Szewinska Memorial / Bydgoszcz Cup,2021-06-30,Piotr LISEK,3,5.82,tour,PIOTR LISEK
men_PV,2021,Kip Keino Classic,2021-09-18,Rutger KOPPELAAR,1,5.65,tour,RUTGER KOPPELAAR
men_PV,2021,Kip Keino Classic,2021-09-18,Tommi HOLTTINEN,2,5.50,tour,TOMMI HOLTTINEN
men_PV,2021,Kip Keino Classic,2021-09-18,Mikko PAAVOLA,3,5.10,tour,MIKKO PAAVOLA
men_PV,2021,Memorial Borisa Hanžekovića,2021-09-14,KC LIGHTFOOT,1,5.87,tour,KC LIGHTFOOT
men_PV,2021,Memorial Borisa Hanžekovića,2021-09-14,Sam KENDRICKS,2,5.82,tour,SAM KENDRICKS
men_PV,2021,Memorial Borisa Hanžekovića,2021-09-14,Kurtis MARSCHALL,3,5.82,tour,KURTIS MARSCHALL
men_PV,2021,Paavo Nurmi Games,2021-06-07,Urho KUJANPÄÄ,1,5.65,tour,URHO KUJANPAA
men_PV,2021,Paavo Nurmi Games,2021-06-07,Tommi HOLTTINEN,2,5.43,tour,TOMMI HOLTTINEN
men_PV,2021,Paavo Nurmi Games,2021-06-07,Juho ALASAARI,3,5.33,tour,JUHO ALASAARI
men_PV,2021,The XXXII Olympic Games,2021-08-03,Armand DUPLANTIS,1,6.02,global,ARMAND DUPLANTIS
men_PV,2021,The XXXII Olympic Games,2021-08-03,Christopher NILSEN,2,5.97,global,CHRISTOPHER NILSEN
men_PV,2021,The XXXII Olympic Games,2021-08-03,Thiago BRAZ,3,5.87,global,THIAGO BRAZ
men_PV,2021,USATF Golden Games,2021-05-09,Christopher NILSEN,1,5.91,tour,CHRISTOPHER NILSEN
men_PV,2021,USATF Golden Games,2021-05-09,Nate RICHARTZ,2,5.70,tour,NATE RICHARTZ
men_PV,2021,USATF Golden Games,2021-05-09,Matt LUDWIG,3,5.70,tour,MATT LUDWIG
men_SP,2021,60th Ostrava Golden Spike,2021-05-19,Filip MIHALJEVIĆ,1,21.58,tour,FILIP MIHALJEVIC
men_SP,2021,60th Ostrava Golden Spike,2021-05-19,Michał HARATYK,2,21.30,tour,MICHAŁ HARATYK
men_SP,2021,60th Ostrava Golden Spike,2021-05-19,Wictor PETERSSON,3,20.90,tour,WICTOR PETERSSON
men_SP,2021,Diamond League Final,2021-09-03,Ryan CROUSER,1,22.67,dl_final,RYAN CROUSER
men_SP,2021,Diamond League Final,2021-09-03,Joe KOVACS,2,22.29,dl_final,JOE KOVACS
men_SP,2021,Diamond League Final,2021-09-03,Armin SINANČEVIĆ,3,21.86,dl_final,ARMIN SINANCEVIC
men_SP,2021,Gyulai István Memorial - Hungarian Athletics Grand Prix,2021-07-06,Tom WALSH,1,22.22,tour,TOM WALSH
men_SP,2021,Gyulai István Memorial - Hungarian Athletics Grand Prix,2021-07-06,Filip MIHALJEVIĆ,2,21.77,tour,FILIP MIHALJEVIC
men_SP,2021,Gyulai István Memorial - Hungarian Athletics Grand Prix,2021-07-06,Josh AWOTUNDE,3,21.70,tour,JOSH AWOTUNDE
men_SP,2021,Irena Szewinska Memorial / Bydgoszcz Cup,2021-06-30,Tom WALSH,1,21.46,tour,TOM WALSH
men_SP,2021,Irena Szewinska Memorial / Bydgoszcz Cup,2021-06-30,Armin SINANČEVIĆ,2,21.16,tour,ARMIN SINANCEVIC
men_SP,2021,Irena Szewinska Memorial / Bydgoszcz Cup,2021-06-30,Chukwuebuka ENEKWECHI,3,21.11,tour,CHUKWUEBUKA ENEKWECHI
men_SP,2021,LOTTO Silesia Kamila Skolimowska Memorial,2021-09-05,Ryan CROUSER,1,22.39,tour,RYAN CROUSER
men_SP,2021,LOTTO Silesia Kamila Skolimowska Memorial,2021-09-05,Joe KOVACS,2,22.00,tour,JOE KOVACS
men_SP,2021,LOTTO Silesia Kamila Skolimowska Memorial,2021-09-05,Tom WALSH,3,21.68,tour,TOM WALSH
men_SP,2021,Memorial Borisa Hanžekovića,2021-09-13,Ryan CROUSER,1,22.84,tour,RYAN CROUSER
men_SP,2021,Memorial Borisa Hanžekovića,2021-09-13,Tom WALSH,2,22.39,tour,TOM WALSH
men_SP,2021,Memorial Borisa Hanžekovića,2021-09-13,Joe KOVACS,3,21.70,tour,JOE KOVACS
men_SP,2021,The XXXII Olympic Games,2021-08-05,Ryan CROUSER,1,23.30,global,RYAN CROUSER
men_SP,2021,The XXXII Olympic Games,2021-08-05,Joe KOVACS,2,22.65,global,JOE KOVACS
men_SP,2021,The XXXII Olympic Games,2021-08-05,Tom WALSH,3,22.47,global,TOM WALSH
men_SP,2021,USATF Golden Games,2021-05-09,Darrell HILL,1,22.34,tour,DARRELL HILL
men_SP,2021,USATF Golden Games,2021-05-09,Josh AWOTUNDE,2,21.68,tour,JOSH AWOTUNDE
men_SP,2021,USATF Golden Games,2021-05-09,Chukwuebuka ENEKWECHI,3,20.97,tour,CHUKWUEBUKA ENEKWECHI
men_TJ,2021,60th Ostrava Golden Spike,2021-05-19,Hugues Fabrice ZANGO,1,17.20,tour,HUGUES FABRICE ZANGO
men_TJ,2021,60th Ostrava Golden Spike,2021-05-19,Max HEß,2,16.97,tour,MAX HESS
men_TJ,2021,60th Ostrava Golden Spike,2021-05-19,Melvin RAFFIN,3,16.71,tour,MELVIN RAFFIN
men_TJ,2021,Diamond League Final,2021-09-03,Pedro PICHARDO,1,17.70,dl_final,PEDRO PICHARDO
men_TJ,2021,Diamond League Final,2021-09-03,Hugues Fabrice ZANGO,2,17.20,dl_final,HUGUES FABRICE ZANGO
men_TJ,2021,Diamond League Final,2021-09-03,Yasser Mohammed TRIKI,3,17.03,dl_final,YASSER MOHAMMED TRIKI
men_TJ,2021,Gyulai István Memorial - Hungarian Athletics Grand Prix,2021-07-06,Pedro PICHARDO,1,17.92,tour,PEDRO PICHARDO
men_TJ,2021,Gyulai István Memorial - Hungarian Athletics Grand Prix,2021-07-06,Hugues Fabrice ZANGO,2,17.82,tour,HUGUES FABRICE ZANGO
men_TJ,2021,Gyulai István Memorial - Hungarian Athletics Grand Prix,2021-07-06,Yasser Mohammed TRIKI,3,17.33,tour,YASSER MOHAMMED TRIKI
men_TJ,2021,Paavo Nurmi Games,2021-06-07,Tiago Luis PEREIRA,1,16.91,tour,TIAGO LUIS PEREIRA
men_TJ,2021,Paavo Nurmi Games,2021-06-07,Tobia BOCCHI,2,16.73,tour,TOBIA BOCCHI
men_TJ,2021,Paavo Nurmi Games,2021-06-07,Jesper HELLSTRÖM,3,16.40,tour,JESPER HELLSTROM
men_TJ,2021,The XXXII Olympic Games,2021-08-05,Pedro PICHARDO,1,17.98,global,PEDRO PICHARDO
men_TJ,2021,The XXXII Olympic Games,2021-08-05,Yaming ZHU,2,17.57,global,YAMING ZHU
men_TJ,2021,The XXXII Olympic Games,2021-08-05,Hugues Fabrice ZANGO,3,17.47,global,HUGUES FABRICE ZANGO
men_TJ,2021,USATF Golden Games,2021-05-09,Will CLAYE,1,17.15,tour,WILL CLAYE
men_TJ,2021,USATF Golden Games,2021-05-09,Donald SCOTT,2,17.00,tour,DONALD SCOTT
men_TJ,2021,USATF Golden Games,2021-05-09,Chris BENARD,3,16.98,tour,CHRIS BENARD
men_TJ,2021,USATF Grand Prix,2021-04-24,Donald SCOTT,1,16.89,tour,DONALD SCOTT
men_TJ,2021,USATF Grand Prix,2021-04-24,Clive PULLEN,2,16.55,tour,CLIVE PULLEN
men_TJ,2021,USATF Grand Prix,2021-04-24,Christian TAYLOR,3,16.52,tour,CHRISTIAN TAYLOR
women_100h,2021,"""READY STEADY TOKYO - Athletics""",2021-05-09,Asuka TERADA,1,12.99,tour,ASUKA TERADA
women_100h,2021,"""READY STEADY TOKYO - Athletics""",2021-05-09,Masumi AOKI,2,13.06,tour,MASUMI AOKI
women_100h,2021,"""READY STEADY TOKYO - Athletics""",2021-05-09,Ayako KIMURA,3,13.22,tour,AYAKO KIMURA
women_100h,2021,Diamond League Final,2021-09-03,Tobi AMUSAN,1,12.42,dl_final,TOBI AMUSAN
women_100h,2021,Diamond League Final,2021-09-03,Nadine VISSER,2,12.51,dl_final,NADINE VISSER
women_100h,2021,Diamond League Final,2021-09-03,Megan TAPPER,3,12.55,dl_final,MEGAN TAPPER
women_100h,2021,FBK Games,2021-06-06,Jasmine CAMACHO-QUINN,1,12.44,tour,JASMINE CAMACHO-QUINN
women_100h,2021,FBK Games,2021-06-06,Pia SKRZYSZOWSKA,2,12.80,tour,PIA SKRZYSZOWSKA
women_100h,2021,FBK Games,2021-06-06,Elisa Maria DI LAZZARO,3,13.00,tour,ELISA MARIA DI LAZZARO
women_100h,2021,Gyulai István Memorial - Hungarian Athletics Grand Prix,2021-07-06,Jasmine CAMACHO-QUINN,1,12.34,tour,JASMINE CAMACHO-QUINN
women_100h,2021,Gyulai István Memorial - Hungarian Athletics Grand Prix,2021-07-06,Elvira HERMAN,2,12.67,tour,ELVIRA HERMAN
